Distance,15.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-61
0.001,Bluetooth,-61
0.068,Bluetooth,-59
0.070,Bluetooth,-59
0.105,Bluetooth,-62
0.135,Bluetooth,-53
0.136,Bluetooth,-55
0.207,Bluetooth,-60
0.208,Bluetooth,-61
0.282,Bluetooth,-54
0.283,Bluetooth,-54
0.311,Bluetooth,-60
0.312,Bluetooth,-59
0.348,Bluetooth,-61
0.349,Bluetooth,-61
0.383,Bluetooth,-54
0.384,Bluetooth,-54
0.415,Bluetooth,-59
0.416,Bluetooth,-59
0.450,Bluetooth,-61
0.451,Bluetooth,-62
0.527,Bluetooth,-54
0.528,Bluetooth,-54
0.594,Bluetooth,-60
0.595,Bluetooth,-63
0.665,Bluetooth,-59
0.666,Bluetooth,-59
0.698,Bluetooth,-61
0.699,Bluetooth,-61
0.730,Bluetooth,-55
0.731,Bluetooth,-54
0.802,Bluetooth,-58
0.804,Bluetooth,-59
0.834,Bluetooth,-61
0.835,Bluetooth,-62
0.871,Bluetooth,-55
0.872,Bluetooth,-54
0.902,Bluetooth,-59
0.903,Bluetooth,-58
0.967,Bluetooth,-61
0.968,Bluetooth,-60
1.007,Bluetooth,-54
1.008,Bluetooth,-54
1.045,Bluetooth,-59
1.046,Bluetooth,-58
1.082,Bluetooth,-62
1.124,Bluetooth,-54
1.125,Bluetooth,-53
1.156,Bluetooth,-57
1.157,Bluetooth,-59
1.197,Bluetooth,-61
1.198,Bluetooth,-61
1.266,Bluetooth,-58
1.307,Bluetooth,-62
1.308,Bluetooth,-61
1.341,Bluetooth,-54
1.341,Bluetooth,-54
1.379,Bluetooth,-57
1.380,Bluetooth,-59
1.418,Bluetooth,-61
1.420,Bluetooth,-63
1.525,Bluetooth,-58
1.625,Bluetooth,-58
1.656,Bluetooth,-62
1.657,Bluetooth,-63
1.761,Bluetooth,-59
1.762,Bluetooth,-59
1.830,Bluetooth,-53
1.831,Bluetooth,-55
1.866,Bluetooth,-60
1.868,Bluetooth,-60
1.903,Bluetooth,-62
1.904,Bluetooth,-63
1.972,Bluetooth,-60
1.973,Bluetooth,-60
2.006,Bluetooth,-60
2.007,Bluetooth,-60
2.047,Bluetooth,-63
2.048,Bluetooth,-64
2.124,Bluetooth,-60
2.125,Bluetooth,-61
2.166,Bluetooth,-62
2.167,Bluetooth,-62
2.234,Bluetooth,-59
2.235,Bluetooth,-61
2.308,Bluetooth,-54
2.414,Bluetooth,-53
2.415,Bluetooth,-54
2.450,Bluetooth,-59
2.451,Bluetooth,-59
2.482,Bluetooth,-59
2.482,Bluetooth,-59
2.512,Bluetooth,-63
2.513,Bluetooth,-62
2.547,Bluetooth,-54
2.548,Bluetooth,-54
2.577,Bluetooth,-59
2.578,Bluetooth,-60
2.616,Bluetooth,-61
2.618,Bluetooth,-60
2.656,Bluetooth,-54
2.657,Bluetooth,-54
2.688,Bluetooth,-55
2.689,Bluetooth,-55
2.757,Bluetooth,-61
2.759,Bluetooth,-61
2.789,Bluetooth,-56
2.790,Bluetooth,-55
2.860,Bluetooth,-60
2.861,Bluetooth,-61
2.893,Bluetooth,-54
2.895,Bluetooth,-55
2.925,Bluetooth,-54
2.926,Bluetooth,-54
3.053,Bluetooth,-58
3.054,Bluetooth,-58
3.085,Bluetooth,-58
3.086,Bluetooth,-57
3.121,Bluetooth,-61
3.122,Bluetooth,-62
3.187,Bluetooth,-58
3.188,Bluetooth,-58
3.300,Bluetooth,-58
3.301,Bluetooth,-58
3.341,Bluetooth,-61
3.342,Bluetooth,-61
3.378,Bluetooth,-54
3.379,Bluetooth,-54
3.407,Bluetooth,-54
3.408,Bluetooth,-54
3.446,Bluetooth,-57
3.447,Bluetooth,-58
3.551,Bluetooth,-57
3.552,Bluetooth,-58
3.587,Bluetooth,-62
3.588,Bluetooth,-63
3.622,Bluetooth,-54
3.623,Bluetooth,-54
3.804,Bluetooth,-60
3.805,Bluetooth,-60
3.839,Bluetooth,-60
3.840,Bluetooth,-61
3.877,Bluetooth,-53
3.878,Bluetooth,-54
3.911,Bluetooth,-59
3.913,Bluetooth,-59
3.943,Bluetooth,-63
3.945,Bluetooth,-62
30.256,Bluetooth,-71
30.258,Bluetooth,-72
30.329,Bluetooth,-69
30.331,Bluetooth,-69
30.400,Bluetooth,-72
30.402,Bluetooth,-72
30.439,Bluetooth,-71
30.473,Bluetooth,-70
30.475,Bluetooth,-70
30.510,Bluetooth,-71
30.511,Bluetooth,-71
30.546,Bluetooth,-71
30.611,Bluetooth,-71
30.612,Bluetooth,-70
30.691,Bluetooth,-69
30.692,Bluetooth,-70
30.722,Bluetooth,-70
30.752,Bluetooth,-72
30.786,Bluetooth,-67
30.787,Bluetooth,-67
30.817,Bluetooth,-70
30.818,Bluetooth,-69
30.847,Bluetooth,-68
30.848,Bluetooth,-68
30.879,Bluetooth,-72
30.880,Bluetooth,-73
30.948,Bluetooth,-67
30.949,Bluetooth,-68
31.057,Bluetooth,-68
31.058,Bluetooth,-68
31.095,Bluetooth,-73
31.196,Bluetooth,-67
31.197,Bluetooth,-67
31.225,Bluetooth,-74
31.227,Bluetooth,-74
31.258,Bluetooth,-72
31.293,Bluetooth,-66
31.327,Bluetooth,-67
31.399,Bluetooth,-69
31.464,Bluetooth,-74
31.465,Bluetooth,-75
31.499,Bluetooth,-71
31.600,Bluetooth,-74
31.632,Bluetooth,-70
31.666,Bluetooth,-66
31.667,Bluetooth,-67
31.697,Bluetooth,-75
31.698,Bluetooth,-75
31.844,Bluetooth,-74
31.845,Bluetooth,-75
31.881,Bluetooth,-70
31.882,Bluetooth,-70
31.916,Bluetooth,-66
31.917,Bluetooth,-66
31.947,Bluetooth,-75
32.017,Bluetooth,-66
32.018,Bluetooth,-65
32.049,Bluetooth,-74
32.050,Bluetooth,-73
32.079,Bluetooth,-73
32.080,Bluetooth,-74
32.111,Bluetooth,-69
32.112,Bluetooth,-70
32.146,Bluetooth,-65
32.147,Bluetooth,-68
32.177,Bluetooth,-71
32.213,Bluetooth,-70
32.214,Bluetooth,-68
32.274,Bluetooth,-66
32.275,Bluetooth,-65
32.309,Bluetooth,-72
32.310,Bluetooth,-72
32.414,Bluetooth,-72
32.415,Bluetooth,-71
32.448,Bluetooth,-68
32.450,Bluetooth,-68
32.484,Bluetooth,-70
32.485,Bluetooth,-69
32.522,Bluetooth,-66
32.523,Bluetooth,-66
32.593,Bluetooth,-69
32.594,Bluetooth,-69
32.658,Bluetooth,-73
32.659,Bluetooth,-73
32.688,Bluetooth,-69
32.689,Bluetooth,-69
32.719,Bluetooth,-69
32.721,Bluetooth,-69
32.752,Bluetooth,-66
32.753,Bluetooth,-66
32.782,Bluetooth,-73
32.816,Bluetooth,-69
32.817,Bluetooth,-70
32.909,Bluetooth,-75
32.910,Bluetooth,-74
33.019,Bluetooth,-75
33.020,Bluetooth,-76
33.051,Bluetooth,-71
33.081,Bluetooth,-70
33.156,Bluetooth,-76
33.157,Bluetooth,-76
33.229,Bluetooth,-67
33.230,Bluetooth,-68
33.265,Bluetooth,-75
33.267,Bluetooth,-74
33.296,Bluetooth,-70
33.331,Bluetooth,-66
33.333,Bluetooth,-66
33.403,Bluetooth,-75
33.404,Bluetooth,-75
33.435,Bluetooth,-71
33.475,Bluetooth,-67
33.477,Bluetooth,-67
33.512,Bluetooth,-74
33.553,Bluetooth,-71
33.554,Bluetooth,-71
33.630,Bluetooth,-75
33.631,Bluetooth,-75
33.670,Bluetooth,-71
33.671,Bluetooth,-71
33.708,Bluetooth,-67
33.710,Bluetooth,-67
33.740,Bluetooth,-76
33.741,Bluetooth,-77
33.781,Bluetooth,-71
33.782,Bluetooth,-71
33.876,Bluetooth,-77
33.877,Bluetooth,-77
33.913,Bluetooth,-71
33.914,Bluetooth,-72
33.948,Bluetooth,-67
33.949,Bluetooth,-67
33.991,Bluetooth,-77
34.162,Bluetooth,-72
34.163,Bluetooth,-72
34.202,Bluetooth,-67
34.203,Bluetooth,-67
60.660,Bluetooth,-64
60.661,Bluetooth,-66
60.735,Bluetooth,-63
60.736,Bluetooth,-62
60.769,Bluetooth,-65
60.770,Bluetooth,-66
60.799,Bluetooth,-65
60.800,Bluetooth,-66
60.829,Bluetooth,-57
60.831,Bluetooth,-56
60.865,Bluetooth,-62
60.867,Bluetooth,-62
60.907,Bluetooth,-65
60.909,Bluetooth,-66
60.941,Bluetooth,-57
60.943,Bluetooth,-56
60.975,Bluetooth,-62
60.976,Bluetooth,-62
61.012,Bluetooth,-65
61.013,Bluetooth,-66
61.085,Bluetooth,-58
61.086,Bluetooth,-57
61.125,Bluetooth,-62
61.127,Bluetooth,-63
61.195,Bluetooth,-58
61.196,Bluetooth,-58
61.236,Bluetooth,-64
61.237,Bluetooth,-64
61.270,Bluetooth,-66
61.271,Bluetooth,-65
61.303,Bluetooth,-58
61.334,Bluetooth,-62
61.335,Bluetooth,-63
61.373,Bluetooth,-64
61.374,Bluetooth,-66
61.410,Bluetooth,-57
61.411,Bluetooth,-57
61.441,Bluetooth,-59
61.443,Bluetooth,-61
61.481,Bluetooth,-63
61.482,Bluetooth,-64
61.619,Bluetooth,-66
61.620,Bluetooth,-66
61.649,Bluetooth,-57
61.690,Bluetooth,-62
61.691,Bluetooth,-63
61.730,Bluetooth,-66
61.731,Bluetooth,-65
61.797,Bluetooth,-56
61.798,Bluetooth,-55
61.828,Bluetooth,-62
61.829,Bluetooth,-65
61.867,Bluetooth,-66
61.869,Bluetooth,-66
61.976,Bluetooth,-66
61.977,Bluetooth,-66
62.007,Bluetooth,-56
62.009,Bluetooth,-56
62.047,Bluetooth,-62
62.048,Bluetooth,-63
62.080,Bluetooth,-62
62.081,Bluetooth,-62
62.116,Bluetooth,-66
62.117,Bluetooth,-65
62.146,Bluetooth,-56
62.147,Bluetooth,-56
62.185,Bluetooth,-61
62.186,Bluetooth,-63
62.217,Bluetooth,-65
62.218,Bluetooth,-65
62.250,Bluetooth,-56
62.251,Bluetooth,-55
62.280,Bluetooth,-55
62.281,Bluetooth,-57
62.359,Bluetooth,-66
62.455,Bluetooth,-65
62.456,Bluetooth,-64
62.683,Bluetooth,-64
62.684,Bluetooth,-63
62.715,Bluetooth,-67
62.716,Bluetooth,-66
62.750,Bluetooth,-58
62.751,Bluetooth,-59
62.791,Bluetooth,-62
62.793,Bluetooth,-62
62.823,Bluetooth,-64
62.853,Bluetooth,-57
62.894,Bluetooth,-62
62.895,Bluetooth,-62
62.929,Bluetooth,-63
62.930,Bluetooth,-64
62.994,Bluetooth,-57
62.995,Bluetooth,-57
63.068,Bluetooth,-64
63.069,Bluetooth,-64
63.097,Bluetooth,-58
63.098,Bluetooth,-58
63.132,Bluetooth,-61
63.134,Bluetooth,-61
63.163,Bluetooth,-61
63.164,Bluetooth,-62
63.197,Bluetooth,-64
63.198,Bluetooth,-65
63.227,Bluetooth,-58
63.228,Bluetooth,-58
63.263,Bluetooth,-61
63.264,Bluetooth,-62
63.297,Bluetooth,-64
63.329,Bluetooth,-58
63.330,Bluetooth,-58
63.370,Bluetooth,-61
63.372,Bluetooth,-62
63.400,Bluetooth,-61
63.401,Bluetooth,-60
63.435,Bluetooth,-65
63.537,Bluetooth,-65
63.538,Bluetooth,-66
63.575,Bluetooth,-57
63.576,Bluetooth,-59
63.616,Bluetooth,-61
63.618,Bluetooth,-60
63.656,Bluetooth,-64
63.657,Bluetooth,-66
63.718,Bluetooth,-59
63.719,Bluetooth,-59
63.753,Bluetooth,-63
63.754,Bluetooth,-62
63.895,Bluetooth,-64
63.896,Bluetooth,-65
63.960,Bluetooth,-58
63.961,Bluetooth,-59
63.996,Bluetooth,-62
63.997,Bluetooth,-62
64.030,Bluetooth,-64
64.031,Bluetooth,-64
64.060,Bluetooth,-59
64.061,Bluetooth,-60
64.155,Bluetooth,-65
64.157,Bluetooth,-64
64.193,Bluetooth,-58
64.194,Bluetooth,-57
64.227,Bluetooth,-62
64.228,Bluetooth,-61
64.259,Bluetooth,-63
64.260,Bluetooth,-65
64.288,Bluetooth,-56
64.289,Bluetooth,-56
64.325,Bluetooth,-57
64.326,Bluetooth,-57
64.358,Bluetooth,-61
64.359,Bluetooth,-62
64.397,Bluetooth,-63
64.398,Bluetooth,-64
64.423,Bluetooth,-57
64.424,Bluetooth,-57
64.455,Bluetooth,-62
64.456,Bluetooth,-62
64.491,Bluetooth,-64
64.492,Bluetooth,-63
64.567,Bluetooth,-62
64.568,Bluetooth,-62
64.607,Bluetooth,-64
64.608,Bluetooth,-64
88.476,Bluetooth,-52
88.478,Bluetooth,-52
88.510,Bluetooth,-59
88.512,Bluetooth,-58
88.548,Bluetooth,-58
88.549,Bluetooth,-59
88.581,Bluetooth,-53
88.718,Bluetooth,-53
88.719,Bluetooth,-52
88.795,Bluetooth,-59
88.796,Bluetooth,-59
88.961,Bluetooth,-52
88.962,Bluetooth,-52
88.996,Bluetooth,-58
88.998,Bluetooth,-58
89.034,Bluetooth,-59
89.035,Bluetooth,-59
89.062,Bluetooth,-51
89.063,Bluetooth,-53
89.099,Bluetooth,-58
89.100,Bluetooth,-58
89.167,Bluetooth,-52
89.168,Bluetooth,-53
89.205,Bluetooth,-58
89.206,Bluetooth,-58
89.277,Bluetooth,-59
89.278,Bluetooth,-59
89.311,Bluetooth,-53
89.312,Bluetooth,-52
89.353,Bluetooth,-58
89.354,Bluetooth,-58
89.394,Bluetooth,-58
89.395,Bluetooth,-60
89.545,Bluetooth,-51
89.546,Bluetooth,-53
89.575,Bluetooth,-58
89.577,Bluetooth,-58
89.617,Bluetooth,-61
89.618,Bluetooth,-62
89.724,Bluetooth,-57
89.726,Bluetooth,-58
89.755,Bluetooth,-60
89.757,Bluetooth,-59
89.783,Bluetooth,-51
89.784,Bluetooth,-54
89.822,Bluetooth,-57
89.823,Bluetooth,-58
89.885,Bluetooth,-52
89.886,Bluetooth,-52
89.926,Bluetooth,-58
89.927,Bluetooth,-57
89.959,Bluetooth,-58
89.960,Bluetooth,-58
89.989,Bluetooth,-60
89.991,Bluetooth,-60
90.029,Bluetooth,-51
90.029,Bluetooth,-53
90.058,Bluetooth,-58
90.059,Bluetooth,-58
90.129,Bluetooth,-52
90.130,Bluetooth,-53
90.168,Bluetooth,-58
90.169,Bluetooth,-58
90.276,Bluetooth,-52
90.309,Bluetooth,-58
90.310,Bluetooth,-58
90.346,Bluetooth,-59
90.347,Bluetooth,-59
90.422,Bluetooth,-58
90.464,Bluetooth,-59
90.465,Bluetooth,-59
90.496,Bluetooth,-52
90.497,Bluetooth,-53
90.531,Bluetooth,-59
90.532,Bluetooth,-58
90.572,Bluetooth,-58
90.573,Bluetooth,-59
90.605,Bluetooth,-53
90.606,Bluetooth,-52
90.638,Bluetooth,-52
90.639,Bluetooth,-52
90.669,Bluetooth,-57
90.670,Bluetooth,-58
90.707,Bluetooth,-58
90.708,Bluetooth,-59
90.739,Bluetooth,-52
90.741,Bluetooth,-53
90.777,Bluetooth,-58
90.778,Bluetooth,-57
90.879,Bluetooth,-56
90.880,Bluetooth,-55
90.913,Bluetooth,-56
90.914,Bluetooth,-56
90.944,Bluetooth,-59
90.945,Bluetooth,-60
90.975,Bluetooth,-56
90.976,Bluetooth,-55
91.058,Bluetooth,-62
91.059,Bluetooth,-61
91.088,Bluetooth,-51
91.090,Bluetooth,-53
91.194,Bluetooth,-60
91.195,Bluetooth,-60
91.266,Bluetooth,-59
91.268,Bluetooth,-59
91.298,Bluetooth,-59
91.299,Bluetooth,-60
91.335,Bluetooth,-53
91.336,Bluetooth,-52
91.370,Bluetooth,-58
91.400,Bluetooth,-57
91.438,Bluetooth,-60
91.439,Bluetooth,-60
91.516,Bluetooth,-57
91.517,Bluetooth,-57
91.557,Bluetooth,-60
91.558,Bluetooth,-61
91.628,Bluetooth,-57
91.629,Bluetooth,-58
91.663,Bluetooth,-60
91.665,Bluetooth,-61
91.696,Bluetooth,-52
91.698,Bluetooth,-51
91.730,Bluetooth,-58
91.732,Bluetooth,-58
91.761,Bluetooth,-57
91.763,Bluetooth,-57
91.835,Bluetooth,-52
91.836,Bluetooth,-52
91.874,Bluetooth,-58
91.876,Bluetooth,-58
91.909,Bluetooth,-60
91.911,Bluetooth,-62
91.980,Bluetooth,-58
91.982,Bluetooth,-58
92.018,Bluetooth,-60
92.019,Bluetooth,-60
92.051,Bluetooth,-52
92.052,Bluetooth,-52
92.189,Bluetooth,-52
92.190,Bluetooth,-53
92.231,Bluetooth,-59
92.232,Bluetooth,-58
92.261,Bluetooth,-60
92.262,Bluetooth,-60
92.289,Bluetooth,-52
92.290,Bluetooth,-52
92.323,Bluetooth,-52
92.324,Bluetooth,-52
92.356,Bluetooth,-58
92.357,Bluetooth,-59
92.395,Bluetooth,-60
92.396,Bluetooth,-60
92.428,Bluetooth,-51
92.429,Bluetooth,-53
92.462,Bluetooth,-58
92.463,Bluetooth,-58
124.862,Bluetooth,-59
124.862,Bluetooth,-59
124.978,Bluetooth,-59
124.980,Bluetooth,-58
125.016,Bluetooth,-60
125.017,Bluetooth,-61
125.051,Bluetooth,-60
125.230,Bluetooth,-59
125.231,Bluetooth,-59
125.269,Bluetooth,-60
125.270,Bluetooth,-60
125.309,Bluetooth,-59
125.311,Bluetooth,-62
125.485,Bluetooth,-61
125.554,Bluetooth,-60
125.589,Bluetooth,-59
125.590,Bluetooth,-59
125.619,Bluetooth,-61
125.658,Bluetooth,-61
125.659,Bluetooth,-62
125.690,Bluetooth,-57
125.730,Bluetooth,-62
125.731,Bluetooth,-62
125.797,Bluetooth,-62
125.798,Bluetooth,-61
125.829,Bluetooth,-59
125.870,Bluetooth,-61
125.871,Bluetooth,-61
125.911,Bluetooth,-60
125.912,Bluetooth,-61
125.945,Bluetooth,-59
125.947,Bluetooth,-58
125.979,Bluetooth,-62
125.981,Bluetooth,-61
126.021,Bluetooth,-61
126.022,Bluetooth,-63
126.054,Bluetooth,-58
126.055,Bluetooth,-59
126.128,Bluetooth,-61
126.128,Bluetooth,-62
126.157,Bluetooth,-61
126.158,Bluetooth,-62
126.192,Bluetooth,-59
126.194,Bluetooth,-59
126.227,Bluetooth,-60
126.229,Bluetooth,-61
126.258,Bluetooth,-63
126.259,Bluetooth,-62
126.371,Bluetooth,-62
126.371,Bluetooth,-63
126.434,Bluetooth,-59
126.466,Bluetooth,-61
126.632,Bluetooth,-63
126.633,Bluetooth,-63
126.660,Bluetooth,-58
126.662,Bluetooth,-60
126.698,Bluetooth,-65
126.699,Bluetooth,-65
126.733,Bluetooth,-62
126.734,Bluetooth,-63
126.764,Bluetooth,-59
126.765,Bluetooth,-59
126.795,Bluetooth,-59
126.797,Bluetooth,-60
126.827,Bluetooth,-62
126.829,Bluetooth,-62
126.862,Bluetooth,-63
126.863,Bluetooth,-63
126.967,Bluetooth,-64
126.968,Bluetooth,-63
127.033,Bluetooth,-59
127.034,Bluetooth,-59
127.070,Bluetooth,-61
127.072,Bluetooth,-62
127.105,Bluetooth,-64
127.107,Bluetooth,-65
127.142,Bluetooth,-58
127.144,Bluetooth,-59
127.181,Bluetooth,-62
127.183,Bluetooth,-62
127.252,Bluetooth,-59
127.253,Bluetooth,-59
127.282,Bluetooth,-59
127.284,Bluetooth,-59
127.318,Bluetooth,-61
127.319,Bluetooth,-62
127.358,Bluetooth,-65
127.359,Bluetooth,-64
127.397,Bluetooth,-59
127.398,Bluetooth,-59
127.434,Bluetooth,-62
127.435,Bluetooth,-62
127.474,Bluetooth,-65
127.502,Bluetooth,-59
127.503,Bluetooth,-59
127.574,Bluetooth,-63
127.575,Bluetooth,-64
127.606,Bluetooth,-59
127.607,Bluetooth,-60
127.672,Bluetooth,-61
127.674,Bluetooth,-61
127.710,Bluetooth,-65
127.711,Bluetooth,-65
127.742,Bluetooth,-59
127.743,Bluetooth,-60
127.783,Bluetooth,-62
127.784,Bluetooth,-62
127.817,Bluetooth,-65
127.818,Bluetooth,-65
127.846,Bluetooth,-60
127.847,Bluetooth,-60
127.886,Bluetooth,-62
127.989,Bluetooth,-60
127.990,Bluetooth,-60
128.028,Bluetooth,-65
128.029,Bluetooth,-65
128.061,Bluetooth,-66
128.063,Bluetooth,-64
128.092,Bluetooth,-66
128.093,Bluetooth,-66
128.130,Bluetooth,-65
128.131,Bluetooth,-65
128.206,Bluetooth,-59
128.207,Bluetooth,-60
128.236,Bluetooth,-59
128.269,Bluetooth,-62
128.271,Bluetooth,-62
128.408,Bluetooth,-63
128.409,Bluetooth,-63
128.446,Bluetooth,-58
128.448,Bluetooth,-59
128.485,Bluetooth,-62
128.486,Bluetooth,-61
128.528,Bluetooth,-64
128.529,Bluetooth,-63
128.597,Bluetooth,-59
128.598,Bluetooth,-59
128.631,Bluetooth,-61
128.632,Bluetooth,-61
128.663,Bluetooth,-63
128.664,Bluetooth,-63
128.695,Bluetooth,-59
128.696,Bluetooth,-59
128.726,Bluetooth,-61
128.727,Bluetooth,-61
128.840,Bluetooth,-59
128.840,Bluetooth,-58
149.485,Bluetooth,-75
149.486,Bluetooth,-75
149.515,Bluetooth,-76
149.516,Bluetooth,-76
149.543,Bluetooth,-73
149.544,Bluetooth,-73
149.622,Bluetooth,-75
149.623,Bluetooth,-77
149.661,Bluetooth,-73
149.663,Bluetooth,-73
149.699,Bluetooth,-88
149.701,Bluetooth,-86
149.770,Bluetooth,-72
149.771,Bluetooth,-73
149.835,Bluetooth,-86
149.837,Bluetooth,-86
149.946,Bluetooth,-86
149.977,Bluetooth,-72
149.978,Bluetooth,-72
150.012,Bluetooth,-75
150.013,Bluetooth,-75
150.042,Bluetooth,-75
150.043,Bluetooth,-74
150.083,Bluetooth,-71
150.084,Bluetooth,-71
150.115,Bluetooth,-71
150.116,Bluetooth,-72
150.147,Bluetooth,-74
150.149,Bluetooth,-75
150.187,Bluetooth,-85
150.188,Bluetooth,-86
150.265,Bluetooth,-74
150.266,Bluetooth,-75
150.299,Bluetooth,-87
150.300,Bluetooth,-87
150.337,Bluetooth,-72
150.338,Bluetooth,-72
150.369,Bluetooth,-75
150.370,Bluetooth,-74
150.401,Bluetooth,-75
150.434,Bluetooth,-95
150.435,Bluetooth,-95
150.502,Bluetooth,-74
150.503,Bluetooth,-74
150.581,Bluetooth,-70
150.582,Bluetooth,-70
150.609,Bluetooth,-75
150.611,Bluetooth,-76
150.751,Bluetooth,-76
150.786,Bluetooth,-94
150.788,Bluetooth,-95
150.864,Bluetooth,-75
150.866,Bluetooth,-74
150.930,Bluetooth,-70
150.932,Bluetooth,-71
151.115,Bluetooth,-75
151.117,Bluetooth,-74
151.189,Bluetooth,-71
151.222,Bluetooth,-74
151.224,Bluetooth,-75
151.292,Bluetooth,-71
151.293,Bluetooth,-71
151.327,Bluetooth,-74
151.328,Bluetooth,-75
151.434,Bluetooth,-70
151.435,Bluetooth,-71
151.466,Bluetooth,-74
151.572,Bluetooth,-74
151.573,Bluetooth,-74
151.608,Bluetooth,-87
151.609,Bluetooth,-89
151.646,Bluetooth,-73
151.647,Bluetooth,-71
151.718,Bluetooth,-75
151.719,Bluetooth,-74
151.753,Bluetooth,-87
151.754,Bluetooth,-87
151.824,Bluetooth,-73
151.825,Bluetooth,-74
151.859,Bluetooth,-85
151.860,Bluetooth,-86
151.935,Bluetooth,-71
151.936,Bluetooth,-73
151.971,Bluetooth,-85
151.972,Bluetooth,-86
152.002,Bluetooth,-85
152.003,Bluetooth,-85
152.032,Bluetooth,-73
152.033,Bluetooth,-73
152.067,Bluetooth,-73
152.068,Bluetooth,-73
152.099,Bluetooth,-86
152.100,Bluetooth,-86
152.166,Bluetooth,-72
152.198,Bluetooth,-72
152.275,Bluetooth,-74
152.276,Bluetooth,-74
152.303,Bluetooth,-72
152.304,Bluetooth,-72
152.343,Bluetooth,-84
152.373,Bluetooth,-73
152.411,Bluetooth,-71
152.413,Bluetooth,-71
152.442,Bluetooth,-70
152.443,Bluetooth,-70
152.512,Bluetooth,-73
152.514,Bluetooth,-72
152.551,Bluetooth,-72
152.552,Bluetooth,-70
152.588,Bluetooth,-81
152.589,Bluetooth,-82
152.627,Bluetooth,-73
152.629,Bluetooth,-73
152.657,Bluetooth,-71
152.659,Bluetooth,-72
152.696,Bluetooth,-83
152.698,Bluetooth,-83
152.801,Bluetooth,-70
152.803,Bluetooth,-71
152.841,Bluetooth,-82
152.842,Bluetooth,-82
152.923,Bluetooth,-69
152.951,Bluetooth,-81
152.952,Bluetooth,-81
153.056,Bluetooth,-83
153.057,Bluetooth,-84
153.087,Bluetooth,-76
153.088,Bluetooth,-75
153.117,Bluetooth,-76
153.118,Bluetooth,-76
153.181,Bluetooth,-83
153.247,Bluetooth,-70
153.248,Bluetooth,-69
153.281,Bluetooth,-69
153.282,Bluetooth,-70
153.317,Bluetooth,-80
153.358,Bluetooth,-76
153.359,Bluetooth,-75
153.391,Bluetooth,-69
153.392,Bluetooth,-70
153.457,Bluetooth,-76
153.458,Bluetooth,-75
182.283,Bluetooth,-64
182.321,Bluetooth,-64
182.359,Bluetooth,-58
182.360,Bluetooth,-58
182.392,Bluetooth,-57
182.393,Bluetooth,-57
182.427,Bluetooth,-63
182.427,Bluetooth,-64
182.468,Bluetooth,-58
182.469,Bluetooth,-58
182.501,Bluetooth,-57
182.502,Bluetooth,-57
182.537,Bluetooth,-64
182.538,Bluetooth,-63
182.576,Bluetooth,-58
182.678,Bluetooth,-64
182.679,Bluetooth,-65
182.712,Bluetooth,-58
182.713,Bluetooth,-58
182.744,Bluetooth,-57
182.745,Bluetooth,-57
182.777,Bluetooth,-64
182.778,Bluetooth,-64
182.814,Bluetooth,-59
182.816,Bluetooth,-58
182.851,Bluetooth,-57
182.853,Bluetooth,-57
