Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-59
0.001,Bluetooth,-59
0.028,Bluetooth,-59
0.030,Bluetooth,-59
0.066,Bluetooth,-63
0.067,Bluetooth,-63
0.132,Bluetooth,-59
0.133,Bluetooth,-61
0.169,Bluetooth,-60
0.170,Bluetooth,-59
0.243,Bluetooth,-64
0.243,Bluetooth,-63
0.306,Bluetooth,-59
0.307,Bluetooth,-61
0.338,Bluetooth,-59
0.339,Bluetooth,-59
0.455,Bluetooth,-59
0.493,Bluetooth,-63
0.494,Bluetooth,-63
0.530,Bluetooth,-59
0.561,Bluetooth,-63
0.562,Bluetooth,-63
0.596,Bluetooth,-59
0.597,Bluetooth,-59
0.628,Bluetooth,-60
0.629,Bluetooth,-60
0.662,Bluetooth,-63
0.663,Bluetooth,-63
0.729,Bluetooth,-61
0.763,Bluetooth,-59
0.764,Bluetooth,-59
0.802,Bluetooth,-64
0.803,Bluetooth,-64
0.941,Bluetooth,-58
0.942,Bluetooth,-60
0.977,Bluetooth,-59
0.978,Bluetooth,-60
1.015,Bluetooth,-63
1.015,Bluetooth,-64
1.195,Bluetooth,-60
1.196,Bluetooth,-60
1.299,Bluetooth,-59
1.300,Bluetooth,-59
1.338,Bluetooth,-60
1.339,Bluetooth,-58
1.373,Bluetooth,-62
1.374,Bluetooth,-64
1.470,Bluetooth,-58
1.471,Bluetooth,-57
1.510,Bluetooth,-59
1.511,Bluetooth,-59
1.541,Bluetooth,-63
1.542,Bluetooth,-63
1.577,Bluetooth,-58
1.579,Bluetooth,-57
1.610,Bluetooth,-59
1.611,Bluetooth,-60
1.646,Bluetooth,-64
1.647,Bluetooth,-64
1.714,Bluetooth,-59
1.746,Bluetooth,-58
1.747,Bluetooth,-58
1.959,Bluetooth,-66
1.961,Bluetooth,-65
2.000,Bluetooth,-60
2.002,Bluetooth,-59
2.031,Bluetooth,-65
2.070,Bluetooth,-59
2.070,Bluetooth,-59
2.101,Bluetooth,-60
2.102,Bluetooth,-61
2.134,Bluetooth,-63
2.135,Bluetooth,-65
2.209,Bluetooth,-59
2.210,Bluetooth,-59
2.246,Bluetooth,-58
2.247,Bluetooth,-60
2.317,Bluetooth,-58
2.354,Bluetooth,-65
2.355,Bluetooth,-64
2.395,Bluetooth,-58
2.396,Bluetooth,-58
2.432,Bluetooth,-60
2.433,Bluetooth,-60
2.504,Bluetooth,-59
2.505,Bluetooth,-60
2.570,Bluetooth,-59
2.571,Bluetooth,-60
2.602,Bluetooth,-65
2.603,Bluetooth,-65
2.683,Bluetooth,-59
2.684,Bluetooth,-59
2.751,Bluetooth,-60
2.752,Bluetooth,-60
2.833,Bluetooth,-60
2.834,Bluetooth,-60
2.865,Bluetooth,-59
2.866,Bluetooth,-59
2.902,Bluetooth,-64
2.903,Bluetooth,-65
2.934,Bluetooth,-64
2.964,Bluetooth,-65
2.965,Bluetooth,-65
2.996,Bluetooth,-60
2.997,Bluetooth,-60
3.035,Bluetooth,-59
3.036,Bluetooth,-60
3.106,Bluetooth,-59
3.107,Bluetooth,-60
