Distance,15.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-71
0.002,Bluetooth,-72
0.037,Bluetooth,-56
0.039,Bluetooth,-57
0.069,Bluetooth,-56
0.070,Bluetooth,-56
0.101,Bluetooth,-67
0.103,Bluetooth,-67
0.168,Bluetooth,-54
0.170,Bluetooth,-53
0.199,Bluetooth,-55
0.201,Bluetooth,-54
0.235,Bluetooth,-68
0.236,Bluetooth,-68
0.267,Bluetooth,-60
0.331,Bluetooth,-58
0.332,Bluetooth,-58
0.369,Bluetooth,-70
0.371,Bluetooth,-70
0.403,Bluetooth,-71
0.405,Bluetooth,-70
0.438,Bluetooth,-60
0.439,Bluetooth,-60
0.471,Bluetooth,-60
0.473,Bluetooth,-61
0.502,Bluetooth,-59
0.504,Bluetooth,-59
0.537,Bluetooth,-60
0.539,Bluetooth,-60
0.573,Bluetooth,-59
0.575,Bluetooth,-58
0.608,Bluetooth,-61
0.609,Bluetooth,-60
0.638,Bluetooth,-65
0.639,Bluetooth,-65
0.668,Bluetooth,-74
0.670,Bluetooth,-72
0.707,Bluetooth,-59
0.708,Bluetooth,-60
0.773,Bluetooth,-62
0.774,Bluetooth,-62
0.811,Bluetooth,-64
0.812,Bluetooth,-65
0.848,Bluetooth,-60
0.849,Bluetooth,-61
0.876,Bluetooth,-66
0.877,Bluetooth,-65
0.907,Bluetooth,-65
0.908,Bluetooth,-64
0.940,Bluetooth,-61
0.942,Bluetooth,-62
0.976,Bluetooth,-66
0.978,Bluetooth,-66
1.009,Bluetooth,-62
1.010,Bluetooth,-62
1.041,Bluetooth,-68
1.042,Bluetooth,-68
1.076,Bluetooth,-63
1.078,Bluetooth,-61
1.112,Bluetooth,-61
1.114,Bluetooth,-62
1.152,Bluetooth,-71
1.154,Bluetooth,-70
1.189,Bluetooth,-65
1.191,Bluetooth,-64
1.218,Bluetooth,-63
1.220,Bluetooth,-64
1.253,Bluetooth,-61
1.254,Bluetooth,-61
1.285,Bluetooth,-63
1.286,Bluetooth,-64
1.315,Bluetooth,-63
1.317,Bluetooth,-63
1.346,Bluetooth,-61
1.348,Bluetooth,-59
1.385,Bluetooth,-65
1.386,Bluetooth,-65
1.421,Bluetooth,-72
1.423,Bluetooth,-72
1.489,Bluetooth,-70
1.490,Bluetooth,-70
1.565,Bluetooth,-80
1.567,Bluetooth,-80
1.601,Bluetooth,-60
1.602,Bluetooth,-60
1.635,Bluetooth,-62
1.637,Bluetooth,-63
1.675,Bluetooth,-69
1.677,Bluetooth,-69
1.719,Bluetooth,-61
1.720,Bluetooth,-62
1.783,Bluetooth,-72
1.785,Bluetooth,-73
1.848,Bluetooth,-58
1.850,Bluetooth,-58
1.883,Bluetooth,-61
1.884,Bluetooth,-61
1.922,Bluetooth,-72
1.923,Bluetooth,-73
1.960,Bluetooth,-59
1.961,Bluetooth,-59
2.066,Bluetooth,-58
2.068,Bluetooth,-58
2.098,Bluetooth,-60
2.099,Bluetooth,-61
2.139,Bluetooth,-67
2.140,Bluetooth,-66
2.170,Bluetooth,-66
2.171,Bluetooth,-66
2.200,Bluetooth,-58
2.201,Bluetooth,-58
2.235,Bluetooth,-66
2.237,Bluetooth,-67
2.275,Bluetooth,-72
2.277,Bluetooth,-70
2.305,Bluetooth,-59
2.306,Bluetooth,-60
2.339,Bluetooth,-68
2.340,Bluetooth,-68
2.377,Bluetooth,-76
2.378,Bluetooth,-76
2.410,Bluetooth,-74
2.411,Bluetooth,-74
2.485,Bluetooth,-68
2.487,Bluetooth,-68
2.520,Bluetooth,-70
2.522,Bluetooth,-70
2.556,Bluetooth,-71
2.557,Bluetooth,-71
2.596,Bluetooth,-65
2.598,Bluetooth,-66
2.632,Bluetooth,-70
2.634,Bluetooth,-71
2.710,Bluetooth,-70
2.712,Bluetooth,-71
2.748,Bluetooth,-69
2.750,Bluetooth,-70
2.783,Bluetooth,-74
2.785,Bluetooth,-74
2.821,Bluetooth,-72
2.821,Bluetooth,-71
2.924,Bluetooth,-71
2.926,Bluetooth,-71
2.959,Bluetooth,-70
2.991,Bluetooth,-72
2.992,Bluetooth,-72
3.022,Bluetooth,-71
3.024,Bluetooth,-72
3.061,Bluetooth,-64
3.063,Bluetooth,-65
3.091,Bluetooth,-64
3.093,Bluetooth,-63
3.129,Bluetooth,-74
3.131,Bluetooth,-76
3.160,Bluetooth,-64
3.161,Bluetooth,-62
3.194,Bluetooth,-60
3.196,Bluetooth,-59
3.227,Bluetooth,-68
3.228,Bluetooth,-69
3.265,Bluetooth,-57
3.267,Bluetooth,-57
3.302,Bluetooth,-55
3.304,Bluetooth,-57
3.343,Bluetooth,-60
3.344,Bluetooth,-60
3.522,Bluetooth,-68
3.523,Bluetooth,-68
3.558,Bluetooth,-61
3.594,Bluetooth,-60
3.596,Bluetooth,-59
3.627,Bluetooth,-75
3.668,Bluetooth,-61
3.709,Bluetooth,-60
3.710,Bluetooth,-60
3.744,Bluetooth,-63
3.785,Bluetooth,-62
3.786,Bluetooth,-63
3.818,Bluetooth,-56
3.819,Bluetooth,-56
3.851,Bluetooth,-56
3.852,Bluetooth,-56
3.920,Bluetooth,-65
3.921,Bluetooth,-66
3.952,Bluetooth,-58
3.953,Bluetooth,-59
17.472,Bluetooth,-56
17.473,Bluetooth,-56
17.512,Bluetooth,-55
17.514,Bluetooth,-56
17.587,Bluetooth,-56
17.589,Bluetooth,-57
17.654,Bluetooth,-57
17.655,Bluetooth,-59
17.694,Bluetooth,-56
17.695,Bluetooth,-56
17.728,Bluetooth,-57
17.730,Bluetooth,-56
17.763,Bluetooth,-59
17.765,Bluetooth,-58
17.804,Bluetooth,-57
17.805,Bluetooth,-56
17.842,Bluetooth,-56
17.842,Bluetooth,-55
17.954,Bluetooth,-56
17.956,Bluetooth,-56
17.985,Bluetooth,-57
17.986,Bluetooth,-56
18.052,Bluetooth,-56
18.054,Bluetooth,-55
18.090,Bluetooth,-57
18.091,Bluetooth,-57
18.124,Bluetooth,-58
18.125,Bluetooth,-59
18.189,Bluetooth,-55
18.191,Bluetooth,-55
18.230,Bluetooth,-57
18.231,Bluetooth,-57
18.262,Bluetooth,-59
18.264,Bluetooth,-59
18.303,Bluetooth,-55
18.305,Bluetooth,-56
18.340,Bluetooth,-58
18.342,Bluetooth,-57
18.370,Bluetooth,-57
18.371,Bluetooth,-57
18.440,Bluetooth,-60
18.442,Bluetooth,-59
18.526,Bluetooth,-56
18.528,Bluetooth,-56
18.563,Bluetooth,-59
18.565,Bluetooth,-58
18.698,Bluetooth,-59
18.701,Bluetooth,-59
18.737,Bluetooth,-57
18.738,Bluetooth,-57
18.771,Bluetooth,-56
18.772,Bluetooth,-56
18.801,Bluetooth,-60
18.803,Bluetooth,-60
18.833,Bluetooth,-60
18.834,Bluetooth,-60
18.863,Bluetooth,-57
18.864,Bluetooth,-58
18.904,Bluetooth,-56
18.942,Bluetooth,-58
18.944,Bluetooth,-60
19.007,Bluetooth,-56
19.009,Bluetooth,-55
19.104,Bluetooth,-58
19.106,Bluetooth,-57
19.142,Bluetooth,-55
19.144,Bluetooth,-56
19.183,Bluetooth,-56
19.185,Bluetooth,-56
19.292,Bluetooth,-57
19.293,Bluetooth,-56
19.328,Bluetooth,-56
19.330,Bluetooth,-56
19.387,Bluetooth,-58
19.388,Bluetooth,-59
19.427,Bluetooth,-58
19.429,Bluetooth,-57
19.467,Bluetooth,-56
19.469,Bluetooth,-56
19.493,Bluetooth,-57
19.494,Bluetooth,-58
19.529,Bluetooth,-57
19.530,Bluetooth,-58
19.564,Bluetooth,-56
19.567,Bluetooth,-56
19.603,Bluetooth,-60
19.605,Bluetooth,-59
19.643,Bluetooth,-56
19.645,Bluetooth,-56
19.682,Bluetooth,-56
19.684,Bluetooth,-56
19.720,Bluetooth,-60
19.722,Bluetooth,-60
19.801,Bluetooth,-56
19.803,Bluetooth,-56
19.866,Bluetooth,-61
19.867,Bluetooth,-60
19.896,Bluetooth,-54
19.936,Bluetooth,-57
19.938,Bluetooth,-57
19.967,Bluetooth,-60
19.969,Bluetooth,-61
20.002,Bluetooth,-56
20.004,Bluetooth,-55
20.272,Bluetooth,-56
20.274,Bluetooth,-56
20.345,Bluetooth,-58
20.346,Bluetooth,-58
20.421,Bluetooth,-58
20.423,Bluetooth,-58
20.453,Bluetooth,-57
20.454,Bluetooth,-57
20.630,Bluetooth,-54
20.632,Bluetooth,-55
20.662,Bluetooth,-58
20.664,Bluetooth,-59
20.699,Bluetooth,-61
20.700,Bluetooth,-59
20.730,Bluetooth,-55
20.732,Bluetooth,-55
20.770,Bluetooth,-58
20.771,Bluetooth,-57
20.844,Bluetooth,-55
20.846,Bluetooth,-55
20.881,Bluetooth,-55
20.882,Bluetooth,-57
20.918,Bluetooth,-60
20.919,Bluetooth,-59
20.954,Bluetooth,-59
20.955,Bluetooth,-60
21.024,Bluetooth,-56
21.025,Bluetooth,-57
21.060,Bluetooth,-59
21.061,Bluetooth,-58
21.134,Bluetooth,-56
21.136,Bluetooth,-55
21.170,Bluetooth,-60
21.172,Bluetooth,-59
21.208,Bluetooth,-57
21.209,Bluetooth,-57
21.243,Bluetooth,-57
21.245,Bluetooth,-56
21.386,Bluetooth,-57
21.388,Bluetooth,-57
21.421,Bluetooth,-60
21.423,Bluetooth,-59
21.454,Bluetooth,-56
21.455,Bluetooth,-57
31.899,Bluetooth,-60
31.900,Bluetooth,-59
32.010,Bluetooth,-55
32.011,Bluetooth,-57
32.044,Bluetooth,-59
32.045,Bluetooth,-59
32.074,Bluetooth,-60
32.076,Bluetooth,-60
32.107,Bluetooth,-58
32.109,Bluetooth,-57
32.205,Bluetooth,-61
32.207,Bluetooth,-61
32.236,Bluetooth,-57
32.238,Bluetooth,-58
32.267,Bluetooth,-59
32.269,Bluetooth,-59
32.308,Bluetooth,-59
32.309,Bluetooth,-59
32.341,Bluetooth,-56
32.372,Bluetooth,-56
32.374,Bluetooth,-56
32.405,Bluetooth,-58
32.406,Bluetooth,-59
32.481,Bluetooth,-56
32.482,Bluetooth,-56
32.508,Bluetooth,-58
32.509,Bluetooth,-59
32.546,Bluetooth,-59
32.547,Bluetooth,-58
32.586,Bluetooth,-56
32.588,Bluetooth,-56
32.625,Bluetooth,-58
32.626,Bluetooth,-57
32.666,Bluetooth,-60
