Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-48
0.002,Bluetooth,-48
0.040,Bluetooth,-48
0.041,Bluetooth,-49
0.069,Bluetooth,-48
0.070,Bluetooth,-47
0.100,Bluetooth,-47
0.101,Bluetooth,-49
0.282,Bluetooth,-48
0.283,Bluetooth,-47
0.348,Bluetooth,-48
0.348,Bluetooth,-48
0.378,Bluetooth,-48
0.379,Bluetooth,-49
0.408,Bluetooth,-50
0.584,Bluetooth,-47
0.585,Bluetooth,-48
0.614,Bluetooth,-48
0.614,Bluetooth,-48
0.657,Bluetooth,-49
0.658,Bluetooth,-48
0.793,Bluetooth,-48
0.794,Bluetooth,-49
0.828,Bluetooth,-49
0.829,Bluetooth,-49
0.857,Bluetooth,-49
0.858,Bluetooth,-49
0.994,Bluetooth,-49
0.996,Bluetooth,-49
1.030,Bluetooth,-49
1.065,Bluetooth,-49
1.067,Bluetooth,-50
1.143,Bluetooth,-50
1.144,Bluetooth,-49
1.174,Bluetooth,-49
1.175,Bluetooth,-48
1.212,Bluetooth,-50
1.214,Bluetooth,-49
1.247,Bluetooth,-49
1.247,Bluetooth,-50
1.281,Bluetooth,-49
1.282,Bluetooth,-48
1.321,Bluetooth,-50
1.352,Bluetooth,-49
1.392,Bluetooth,-50
1.394,Bluetooth,-49
1.427,Bluetooth,-49
1.428,Bluetooth,-49
1.563,Bluetooth,-49
1.564,Bluetooth,-49
1.594,Bluetooth,-49
1.595,Bluetooth,-48
1.632,Bluetooth,-48
1.736,Bluetooth,-49
1.737,Bluetooth,-49
1.765,Bluetooth,-48
1.767,Bluetooth,-50
1.801,Bluetooth,-49
1.906,Bluetooth,-49
1.907,Bluetooth,-50
1.908,Bluetooth,-49
1.943,Bluetooth,-49
1.944,Bluetooth,-49
1.980,Bluetooth,-49
1.981,Bluetooth,-50
2.046,Bluetooth,-50
2.046,Bluetooth,-48
2.076,Bluetooth,-48
2.077,Bluetooth,-49
2.113,Bluetooth,-50
2.115,Bluetooth,-49
2.150,Bluetooth,-49
2.150,Bluetooth,-49
2.185,Bluetooth,-48
2.187,Bluetooth,-49
2.220,Bluetooth,-49
2.251,Bluetooth,-49
2.253,Bluetooth,-49
2.287,Bluetooth,-49
2.288,Bluetooth,-50
2.365,Bluetooth,-49
2.366,Bluetooth,-48
2.406,Bluetooth,-49
2.407,Bluetooth,-49
2.442,Bluetooth,-48
2.443,Bluetooth,-49
2.480,Bluetooth,-49
2.481,Bluetooth,-49
2.518,Bluetooth,-48
2.555,Bluetooth,-48
2.557,Bluetooth,-48
2.635,Bluetooth,-49
2.637,Bluetooth,-50
2.673,Bluetooth,-49
2.674,Bluetooth,-48
2.707,Bluetooth,-48
2.708,Bluetooth,-48
2.808,Bluetooth,-49
2.919,Bluetooth,-48
2.920,Bluetooth,-47
2.985,Bluetooth,-48
2.986,Bluetooth,-49
3.087,Bluetooth,-50
3.089,Bluetooth,-48
3.120,Bluetooth,-49
3.199,Bluetooth,-49
3.200,Bluetooth,-49
3.270,Bluetooth,-49
3.272,Bluetooth,-48
3.311,Bluetooth,-49
3.312,Bluetooth,-49
3.344,Bluetooth,-49
3.346,Bluetooth,-49
3.415,Bluetooth,-48
3.454,Bluetooth,-48
3.455,Bluetooth,-49
3.486,Bluetooth,-47
3.486,Bluetooth,-48
3.519,Bluetooth,-48
3.520,Bluetooth,-48
3.626,Bluetooth,-48
3.627,Bluetooth,-49
3.658,Bluetooth,-49
3.659,Bluetooth,-48
3.731,Bluetooth,-49
3.767,Bluetooth,-49
3.768,Bluetooth,-48
3.798,Bluetooth,-48
3.799,Bluetooth,-48
3.838,Bluetooth,-49
3.839,Bluetooth,-49
3.912,Bluetooth,-49
3.913,Bluetooth,-49
3.986,Bluetooth,-49
3.987,Bluetooth,-49
72.614,Bluetooth,-51
72.615,Bluetooth,-51
72.716,Bluetooth,-52
72.746,Bluetooth,-51
72.747,Bluetooth,-51
72.842,Bluetooth,-55
72.843,Bluetooth,-55
72.874,Bluetooth,-51
72.875,Bluetooth,-51
72.908,Bluetooth,-52
72.909,Bluetooth,-53
72.942,Bluetooth,-55
72.943,Bluetooth,-54
73.008,Bluetooth,-54
73.043,Bluetooth,-51
73.044,Bluetooth,-51
73.082,Bluetooth,-51
73.083,Bluetooth,-52
73.178,Bluetooth,-51
73.280,Bluetooth,-54
73.281,Bluetooth,-54
73.310,Bluetooth,-52
73.349,Bluetooth,-53
73.350,Bluetooth,-54
73.382,Bluetooth,-52
73.383,Bluetooth,-52
73.412,Bluetooth,-52
73.413,Bluetooth,-51
73.443,Bluetooth,-52
73.444,Bluetooth,-52
73.591,Bluetooth,-53
73.592,Bluetooth,-52
73.704,Bluetooth,-55
73.704,Bluetooth,-55
73.735,Bluetooth,-53
73.736,Bluetooth,-52
73.771,Bluetooth,-53
73.772,Bluetooth,-53
73.806,Bluetooth,-55
73.807,Bluetooth,-56
73.908,Bluetooth,-53
74.006,Bluetooth,-56
74.007,Bluetooth,-57
74.078,Bluetooth,-54
74.079,Bluetooth,-54
74.220,Bluetooth,-56
74.336,Bluetooth,-54
74.337,Bluetooth,-54
74.371,Bluetooth,-55
74.371,Bluetooth,-55
74.409,Bluetooth,-61
74.410,Bluetooth,-61
74.447,Bluetooth,-55
74.448,Bluetooth,-54
74.485,Bluetooth,-57
74.485,Bluetooth,-56
74.526,Bluetooth,-57
74.562,Bluetooth,-57
74.563,Bluetooth,-57
74.671,Bluetooth,-61
74.672,Bluetooth,-62
74.707,Bluetooth,-60
74.708,Bluetooth,-61
74.738,Bluetooth,-63
74.739,Bluetooth,-63
74.774,Bluetooth,-66
74.880,Bluetooth,-67
74.881,Bluetooth,-69
74.951,Bluetooth,-59
74.952,Bluetooth,-59
75.023,Bluetooth,-63
75.024,Bluetooth,-62
75.161,Bluetooth,-58
75.194,Bluetooth,-66
75.195,Bluetooth,-64
75.291,Bluetooth,-57
75.292,Bluetooth,-56
75.322,Bluetooth,-64
75.323,Bluetooth,-64
75.356,Bluetooth,-59
75.357,Bluetooth,-59
75.386,Bluetooth,-56
75.386,Bluetooth,-55
75.422,Bluetooth,-63
75.490,Bluetooth,-62
75.491,Bluetooth,-62
75.566,Bluetooth,-56
75.567,Bluetooth,-53
75.721,Bluetooth,-61
75.753,Bluetooth,-54
75.754,Bluetooth,-55
75.815,Bluetooth,-60
75.816,Bluetooth,-60
75.881,Bluetooth,-53
75.882,Bluetooth,-54
75.985,Bluetooth,-65
75.986,Bluetooth,-66
76.021,Bluetooth,-54
76.050,Bluetooth,-63
76.051,Bluetooth,-61
76.092,Bluetooth,-68
76.093,Bluetooth,-69
76.121,Bluetooth,-56
76.122,Bluetooth,-55
76.192,Bluetooth,-63
76.193,Bluetooth,-64
76.327,Bluetooth,-62
76.536,Bluetooth,-66
76.537,Bluetooth,-66
76.570,Bluetooth,-55
76.571,Bluetooth,-55
149.556,Bluetooth,-49
149.557,Bluetooth,-48
149.597,Bluetooth,-51
149.598,Bluetooth,-51
149.638,Bluetooth,-52
149.638,Bluetooth,-51
149.747,Bluetooth,-51
149.748,Bluetooth,-52
149.783,Bluetooth,-48
149.784,Bluetooth,-48
149.824,Bluetooth,-48
149.853,Bluetooth,-47
149.854,Bluetooth,-48
149.889,Bluetooth,-51
149.890,Bluetooth,-51
149.925,Bluetooth,-53
149.926,Bluetooth,-52
150.065,Bluetooth,-51
150.066,Bluetooth,-51
150.106,Bluetooth,-51
150.107,Bluetooth,-52
150.144,Bluetooth,-51
150.145,Bluetooth,-52
150.245,Bluetooth,-49
150.246,Bluetooth,-49
150.279,Bluetooth,-51
150.279,Bluetooth,-51
150.307,Bluetooth,-47
150.309,Bluetooth,-48
150.406,Bluetooth,-52
150.445,Bluetooth,-51
150.446,Bluetooth,-51
150.587,Bluetooth,-52
150.588,Bluetooth,-52
150.699,Bluetooth,-52
150.700,Bluetooth,-52
150.770,Bluetooth,-52
150.771,Bluetooth,-51
150.891,Bluetooth,-51
150.892,Bluetooth,-52
150.928,Bluetooth,-47
150.929,Bluetooth,-47
150.968,Bluetooth,-48
150.969,Bluetooth,-49
151.046,Bluetooth,-52
151.046,Bluetooth,-52
151.114,Bluetooth,-47
151.115,Bluetooth,-48
151.184,Bluetooth,-52
151.185,Bluetooth,-53
151.220,Bluetooth,-47
151.221,Bluetooth,-47
151.259,Bluetooth,-50
151.260,Bluetooth,-50
151.296,Bluetooth,-52
151.296,Bluetooth,-53
151.335,Bluetooth,-51
151.373,Bluetooth,-53
151.374,Bluetooth,-52
151.405,Bluetooth,-48
151.406,Bluetooth,-47
151.550,Bluetooth,-49
151.551,Bluetooth,-49
151.622,Bluetooth,-48
151.656,Bluetooth,-48
151.658,Bluetooth,-47
151.686,Bluetooth,-50
151.688,Bluetooth,-50
151.722,Bluetooth,-52
151.723,Bluetooth,-52
151.875,Bluetooth,-53
151.876,Bluetooth,-52
151.906,Bluetooth,-48
151.907,Bluetooth,-48
151.939,Bluetooth,-49
152.007,Bluetooth,-49
152.008,Bluetooth,-50
152.037,Bluetooth,-52
152.038,Bluetooth,-53
152.067,Bluetooth,-50
152.068,Bluetooth,-49
152.105,Bluetooth,-49
152.106,Bluetooth,-49
152.208,Bluetooth,-53
152.243,Bluetooth,-48
152.244,Bluetooth,-47
152.282,Bluetooth,-50
152.283,Bluetooth,-51
152.391,Bluetooth,-48
152.457,Bluetooth,-53
152.458,Bluetooth,-52
152.489,Bluetooth,-49
152.490,Bluetooth,-49
152.528,Bluetooth,-49
152.563,Bluetooth,-49
152.563,Bluetooth,-49
152.601,Bluetooth,-50
152.603,Bluetooth,-49
152.826,Bluetooth,-51
152.857,Bluetooth,-52
152.858,Bluetooth,-52
152.895,Bluetooth,-51
152.896,Bluetooth,-50
152.931,Bluetooth,-51
152.932,Bluetooth,-52
153.041,Bluetooth,-52
153.042,Bluetooth,-51
153.143,Bluetooth,-52
153.144,Bluetooth,-52
153.184,Bluetooth,-51
153.185,Bluetooth,-51
153.254,Bluetooth,-50
153.255,Bluetooth,-51
153.322,Bluetooth,-52
153.323,Bluetooth,-52
153.458,Bluetooth,-52
153.459,Bluetooth,-52
153.495,Bluetooth,-52
153.496,Bluetooth,-52
228.167,Bluetooth,-49
228.168,Bluetooth,-50
228.308,Bluetooth,-48
228.309,Bluetooth,-49
228.344,Bluetooth,-49
228.345,Bluetooth,-50
228.378,Bluetooth,-47
228.378,Bluetooth,-48
228.418,Bluetooth,-49
228.449,Bluetooth,-48
228.449,Bluetooth,-49
228.511,Bluetooth,-49
228.511,Bluetooth,-48
228.580,Bluetooth,-49
228.581,Bluetooth,-49
228.617,Bluetooth,-48
228.618,Bluetooth,-48
228.683,Bluetooth,-49
228.684,Bluetooth,-49
228.716,Bluetooth,-48
228.747,Bluetooth,-49
228.748,Bluetooth,-49
228.852,Bluetooth,-49
228.853,Bluetooth,-49
228.885,Bluetooth,-50
228.886,Bluetooth,-49
228.958,Bluetooth,-49
228.959,Bluetooth,-50
229.130,Bluetooth,-51
229.131,Bluetooth,-51
229.163,Bluetooth,-50
229.164,Bluetooth,-50
229.272,Bluetooth,-56
229.274,Bluetooth,-57
229.307,Bluetooth,-53
229.308,Bluetooth,-53
229.345,Bluetooth,-52
229.346,Bluetooth,-53
229.418,Bluetooth,-57
229.419,Bluetooth,-58
229.454,Bluetooth,-63
229.455,Bluetooth,-63
229.524,Bluetooth,-61
229.525,Bluetooth,-61
229.588,Bluetooth,-71
229.590,Bluetooth,-71
229.629,Bluetooth,-64
229.668,Bluetooth,-65
229.669,Bluetooth,-63
229.731,Bluetooth,-57
229.732,Bluetooth,-58
229.863,Bluetooth,-56
229.864,Bluetooth,-57
229.897,Bluetooth,-56
229.898,Bluetooth,-56
229.931,Bluetooth,-60
229.966,Bluetooth,-53
229.968,Bluetooth,-53
230.035,Bluetooth,-54
230.037,Bluetooth,-54
230.070,Bluetooth,-55
230.071,Bluetooth,-54
230.104,Bluetooth,-58
230.106,Bluetooth,-58
230.171,Bluetooth,-55
230.172,Bluetooth,-55
230.213,Bluetooth,-55
230.280,Bluetooth,-60
230.281,Bluetooth,-59
230.416,Bluetooth,-58
230.418,Bluetooth,-58
230.530,Bluetooth,-54
230.569,Bluetooth,-57
230.641,Bluetooth,-55
230.751,Bluetooth,-52
230.752,Bluetooth,-52
230.783,Bluetooth,-50
230.784,Bluetooth,-51
230.821,Bluetooth,-57
230.858,Bluetooth,-57
230.859,Bluetooth,-56
230.892,Bluetooth,-54
230.893,Bluetooth,-55
230.929,Bluetooth,-51
230.930,Bluetooth,-52
230.967,Bluetooth,-57
230.968,Bluetooth,-57
231.042,Bluetooth,-51
231.042,Bluetooth,-50
231.118,Bluetooth,-55
231.323,Bluetooth,-57
231.324,Bluetooth,-55
231.362,Bluetooth,-52
231.363,Bluetooth,-51
231.399,Bluetooth,-58
231.400,Bluetooth,-58
231.435,Bluetooth,-52
231.471,Bluetooth,-58
231.472,Bluetooth,-58
231.504,Bluetooth,-57
231.505,Bluetooth,-57
231.536,Bluetooth,-50
231.537,Bluetooth,-52
231.607,Bluetooth,-58
231.608,Bluetooth,-59
231.671,Bluetooth,-53
231.672,Bluetooth,-53
231.707,Bluetooth,-56
231.821,Bluetooth,-52
231.822,Bluetooth,-52
231.888,Bluetooth,-57
231.889,Bluetooth,-57
231.922,Bluetooth,-61
231.923,Bluetooth,-61
231.992,Bluetooth,-54
232.023,Bluetooth,-60
232.061,Bluetooth,-57
232.062,Bluetooth,-56
232.134,Bluetooth,-53
232.135,Bluetooth,-53
297.292,Bluetooth,-53
297.294,Bluetooth,-53
297.326,Bluetooth,-50
297.327,Bluetooth,-51
297.398,Bluetooth,-52
297.399,Bluetooth,-51
297.468,Bluetooth,-53
297.469,Bluetooth,-53
297.503,Bluetooth,-51
297.504,Bluetooth,-51
297.540,Bluetooth,-49
297.541,Bluetooth,-49
297.576,Bluetooth,-53
297.577,Bluetooth,-53
297.607,Bluetooth,-52
297.608,Bluetooth,-52
297.671,Bluetooth,-50
297.672,Bluetooth,-51
297.747,Bluetooth,-52
297.748,Bluetooth,-52
297.852,Bluetooth,-51
297.853,Bluetooth,-51
297.888,Bluetooth,-53
297.889,Bluetooth,-53
297.921,Bluetooth,-53
297.922,Bluetooth,-52
297.959,Bluetooth,-51
297.960,Bluetooth,-51
297.998,Bluetooth,-53
297.999,Bluetooth,-52
298.061,Bluetooth,-53
298.062,Bluetooth,-53
298.095,Bluetooth,-52
298.096,Bluetooth,-50
298.129,Bluetooth,-51
298.130,Bluetooth,-52
298.163,Bluetooth,-52
298.164,Bluetooth,-52
298.227,Bluetooth,-51
298.228,Bluetooth,-50
298.258,Bluetooth,-50
298.259,Bluetooth,-50
298.295,Bluetooth,-52
298.296,Bluetooth,-52
298.331,Bluetooth,-50
298.363,Bluetooth,-51
298.364,Bluetooth,-51
298.404,Bluetooth,-50
298.405,Bluetooth,-50
298.433,Bluetooth,-49
298.433,Bluetooth,-49
298.542,Bluetooth,-51
298.542,Bluetooth,-50
298.577,Bluetooth,-49
298.578,Bluetooth,-49
298.618,Bluetooth,-53
298.657,Bluetooth,-52
298.657,Bluetooth,-52
298.696,Bluetooth,-52
298.698,Bluetooth,-51
298.732,Bluetooth,-51
298.733,Bluetooth,-50
298.768,Bluetooth,-52
298.769,Bluetooth,-52
298.805,Bluetooth,-51
298.805,Bluetooth,-52
298.843,Bluetooth,-51
298.844,Bluetooth,-51
298.917,Bluetooth,-53
298.950,Bluetooth,-52
298.951,Bluetooth,-51
298.984,Bluetooth,-53
298.985,Bluetooth,-53
299.085,Bluetooth,-53
299.085,Bluetooth,-54
299.121,Bluetooth,-54
299.122,Bluetooth,-55
299.190,Bluetooth,-53
299.191,Bluetooth,-54
299.290,Bluetooth,-54
299.290,Bluetooth,-55
299.389,Bluetooth,-54
299.390,Bluetooth,-54
299.419,Bluetooth,-53
299.420,Bluetooth,-52
299.456,Bluetooth,-50
299.457,Bluetooth,-48
299.494,Bluetooth,-53
299.495,Bluetooth,-53
299.529,Bluetooth,-54
299.598,Bluetooth,-52
299.599,Bluetooth,-53
299.629,Bluetooth,-48
299.630,Bluetooth,-48
299.704,Bluetooth,-53
299.704,Bluetooth,-52
299.822,Bluetooth,-52
299.861,Bluetooth,-51
299.862,Bluetooth,-52
299.893,Bluetooth,-51
299.894,Bluetooth,-52
299.964,Bluetooth,-53
299.965,Bluetooth,-54
300.067,Bluetooth,-49
300.068,Bluetooth,-48
300.103,Bluetooth,-53
300.104,Bluetooth,-52
300.182,Bluetooth,-53
