Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-60
0.001,Bluetooth,-59
0.167,Bluetooth,-57
0.168,Bluetooth,-58
0.266,Bluetooth,-57
0.267,Bluetooth,-57
0.304,Bluetooth,-60
0.305,Bluetooth,-60
0.340,Bluetooth,-62
0.341,Bluetooth,-63
0.373,Bluetooth,-58
0.374,Bluetooth,-58
0.415,Bluetooth,-62
0.416,Bluetooth,-64
0.554,Bluetooth,-60
0.555,Bluetooth,-60
0.598,Bluetooth,-58
0.599,Bluetooth,-57
0.628,Bluetooth,-67
0.629,Bluetooth,-67
0.693,Bluetooth,-64
0.693,Bluetooth,-64
0.729,Bluetooth,-58
0.730,Bluetooth,-58
0.769,Bluetooth,-60
0.770,Bluetooth,-60
0.804,Bluetooth,-63
0.805,Bluetooth,-64
0.838,Bluetooth,-60
0.915,Bluetooth,-60
0.917,Bluetooth,-60
0.949,Bluetooth,-62
0.950,Bluetooth,-60
0.977,Bluetooth,-60
0.978,Bluetooth,-61
1.018,Bluetooth,-58
1.019,Bluetooth,-58
1.087,Bluetooth,-60
1.088,Bluetooth,-61
1.129,Bluetooth,-61
1.166,Bluetooth,-61
1.167,Bluetooth,-61
1.235,Bluetooth,-54
1.236,Bluetooth,-54
1.275,Bluetooth,-60
1.275,Bluetooth,-61
1.305,Bluetooth,-57
1.306,Bluetooth,-58
1.336,Bluetooth,-54
1.337,Bluetooth,-52
1.442,Bluetooth,-60
1.476,Bluetooth,-57
1.477,Bluetooth,-61
1.517,Bluetooth,-56
1.518,Bluetooth,-58
1.581,Bluetooth,-61
1.582,Bluetooth,-61
1.689,Bluetooth,-60
1.690,Bluetooth,-60
1.720,Bluetooth,-57
1.797,Bluetooth,-58
1.798,Bluetooth,-58
1.835,Bluetooth,-58
1.836,Bluetooth,-58
1.873,Bluetooth,-62
1.874,Bluetooth,-62
2.019,Bluetooth,-59
2.051,Bluetooth,-60
2.052,Bluetooth,-61
2.116,Bluetooth,-55
2.117,Bluetooth,-55
2.179,Bluetooth,-60
2.180,Bluetooth,-59
2.209,Bluetooth,-56
2.210,Bluetooth,-54
2.313,Bluetooth,-61
2.349,Bluetooth,-61
2.350,Bluetooth,-60
2.388,Bluetooth,-55
2.389,Bluetooth,-55
2.461,Bluetooth,-57
2.462,Bluetooth,-56
2.632,Bluetooth,-55
2.669,Bluetooth,-61
2.669,Bluetooth,-60
2.706,Bluetooth,-55
2.707,Bluetooth,-55
2.745,Bluetooth,-56
2.746,Bluetooth,-57
2.779,Bluetooth,-61
2.780,Bluetooth,-61
2.814,Bluetooth,-55
2.815,Bluetooth,-53
2.918,Bluetooth,-57
2.952,Bluetooth,-61
3.031,Bluetooth,-58
3.033,Bluetooth,-57
3.164,Bluetooth,-59
3.165,Bluetooth,-57
3.202,Bluetooth,-61
3.203,Bluetooth,-60
3.231,Bluetooth,-60
3.263,Bluetooth,-61
3.264,Bluetooth,-61
3.339,Bluetooth,-58
3.340,Bluetooth,-57
3.368,Bluetooth,-61
3.369,Bluetooth,-61
3.541,Bluetooth,-56
3.611,Bluetooth,-56
3.611,Bluetooth,-55
3.641,Bluetooth,-58
3.641,Bluetooth,-58
3.714,Bluetooth,-55
3.715,Bluetooth,-56
3.779,Bluetooth,-57
3.780,Bluetooth,-57
3.840,Bluetooth,-57
3.874,Bluetooth,-64
3.875,Bluetooth,-63
3.942,Bluetooth,-64
3.943,Bluetooth,-62
3.976,Bluetooth,-63
3.977,Bluetooth,-63
13.610,Bluetooth,-67
13.611,Bluetooth,-67
13.717,Bluetooth,-69
13.749,Bluetooth,-58
13.750,Bluetooth,-58
13.855,Bluetooth,-56
13.855,Bluetooth,-56
13.927,Bluetooth,-56
13.927,Bluetooth,-56
14.035,Bluetooth,-56
14.067,Bluetooth,-59
14.068,Bluetooth,-59
14.105,Bluetooth,-70
14.106,Bluetooth,-69
14.141,Bluetooth,-56
14.142,Bluetooth,-55
14.180,Bluetooth,-59
14.181,Bluetooth,-59
14.212,Bluetooth,-71
14.213,Bluetooth,-69
14.248,Bluetooth,-56
14.249,Bluetooth,-56
14.325,Bluetooth,-58
14.365,Bluetooth,-60
14.366,Bluetooth,-60
14.433,Bluetooth,-57
14.434,Bluetooth,-56
14.471,Bluetooth,-58
14.472,Bluetooth,-59
14.513,Bluetooth,-65
14.618,Bluetooth,-66
14.655,Bluetooth,-59
14.655,Bluetooth,-59
14.689,Bluetooth,-66
14.689,Bluetooth,-65
14.787,Bluetooth,-59
14.788,Bluetooth,-59
14.822,Bluetooth,-66
14.823,Bluetooth,-66
