Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-62
0.001,Bluetooth,-61
0.030,Bluetooth,-66
0.031,Bluetooth,-66
0.123,Bluetooth,-62
0.124,Bluetooth,-61
0.160,Bluetooth,-67
0.161,Bluetooth,-66
0.192,Bluetooth,-62
0.193,Bluetooth,-62
0.257,Bluetooth,-66
0.258,Bluetooth,-66
0.321,Bluetooth,-62
0.323,Bluetooth,-61
0.351,Bluetooth,-66
0.353,Bluetooth,-67
0.414,Bluetooth,-62
0.415,Bluetooth,-62
0.447,Bluetooth,-66
0.449,Bluetooth,-66
0.512,Bluetooth,-61
0.513,Bluetooth,-62
0.543,Bluetooth,-65
0.544,Bluetooth,-66
0.605,Bluetooth,-62
0.606,Bluetooth,-62
0.638,Bluetooth,-66
0.639,Bluetooth,-65
0.697,Bluetooth,-62
0.698,Bluetooth,-63
0.756,Bluetooth,-66
0.758,Bluetooth,-66
0.849,Bluetooth,-65
0.850,Bluetooth,-67
0.912,Bluetooth,-63
0.913,Bluetooth,-61
0.945,Bluetooth,-65
0.947,Bluetooth,-65
1.001,Bluetooth,-62
1.002,Bluetooth,-62
1.030,Bluetooth,-65
1.031,Bluetooth,-65
1.061,Bluetooth,-66
1.061,Bluetooth,-65
1.120,Bluetooth,-62
1.121,Bluetooth,-62
1.153,Bluetooth,-66
1.154,Bluetooth,-66
1.207,Bluetooth,-63
1.208,Bluetooth,-63
1.239,Bluetooth,-65
1.240,Bluetooth,-67
1.301,Bluetooth,-62
1.302,Bluetooth,-62
1.334,Bluetooth,-67
1.335,Bluetooth,-66
1.401,Bluetooth,-61
1.402,Bluetooth,-62
1.433,Bluetooth,-66
1.434,Bluetooth,-66
1.492,Bluetooth,-62
1.493,Bluetooth,-62
1.556,Bluetooth,-66
1.557,Bluetooth,-66
1.589,Bluetooth,-62
1.590,Bluetooth,-63
1.620,Bluetooth,-62
1.621,Bluetooth,-63
1.651,Bluetooth,-66
1.652,Bluetooth,-66
1.710,Bluetooth,-62
1.712,Bluetooth,-62
1.741,Bluetooth,-66
1.743,Bluetooth,-66
1.775,Bluetooth,-69
1.776,Bluetooth,-69
1.805,Bluetooth,-61
1.806,Bluetooth,-62
1.836,Bluetooth,-66
1.837,Bluetooth,-66
1.931,Bluetooth,-65
1.932,Bluetooth,-66
1.994,Bluetooth,-62
1.995,Bluetooth,-62
2.028,Bluetooth,-66
