Distance,10.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-58
0.001,Bluetooth,-57
0.066,Bluetooth,-61
0.067,Bluetooth,-60
0.105,Bluetooth,-58
0.106,Bluetooth,-60
0.142,Bluetooth,-62
0.143,Bluetooth,-62
0.178,Bluetooth,-58
0.179,Bluetooth,-57
0.214,Bluetooth,-61
0.327,Bluetooth,-57
0.327,Bluetooth,-57
0.367,Bluetooth,-63
0.368,Bluetooth,-63
0.442,Bluetooth,-61
0.443,Bluetooth,-61
0.508,Bluetooth,-63
0.572,Bluetooth,-60
0.573,Bluetooth,-60
0.739,Bluetooth,-58
0.740,Bluetooth,-59
0.838,Bluetooth,-58
0.839,Bluetooth,-57
0.876,Bluetooth,-59
0.877,Bluetooth,-60
0.912,Bluetooth,-61
0.913,Bluetooth,-62
0.945,Bluetooth,-59
0.946,Bluetooth,-58
0.987,Bluetooth,-62
0.988,Bluetooth,-63
1.126,Bluetooth,-61
1.127,Bluetooth,-59
1.170,Bluetooth,-58
1.171,Bluetooth,-58
1.200,Bluetooth,-67
1.201,Bluetooth,-67
1.265,Bluetooth,-64
1.265,Bluetooth,-63
1.301,Bluetooth,-58
1.302,Bluetooth,-58
1.341,Bluetooth,-61
1.342,Bluetooth,-61
1.376,Bluetooth,-63
1.377,Bluetooth,-63
1.410,Bluetooth,-61
1.487,Bluetooth,-60
1.489,Bluetooth,-59
1.521,Bluetooth,-61
1.522,Bluetooth,-61
1.549,Bluetooth,-61
1.550,Bluetooth,-61
1.590,Bluetooth,-59
1.591,Bluetooth,-58
1.659,Bluetooth,-60
1.660,Bluetooth,-61
1.701,Bluetooth,-59
1.738,Bluetooth,-61
1.739,Bluetooth,-61
1.807,Bluetooth,-54
1.808,Bluetooth,-54
1.847,Bluetooth,-61
1.847,Bluetooth,-60
1.877,Bluetooth,-58
1.878,Bluetooth,-58
1.908,Bluetooth,-53
1.909,Bluetooth,-54
2.014,Bluetooth,-61
2.048,Bluetooth,-58
2.049,Bluetooth,-61
2.089,Bluetooth,-56
2.090,Bluetooth,-58
2.153,Bluetooth,-61
2.154,Bluetooth,-61
2.261,Bluetooth,-60
2.262,Bluetooth,-61
2.292,Bluetooth,-57
2.369,Bluetooth,-57
2.370,Bluetooth,-57
2.407,Bluetooth,-58
2.408,Bluetooth,-59
2.445,Bluetooth,-62
2.446,Bluetooth,-63
2.591,Bluetooth,-58
2.623,Bluetooth,-60
2.624,Bluetooth,-59
2.688,Bluetooth,-55
2.689,Bluetooth,-55
2.751,Bluetooth,-61
2.752,Bluetooth,-60
2.781,Bluetooth,-55
2.782,Bluetooth,-55
2.885,Bluetooth,-61
2.921,Bluetooth,-61
2.922,Bluetooth,-61
2.960,Bluetooth,-55
2.961,Bluetooth,-56
3.033,Bluetooth,-57
3.034,Bluetooth,-56
3.204,Bluetooth,-54
3.241,Bluetooth,-62
3.241,Bluetooth,-61
3.278,Bluetooth,-55
3.279,Bluetooth,-55
3.317,Bluetooth,-58
3.318,Bluetooth,-57
3.351,Bluetooth,-62
3.352,Bluetooth,-61
3.386,Bluetooth,-55
3.387,Bluetooth,-55
3.490,Bluetooth,-57
3.524,Bluetooth,-60
3.603,Bluetooth,-57
3.605,Bluetooth,-57
3.736,Bluetooth,-58
3.737,Bluetooth,-59
3.774,Bluetooth,-61
3.775,Bluetooth,-61
3.803,Bluetooth,-60
3.835,Bluetooth,-61
3.836,Bluetooth,-61
3.911,Bluetooth,-58
3.912,Bluetooth,-58
3.940,Bluetooth,-61
3.941,Bluetooth,-62
77.287,Bluetooth,-54
77.355,Bluetooth,-53
77.356,Bluetooth,-53
77.388,Bluetooth,-54
77.389,Bluetooth,-56
77.461,Bluetooth,-54
77.462,Bluetooth,-54
77.568,Bluetooth,-52
77.569,Bluetooth,-52
77.600,Bluetooth,-55
77.638,Bluetooth,-55
77.639,Bluetooth,-55
77.674,Bluetooth,-52
77.675,Bluetooth,-51
77.809,Bluetooth,-51
77.810,Bluetooth,-51
77.913,Bluetooth,-50
78.101,Bluetooth,-50
78.102,Bluetooth,-51
78.169,Bluetooth,-56
78.169,Bluetooth,-56
78.240,Bluetooth,-55
78.241,Bluetooth,-56
78.271,Bluetooth,-52
78.272,Bluetooth,-52
78.386,Bluetooth,-51
78.387,Bluetooth,-52
78.425,Bluetooth,-55
78.426,Bluetooth,-55
78.494,Bluetooth,-54
78.533,Bluetooth,-55
78.534,Bluetooth,-55
78.650,Bluetooth,-54
78.651,Bluetooth,-54
78.717,Bluetooth,-51
78.718,Bluetooth,-51
78.752,Bluetooth,-54
78.753,Bluetooth,-53
78.788,Bluetooth,-51
78.827,Bluetooth,-52
78.828,Bluetooth,-52
78.861,Bluetooth,-54
78.862,Bluetooth,-53
78.929,Bluetooth,-54
78.930,Bluetooth,-54
78.996,Bluetooth,-55
78.997,Bluetooth,-53
79.023,Bluetooth,-54
