Distance,4.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,standing
0.000,Bluetooth,-78
0.001,Bluetooth,-78
0.030,Bluetooth,-69
0.031,Bluetooth,-68
0.066,Bluetooth,-77
0.068,Bluetooth,-76
0.131,Bluetooth,-78
0.132,Bluetooth,-79
0.165,Bluetooth,-68
0.165,Bluetooth,-67
0.199,Bluetooth,-77
0.200,Bluetooth,-76
0.229,Bluetooth,-78
0.229,Bluetooth,-80
0.262,Bluetooth,-69
0.262,Bluetooth,-69
0.293,Bluetooth,-69
0.293,Bluetooth,-69
0.324,Bluetooth,-77
0.324,Bluetooth,-76
0.356,Bluetooth,-78
0.356,Bluetooth,-78
0.388,Bluetooth,-69
0.388,Bluetooth,-69
0.421,Bluetooth,-76
0.422,Bluetooth,-75
0.452,Bluetooth,-76
0.453,Bluetooth,-76
0.485,Bluetooth,-77
0.486,Bluetooth,-78
0.516,Bluetooth,-69
0.517,Bluetooth,-70
0.547,Bluetooth,-77
0.548,Bluetooth,-75
0.611,Bluetooth,-79
0.612,Bluetooth,-80
0.640,Bluetooth,-68
0.641,Bluetooth,-69
0.671,Bluetooth,-75
0.672,Bluetooth,-74
0.732,Bluetooth,-77
0.734,Bluetooth,-79
0.763,Bluetooth,-68
0.764,Bluetooth,-68
0.797,Bluetooth,-76
0.798,Bluetooth,-75
0.827,Bluetooth,-78
0.828,Bluetooth,-77
0.889,Bluetooth,-68
0.890,Bluetooth,-69
0.920,Bluetooth,128
0.952,Bluetooth,-78
0.954,Bluetooth,-79
0.984,Bluetooth,-69
0.986,Bluetooth,-69
1.014,Bluetooth,-69
1.015,Bluetooth,-68
1.045,Bluetooth,-77
1.046,Bluetooth,-76
1.074,Bluetooth,-78
1.076,Bluetooth,-78
1.105,Bluetooth,-67
1.107,Bluetooth,-66
1.138,Bluetooth,127
1.169,Bluetooth,-77
1.170,Bluetooth,-76
1.201,Bluetooth,-78
1.203,Bluetooth,-78
1.231,Bluetooth,127
1.263,Bluetooth,-76
1.265,Bluetooth,-77
1.293,Bluetooth,127
1.323,Bluetooth,-78
1.324,Bluetooth,-78
1.354,Bluetooth,-68
1.356,Bluetooth,-68
1.387,Bluetooth,-76
1.388,Bluetooth,-75
1.415,Bluetooth,-77
1.416,Bluetooth,-75
1.510,Bluetooth,-76
1.511,Bluetooth,-75
1.542,Bluetooth,-74
1.543,Bluetooth,-77
1.603,Bluetooth,-67
1.605,Bluetooth,-65
1.666,Bluetooth,-74
1.669,Bluetooth,-74
1.696,Bluetooth,127
1.728,Bluetooth,-65
1.729,Bluetooth,-66
1.762,Bluetooth,127
1.792,Bluetooth,-74
1.794,Bluetooth,-75
1.824,Bluetooth,127
1.856,Bluetooth,-66
1.857,Bluetooth,-64
1.890,Bluetooth,126
1.919,Bluetooth,-73
1.921,Bluetooth,-73
1.951,Bluetooth,127
1.985,Bluetooth,-74
1.987,Bluetooth,-75
2.014,Bluetooth,127
2.047,Bluetooth,-74
2.047,Bluetooth,-74
2.082,Bluetooth,127
2.113,Bluetooth,-73
2.113,Bluetooth,-73
2.145,Bluetooth,127
2.176,Bluetooth,-74
2.177,Bluetooth,-74
2.211,Bluetooth,-65
2.212,Bluetooth,-64
2.245,Bluetooth,-75
2.246,Bluetooth,-74
2.277,Bluetooth,-75
2.278,Bluetooth,-75
2.310,Bluetooth,-66
2.311,Bluetooth,-66
2.345,Bluetooth,-76
2.347,Bluetooth,-74
2.376,Bluetooth,-74
2.377,Bluetooth,-74
2.407,Bluetooth,-74
2.408,Bluetooth,-73
2.443,Bluetooth,-67
2.444,Bluetooth,-68
2.473,Bluetooth,-75
2.474,Bluetooth,-74
2.502,Bluetooth,-75
2.504,Bluetooth,-75
2.535,Bluetooth,-76
2.536,Bluetooth,-75
2.569,Bluetooth,-67
2.570,Bluetooth,-66
2.603,Bluetooth,-75
2.604,Bluetooth,-75
2.634,Bluetooth,-74
2.636,Bluetooth,-74
2.667,Bluetooth,-67
2.669,Bluetooth,-67
2.697,Bluetooth,-67
2.698,Bluetooth,-68
2.730,Bluetooth,-76
2.731,Bluetooth,-75
2.759,Bluetooth,-75
2.760,Bluetooth,-75
2.794,Bluetooth,-66
2.795,Bluetooth,-65
2.825,Bluetooth,-82
2.826,Bluetooth,-81
2.856,Bluetooth,-79
2.857,Bluetooth,-78
2.889,Bluetooth,-71
2.889,Bluetooth,-71
2.920,Bluetooth,-62
2.922,Bluetooth,-63
2.952,Bluetooth,-74
2.952,Bluetooth,-73
2.981,Bluetooth,-73
2.982,Bluetooth,-73
3.044,Bluetooth,-70
3.045,Bluetooth,-69
3.075,Bluetooth,-73
3.076,Bluetooth,-72
3.106,Bluetooth,-85
3.107,Bluetooth,-84
3.137,Bluetooth,-87
3.139,Bluetooth,-87
3.169,Bluetooth,-74
3.170,Bluetooth,-73
3.200,Bluetooth,-73
3.201,Bluetooth,-72
3.264,Bluetooth,127
3.453,Bluetooth,-73
3.453,Bluetooth,-72
