Distance,10.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.071,Bluetooth,-54
0.072,Bluetooth,-54
0.108,Bluetooth,-66
0.109,Bluetooth,-66
0.147,Bluetooth,-51
0.149,Bluetooth,-53
0.188,Bluetooth,-54
0.229,Bluetooth,-64
0.231,Bluetooth,-64
0.267,Bluetooth,-52
0.269,Bluetooth,-52
0.299,Bluetooth,-55
0.301,Bluetooth,-55
0.337,Bluetooth,-66
0.339,Bluetooth,-65
0.375,Bluetooth,-52
0.376,Bluetooth,-54
0.407,Bluetooth,-54
0.408,Bluetooth,-55
0.520,Bluetooth,-52
0.521,Bluetooth,-53
0.590,Bluetooth,-62
0.591,Bluetooth,-62
0.621,Bluetooth,-51
0.622,Bluetooth,-51
0.662,Bluetooth,-54
0.722,Bluetooth,-53
0.724,Bluetooth,-54
0.794,Bluetooth,-50
0.796,Bluetooth,-51
0.832,Bluetooth,-54
0.833,Bluetooth,-54
0.870,Bluetooth,-62
0.871,Bluetooth,-61
0.900,Bluetooth,-52
0.902,Bluetooth,-52
0.947,Bluetooth,-54
0.948,Bluetooth,-55
0.979,Bluetooth,-60
0.981,Bluetooth,-63
1.007,Bluetooth,-52
1.008,Bluetooth,-51
1.040,Bluetooth,-52
1.041,Bluetooth,-53
1.075,Bluetooth,-55
1.077,Bluetooth,-55
1.150,Bluetooth,-51
1.152,Bluetooth,-53
1.188,Bluetooth,-57
1.189,Bluetooth,-56
1.229,Bluetooth,-70
1.231,Bluetooth,-71
1.266,Bluetooth,-57
1.268,Bluetooth,-56
1.298,Bluetooth,-57
1.299,Bluetooth,-57
1.330,Bluetooth,-67
1.332,Bluetooth,-68
1.397,Bluetooth,-53
1.399,Bluetooth,-55
1.428,Bluetooth,-55
1.430,Bluetooth,-54
1.464,Bluetooth,-68
1.465,Bluetooth,-67
1.496,Bluetooth,-60
1.560,Bluetooth,-58
1.561,Bluetooth,-58
1.598,Bluetooth,-70
1.600,Bluetooth,-70
1.632,Bluetooth,-70
1.634,Bluetooth,-70
1.667,Bluetooth,-61
1.668,Bluetooth,-59
1.700,Bluetooth,-60
1.702,Bluetooth,-59
1.731,Bluetooth,-59
1.733,Bluetooth,-58
1.766,Bluetooth,-60
1.768,Bluetooth,-61
1.802,Bluetooth,-58
1.804,Bluetooth,-58
1.837,Bluetooth,-62
1.838,Bluetooth,-61
1.867,Bluetooth,-64
1.868,Bluetooth,-65
1.897,Bluetooth,-73
1.899,Bluetooth,-72
1.936,Bluetooth,-60
1.937,Bluetooth,-61
2.002,Bluetooth,-63
2.003,Bluetooth,-62
2.040,Bluetooth,-65
2.041,Bluetooth,-66
2.077,Bluetooth,-61
2.078,Bluetooth,-60
2.105,Bluetooth,-66
2.106,Bluetooth,-65
2.136,Bluetooth,-65
2.137,Bluetooth,-66
2.169,Bluetooth,-61
2.171,Bluetooth,-62
2.205,Bluetooth,-66
2.207,Bluetooth,-66
2.238,Bluetooth,-63
2.239,Bluetooth,-63
2.270,Bluetooth,-68
2.271,Bluetooth,-68
2.305,Bluetooth,-62
2.307,Bluetooth,-61
2.341,Bluetooth,-60
2.343,Bluetooth,-60
2.381,Bluetooth,-71
2.383,Bluetooth,-70
2.418,Bluetooth,-65
2.420,Bluetooth,-66
2.447,Bluetooth,-64
2.449,Bluetooth,-62
2.482,Bluetooth,-61
2.483,Bluetooth,-62
2.514,Bluetooth,-63
2.515,Bluetooth,-63
2.544,Bluetooth,-64
2.546,Bluetooth,-64
2.575,Bluetooth,-59
2.577,Bluetooth,-61
2.614,Bluetooth,-64
2.615,Bluetooth,-65
2.650,Bluetooth,-71
2.652,Bluetooth,-71
2.718,Bluetooth,-69
2.719,Bluetooth,-71
2.794,Bluetooth,-81
2.796,Bluetooth,-81
2.830,Bluetooth,-61
2.831,Bluetooth,-60
2.864,Bluetooth,-63
2.866,Bluetooth,-63
2.904,Bluetooth,-69
2.906,Bluetooth,-69
2.948,Bluetooth,-61
2.949,Bluetooth,-62
3.012,Bluetooth,-72
3.014,Bluetooth,-72
3.077,Bluetooth,-58
3.079,Bluetooth,-56
3.112,Bluetooth,-61
3.113,Bluetooth,-61
3.151,Bluetooth,-72
3.152,Bluetooth,-73
3.189,Bluetooth,-58
3.190,Bluetooth,-59
3.295,Bluetooth,-58
3.297,Bluetooth,-58
3.327,Bluetooth,-61
3.328,Bluetooth,-62
3.368,Bluetooth,-66
3.369,Bluetooth,-66
3.399,Bluetooth,-66
3.400,Bluetooth,-67
3.429,Bluetooth,-59
3.430,Bluetooth,-59
3.464,Bluetooth,-65
3.466,Bluetooth,-66
3.504,Bluetooth,-70
3.506,Bluetooth,-71
3.534,Bluetooth,-60
3.535,Bluetooth,-60
3.568,Bluetooth,-67
3.569,Bluetooth,-68
3.606,Bluetooth,-75
3.607,Bluetooth,-76
3.639,Bluetooth,-74
3.640,Bluetooth,-74
3.714,Bluetooth,-67
3.716,Bluetooth,-68
3.749,Bluetooth,-70
3.751,Bluetooth,-70
3.785,Bluetooth,-71
3.786,Bluetooth,-72
3.825,Bluetooth,-66
3.827,Bluetooth,-65
3.861,Bluetooth,-70
3.863,Bluetooth,-69
3.939,Bluetooth,-70
3.941,Bluetooth,-70
3.977,Bluetooth,-69
3.979,Bluetooth,-69
77.258,Bluetooth,-67
77.260,Bluetooth,-68
77.322,Bluetooth,-66
77.323,Bluetooth,-67
77.361,Bluetooth,-68
77.362,Bluetooth,-68
77.422,Bluetooth,-65
77.424,Bluetooth,-65
77.455,Bluetooth,-66
77.457,Bluetooth,-66
77.492,Bluetooth,-68
77.493,Bluetooth,-68
77.523,Bluetooth,-65
77.525,Bluetooth,-65
77.587,Bluetooth,-67
77.589,Bluetooth,-68
77.620,Bluetooth,-67
77.622,Bluetooth,-67
77.654,Bluetooth,-65
77.655,Bluetooth,-65
77.688,Bluetooth,-67
77.689,Bluetooth,-66
77.730,Bluetooth,-66
