Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-57
0.002,Bluetooth,-57
0.036,Bluetooth,-58
0.037,Bluetooth,-59
0.070,Bluetooth,-62
0.072,Bluetooth,-64
0.101,Bluetooth,-63
0.103,Bluetooth,-62
0.133,Bluetooth,-55
0.134,Bluetooth,-57
0.167,Bluetooth,-54
0.168,Bluetooth,-53
0.233,Bluetooth,-50
0.235,Bluetooth,-50
0.267,Bluetooth,-49
0.269,Bluetooth,-49
0.333,Bluetooth,-48
0.335,Bluetooth,-49
0.368,Bluetooth,-50
0.370,Bluetooth,-49
0.432,Bluetooth,-50
0.433,Bluetooth,-51
0.460,Bluetooth,-50
0.462,Bluetooth,-51
0.491,Bluetooth,-51
0.492,Bluetooth,-52
0.525,Bluetooth,-52
0.527,Bluetooth,-51
0.585,Bluetooth,-53
0.587,Bluetooth,-55
0.616,Bluetooth,-55
0.618,Bluetooth,-55
0.652,Bluetooth,-52
0.653,Bluetooth,-51
0.712,Bluetooth,-50
0.713,Bluetooth,-51
0.742,Bluetooth,-53
0.744,Bluetooth,-52
0.773,Bluetooth,-53
0.774,Bluetooth,-52
0.838,Bluetooth,-48
0.839,Bluetooth,-48
0.871,Bluetooth,-50
0.873,Bluetooth,-49
0.902,Bluetooth,-53
0.903,Bluetooth,-54
0.967,Bluetooth,-50
0.969,Bluetooth,-50
0.997,Bluetooth,-52
0.999,Bluetooth,-52
1.030,Bluetooth,-52
1.032,Bluetooth,-52
1.060,Bluetooth,-47
1.062,Bluetooth,-48
1.091,Bluetooth,-50
1.092,Bluetooth,-51
1.152,Bluetooth,-51
1.153,Bluetooth,-52
1.180,Bluetooth,-47
1.182,Bluetooth,-49
1.213,Bluetooth,-52
1.214,Bluetooth,-50
1.274,Bluetooth,-51
1.276,Bluetooth,-51
1.306,Bluetooth,-47
1.308,Bluetooth,-48
1.342,Bluetooth,-50
1.344,Bluetooth,-50
1.377,Bluetooth,-52
1.379,Bluetooth,-52
1.406,Bluetooth,-47
1.408,Bluetooth,-47
1.442,Bluetooth,-48
1.443,Bluetooth,-48
1.470,Bluetooth,-52
1.471,Bluetooth,-50
1.505,Bluetooth,-54
1.507,Bluetooth,-54
1.536,Bluetooth,-49
1.538,Bluetooth,-48
1.568,Bluetooth,-50
1.570,Bluetooth,-50
1.598,Bluetooth,-50
1.600,Bluetooth,-50
1.631,Bluetooth,-53
1.633,Bluetooth,-52
1.662,Bluetooth,-46
1.664,Bluetooth,-48
1.695,Bluetooth,-51
1.697,Bluetooth,-51
1.730,Bluetooth,-53
1.732,Bluetooth,-52
1.790,Bluetooth,-47
1.792,Bluetooth,-48
1.821,Bluetooth,-50
1.822,Bluetooth,-51
1.914,Bluetooth,-47
1.916,Bluetooth,-47
1.947,Bluetooth,-51
1.949,Bluetooth,-50
1.978,Bluetooth,-53
1.980,Bluetooth,-54
2.010,Bluetooth,-48
2.011,Bluetooth,-48
2.079,Bluetooth,-50
2.080,Bluetooth,-50
2.112,Bluetooth,-51
2.114,Bluetooth,-50
2.141,Bluetooth,-47
2.143,Bluetooth,-48
2.172,Bluetooth,-50
2.174,Bluetooth,-49
2.233,Bluetooth,-52
2.235,Bluetooth,-52
2.264,Bluetooth,-47
2.266,Bluetooth,-47
2.297,Bluetooth,-49
2.299,Bluetooth,-50
