Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-59
0.116,Bluetooth,-59
0.154,Bluetooth,-62
0.155,Bluetooth,-63
0.191,Bluetooth,-59
0.222,Bluetooth,-63
0.223,Bluetooth,-63
0.257,Bluetooth,-59
0.258,Bluetooth,-59
0.289,Bluetooth,-60
0.290,Bluetooth,-59
0.323,Bluetooth,-63
0.324,Bluetooth,-63
0.390,Bluetooth,-60
0.424,Bluetooth,-58
0.425,Bluetooth,-60
0.463,Bluetooth,-63
0.464,Bluetooth,-63
0.602,Bluetooth,-59
0.603,Bluetooth,-60
0.638,Bluetooth,-59
0.639,Bluetooth,-59
0.676,Bluetooth,-63
0.676,Bluetooth,-64
0.856,Bluetooth,-59
0.857,Bluetooth,-58
0.960,Bluetooth,-58
0.961,Bluetooth,-59
0.999,Bluetooth,-58
1.000,Bluetooth,-60
1.034,Bluetooth,-64
1.035,Bluetooth,-63
1.131,Bluetooth,-58
1.132,Bluetooth,-58
1.171,Bluetooth,-60
1.172,Bluetooth,-60
1.202,Bluetooth,-63
1.203,Bluetooth,-63
1.238,Bluetooth,-59
1.240,Bluetooth,-59
1.271,Bluetooth,-59
1.272,Bluetooth,-58
1.307,Bluetooth,-64
1.308,Bluetooth,-63
1.375,Bluetooth,-59
1.407,Bluetooth,-58
1.408,Bluetooth,-58
1.620,Bluetooth,-65
1.622,Bluetooth,-65
1.661,Bluetooth,-59
1.663,Bluetooth,-59
1.692,Bluetooth,-64
1.731,Bluetooth,-59
1.731,Bluetooth,-59
1.762,Bluetooth,-61
1.763,Bluetooth,-60
1.795,Bluetooth,-64
1.796,Bluetooth,-64
1.870,Bluetooth,-59
1.871,Bluetooth,-58
1.907,Bluetooth,-60
1.908,Bluetooth,-60
1.978,Bluetooth,-59
2.015,Bluetooth,-65
2.016,Bluetooth,-63
2.056,Bluetooth,-58
2.057,Bluetooth,-57
2.093,Bluetooth,-59
2.094,Bluetooth,-58
2.165,Bluetooth,-59
2.166,Bluetooth,-60
2.231,Bluetooth,-61
2.232,Bluetooth,-60
2.263,Bluetooth,-66
2.264,Bluetooth,-65
2.344,Bluetooth,-58
2.345,Bluetooth,-58
2.412,Bluetooth,-61
2.413,Bluetooth,-60
2.494,Bluetooth,-60
2.495,Bluetooth,-60
2.526,Bluetooth,-60
2.527,Bluetooth,-60
2.563,Bluetooth,-65
2.564,Bluetooth,-65
2.595,Bluetooth,-65
2.625,Bluetooth,-66
2.626,Bluetooth,-65
2.657,Bluetooth,-60
2.658,Bluetooth,-60
2.696,Bluetooth,-59
2.697,Bluetooth,-60
2.767,Bluetooth,-59
2.768,Bluetooth,-60
2.873,Bluetooth,-60
2.911,Bluetooth,-64
2.912,Bluetooth,-65
3.012,Bluetooth,-63
3.012,Bluetooth,-63
3.050,Bluetooth,-61
3.051,Bluetooth,-59
3.080,Bluetooth,-59
3.081,Bluetooth,-59
3.147,Bluetooth,-63
3.148,Bluetooth,-62
3.216,Bluetooth,-62
3.217,Bluetooth,-63
3.248,Bluetooth,-59
3.249,Bluetooth,-59
3.285,Bluetooth,-58
3.286,Bluetooth,-58
3.363,Bluetooth,-59
3.364,Bluetooth,-59
3.472,Bluetooth,-63
3.508,Bluetooth,-62
3.509,Bluetooth,-63
3.584,Bluetooth,-57
3.585,Bluetooth,-58
3.649,Bluetooth,-63
3.649,Bluetooth,-63
3.746,Bluetooth,-62
3.747,Bluetooth,-63
3.850,Bluetooth,-60
3.851,Bluetooth,-61
3.881,Bluetooth,-56
3.882,Bluetooth,-58
3.991,Bluetooth,-60
3.992,Bluetooth,-61
89.646,Bluetooth,-57
89.648,Bluetooth,-58
89.686,Bluetooth,-63
89.687,Bluetooth,-63
89.716,Bluetooth,-64
89.717,Bluetooth,-64
89.788,Bluetooth,-58
89.789,Bluetooth,-57
89.893,Bluetooth,-57
89.931,Bluetooth,-56
89.932,Bluetooth,-56
89.966,Bluetooth,-57
89.997,Bluetooth,-63
89.998,Bluetooth,-62
90.180,Bluetooth,-59
90.218,Bluetooth,-59
90.219,Bluetooth,-59
90.257,Bluetooth,-58
90.258,Bluetooth,-58
90.327,Bluetooth,-60
90.328,Bluetooth,-61
90.470,Bluetooth,-58
90.500,Bluetooth,-59
90.531,Bluetooth,-59
90.532,Bluetooth,-59
90.559,Bluetooth,-58
90.561,Bluetooth,-58
90.595,Bluetooth,-62
90.596,Bluetooth,-63
90.626,Bluetooth,-58
90.628,Bluetooth,-58
90.668,Bluetooth,-59
90.669,Bluetooth,-59
90.810,Bluetooth,-59
90.811,Bluetooth,-58
90.843,Bluetooth,-62
90.844,Bluetooth,-62
91.022,Bluetooth,-61
91.023,Bluetooth,-61
91.049,Bluetooth,-55
91.050,Bluetooth,-55
91.092,Bluetooth,-64
91.125,Bluetooth,-55
91.126,Bluetooth,-55
91.159,Bluetooth,-64
91.193,Bluetooth,-66
91.194,Bluetooth,-66
91.256,Bluetooth,-55
91.257,Bluetooth,-56
91.293,Bluetooth,-62
91.293,Bluetooth,-63
91.472,Bluetooth,-61
91.473,Bluetooth,-60
91.573,Bluetooth,-58
91.575,Bluetooth,-57
91.608,Bluetooth,-60
91.609,Bluetooth,-60
91.708,Bluetooth,-60
91.709,Bluetooth,-60
91.745,Bluetooth,-70
91.747,Bluetooth,-70
91.853,Bluetooth,-61
91.854,Bluetooth,-60
91.891,Bluetooth,-73
91.892,Bluetooth,-72
91.923,Bluetooth,-58
91.924,Bluetooth,-58
91.954,Bluetooth,-61
91.956,Bluetooth,-60
91.990,Bluetooth,-72
92.029,Bluetooth,-61
92.030,Bluetooth,-61
92.062,Bluetooth,-73
92.063,Bluetooth,-73
92.100,Bluetooth,-57
92.100,Bluetooth,-57
92.271,Bluetooth,-56
92.305,Bluetooth,-59
92.306,Bluetooth,-60
92.575,Bluetooth,-59
92.614,Bluetooth,-58
92.615,Bluetooth,-60
92.647,Bluetooth,-71
92.648,Bluetooth,-72
92.749,Bluetooth,-59
92.750,Bluetooth,-59
92.790,Bluetooth,-71
92.791,Bluetooth,-71
92.882,Bluetooth,-73
92.916,Bluetooth,-71
92.917,Bluetooth,-71
93.022,Bluetooth,-62
93.023,Bluetooth,-62
93.088,Bluetooth,-61
93.089,Bluetooth,-59
93.124,Bluetooth,-60
93.125,Bluetooth,-61
93.184,Bluetooth,-60
93.261,Bluetooth,-60
93.262,Bluetooth,-60
93.294,Bluetooth,-60
93.294,Bluetooth,-60
93.329,Bluetooth,-62
93.330,Bluetooth,-61
93.478,Bluetooth,-60
93.518,Bluetooth,-62
93.519,Bluetooth,-62
93.548,Bluetooth,-57
93.549,Bluetooth,-57
175.880,Bluetooth,-69
175.880,Bluetooth,-69
175.912,Bluetooth,-68
175.913,Bluetooth,-70
175.974,Bluetooth,-75
176.046,Bluetooth,-64
176.047,Bluetooth,-63
176.192,Bluetooth,-65
176.194,Bluetooth,-64
176.231,Bluetooth,-66
176.232,Bluetooth,-66
176.267,Bluetooth,-75
176.268,Bluetooth,-75
176.371,Bluetooth,-63
176.372,Bluetooth,-64
176.409,Bluetooth,-66
176.445,Bluetooth,-73
176.445,Bluetooth,-73
176.554,Bluetooth,-74
176.554,Bluetooth,-73
176.626,Bluetooth,-73
176.627,Bluetooth,-72
176.656,Bluetooth,-67
176.657,Bluetooth,-66
176.766,Bluetooth,-68
176.766,Bluetooth,-68
176.799,Bluetooth,-69
176.800,Bluetooth,-70
176.874,Bluetooth,-73
177.046,Bluetooth,-72
177.047,Bluetooth,-72
177.083,Bluetooth,-74
177.084,Bluetooth,-74
177.118,Bluetooth,-71
177.119,Bluetooth,-70
177.148,Bluetooth,-71
177.149,Bluetooth,-71
177.179,Bluetooth,-72
177.252,Bluetooth,-70
177.253,Bluetooth,-71
177.294,Bluetooth,-71
177.295,Bluetooth,-72
177.332,Bluetooth,-73
177.333,Bluetooth,-73
177.372,Bluetooth,-70
177.373,Bluetooth,-70
177.477,Bluetooth,-78
177.514,Bluetooth,-69
177.515,Bluetooth,-69
177.657,Bluetooth,-69
177.658,Bluetooth,-70
177.688,Bluetooth,-68
177.721,Bluetooth,-76
177.723,Bluetooth,-77
177.749,Bluetooth,-69
177.750,Bluetooth,-70
177.788,Bluetooth,-69
177.819,Bluetooth,-68
177.820,Bluetooth,-68
177.893,Bluetooth,-75
177.894,Bluetooth,-76
177.931,Bluetooth,-70
177.932,Bluetooth,-70
177.964,Bluetooth,-67
177.965,Bluetooth,-67
178.005,Bluetooth,-75
178.006,Bluetooth,-74
178.043,Bluetooth,-71
178.074,Bluetooth,-68
178.107,Bluetooth,-75
178.108,Bluetooth,-75
178.254,Bluetooth,-83
178.255,Bluetooth,-83
178.318,Bluetooth,-68
178.319,Bluetooth,-68
178.394,Bluetooth,-67
178.425,Bluetooth,-85
178.426,Bluetooth,-84
178.529,Bluetooth,-67
178.530,Bluetooth,-67
178.566,Bluetooth,-85
178.568,Bluetooth,-84
178.604,Bluetooth,-74
178.605,Bluetooth,-74
178.706,Bluetooth,-74
178.847,Bluetooth,-75
178.847,Bluetooth,-75
178.878,Bluetooth,-68
178.878,Bluetooth,-68
178.909,Bluetooth,-85
178.910,Bluetooth,-84
178.975,Bluetooth,-76
179.013,Bluetooth,-77
179.013,Bluetooth,-77
179.055,Bluetooth,-68
179.055,Bluetooth,-68
179.113,Bluetooth,-82
179.114,Bluetooth,-82
179.210,Bluetooth,-82
179.211,Bluetooth,-81
179.293,Bluetooth,-67
179.328,Bluetooth,-83
179.361,Bluetooth,-68
179.362,Bluetooth,-68
179.466,Bluetooth,-68
179.504,Bluetooth,-79
179.505,Bluetooth,-78
179.580,Bluetooth,-79
179.654,Bluetooth,-68
179.655,Bluetooth,-69
179.693,Bluetooth,-77
179.694,Bluetooth,-77
179.763,Bluetooth,-89
179.765,Bluetooth,-88
179.802,Bluetooth,-68
179.803,Bluetooth,-68
