Distance,10.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-57
0.001,Bluetooth,-57
0.032,Bluetooth,-59
0.033,Bluetooth,-59
0.098,Bluetooth,-55
0.099,Bluetooth,-55
0.133,Bluetooth,-58
0.134,Bluetooth,-58
0.198,Bluetooth,-60
0.199,Bluetooth,-61
0.236,Bluetooth,-56
0.237,Bluetooth,-55
0.265,Bluetooth,-57
0.266,Bluetooth,-56
0.305,Bluetooth,-61
0.306,Bluetooth,-61
0.336,Bluetooth,-55
0.337,Bluetooth,-54
0.365,Bluetooth,-58
0.366,Bluetooth,-58
0.396,Bluetooth,-58
0.397,Bluetooth,-58
0.435,Bluetooth,-61
0.436,Bluetooth,-62
0.473,Bluetooth,-55
0.474,Bluetooth,-55
0.510,Bluetooth,-57
0.511,Bluetooth,-58
0.542,Bluetooth,-61
0.543,Bluetooth,-61
0.605,Bluetooth,-58
0.607,Bluetooth,-57
0.679,Bluetooth,-60
0.680,Bluetooth,-60
0.750,Bluetooth,-58
0.751,Bluetooth,-58
0.787,Bluetooth,-62
0.788,Bluetooth,-61
0.856,Bluetooth,-59
0.889,Bluetooth,-62
0.891,Bluetooth,-62
0.923,Bluetooth,-58
0.924,Bluetooth,-56
0.955,Bluetooth,-57
0.956,Bluetooth,-57
0.984,Bluetooth,-60
0.985,Bluetooth,-60
1.020,Bluetooth,-59
1.021,Bluetooth,-61
1.052,Bluetooth,-56
1.053,Bluetooth,-55
1.086,Bluetooth,-62
1.123,Bluetooth,-60
1.124,Bluetooth,-61
1.149,Bluetooth,-60
1.150,Bluetooth,-60
1.189,Bluetooth,-55
1.190,Bluetooth,-55
1.228,Bluetooth,-61
1.229,Bluetooth,-60
1.266,Bluetooth,-59
1.267,Bluetooth,-61
1.298,Bluetooth,-55
1.299,Bluetooth,-56
1.331,Bluetooth,-61
1.332,Bluetooth,-61
1.362,Bluetooth,-60
1.363,Bluetooth,-60
1.610,Bluetooth,-59
1.611,Bluetooth,-60
1.644,Bluetooth,-53
1.646,Bluetooth,-53
1.678,Bluetooth,-55
1.679,Bluetooth,-54
1.708,Bluetooth,-60
1.710,Bluetooth,-60
1.740,Bluetooth,-58
1.742,Bluetooth,-58
1.771,Bluetooth,-53
1.772,Bluetooth,-54
1.806,Bluetooth,-60
1.807,Bluetooth,-60
1.844,Bluetooth,-59
1.845,Bluetooth,-58
1.884,Bluetooth,-54
1.886,Bluetooth,-54
1.923,Bluetooth,-59
1.925,Bluetooth,-59
1.957,Bluetooth,-60
1.958,Bluetooth,-59
1.991,Bluetooth,-60
1.993,Bluetooth,-61
2.058,Bluetooth,-60
2.060,Bluetooth,-59
2.095,Bluetooth,-60
2.097,Bluetooth,-61
2.134,Bluetooth,-54
2.135,Bluetooth,-55
2.374,Bluetooth,-55
2.375,Bluetooth,-53
2.404,Bluetooth,-59
2.405,Bluetooth,-59
2.434,Bluetooth,-59
2.435,Bluetooth,-60
2.473,Bluetooth,-62
2.474,Bluetooth,-62
2.541,Bluetooth,-58
2.543,Bluetooth,-60
2.578,Bluetooth,-61
2.608,Bluetooth,-55
2.609,Bluetooth,-55
2.680,Bluetooth,-60
2.681,Bluetooth,-60
2.755,Bluetooth,-54
2.756,Bluetooth,-54
2.784,Bluetooth,-60
2.785,Bluetooth,-60
2.821,Bluetooth,-60
2.822,Bluetooth,-61
2.856,Bluetooth,-55
2.857,Bluetooth,-54
2.888,Bluetooth,-60
2.889,Bluetooth,-59
2.923,Bluetooth,-61
2.924,Bluetooth,-62
3.000,Bluetooth,-53
3.001,Bluetooth,-54
3.067,Bluetooth,-61
3.068,Bluetooth,-63
3.138,Bluetooth,-59
3.139,Bluetooth,-58
3.171,Bluetooth,-61
3.172,Bluetooth,-61
3.203,Bluetooth,-55
3.204,Bluetooth,-54
3.275,Bluetooth,-59
3.277,Bluetooth,-59
3.307,Bluetooth,-61
3.308,Bluetooth,-62
3.344,Bluetooth,-54
3.345,Bluetooth,-53
3.375,Bluetooth,-59
3.376,Bluetooth,-59
3.440,Bluetooth,-61
3.441,Bluetooth,-61
3.480,Bluetooth,-54
3.481,Bluetooth,-54
3.518,Bluetooth,-59
3.519,Bluetooth,-59
3.555,Bluetooth,-61
3.597,Bluetooth,-54
3.598,Bluetooth,-54
3.629,Bluetooth,-58
3.630,Bluetooth,-59
3.670,Bluetooth,-60
3.671,Bluetooth,-61
3.739,Bluetooth,-58
3.780,Bluetooth,-62
3.781,Bluetooth,-61
3.814,Bluetooth,-53
3.814,Bluetooth,-55
3.852,Bluetooth,-58
3.853,Bluetooth,-58
3.891,Bluetooth,-62
3.893,Bluetooth,-62
60.564,Bluetooth,-63
60.565,Bluetooth,-62
60.595,Bluetooth,-62
60.597,Bluetooth,-64
60.630,Bluetooth,-70
60.631,Bluetooth,-70
60.667,Bluetooth,-59
60.746,Bluetooth,-69
60.747,Bluetooth,-68
60.782,Bluetooth,-58
60.783,Bluetooth,-57
60.818,Bluetooth,-63
60.819,Bluetooth,-64
60.888,Bluetooth,-58
60.927,Bluetooth,-63
60.928,Bluetooth,-63
60.963,Bluetooth,-66
60.964,Bluetooth,-67
61.076,Bluetooth,-63
61.077,Bluetooth,-63
61.118,Bluetooth,-69
61.119,Bluetooth,-70
61.142,Bluetooth,-57
61.143,Bluetooth,-57
61.177,Bluetooth,-63
61.179,Bluetooth,-63
61.241,Bluetooth,-57
61.242,Bluetooth,-57
61.317,Bluetooth,-64
61.318,Bluetooth,-65
61.350,Bluetooth,-64
61.352,Bluetooth,-64
61.381,Bluetooth,-55
61.383,Bluetooth,-55
61.419,Bluetooth,-64
61.420,Bluetooth,-64
61.449,Bluetooth,-65
61.450,Bluetooth,-65
61.486,Bluetooth,-55
61.597,Bluetooth,-64
61.599,Bluetooth,-65
61.696,Bluetooth,-64
61.831,Bluetooth,-65
61.833,Bluetooth,-65
61.861,Bluetooth,-54
61.862,Bluetooth,-54
61.891,Bluetooth,-64
61.893,Bluetooth,-65
61.929,Bluetooth,-64
61.930,Bluetooth,-64
61.965,Bluetooth,-54
61.966,Bluetooth,-54
62.045,Bluetooth,-65
62.046,Bluetooth,-65
62.084,Bluetooth,-53
62.085,Bluetooth,-54
62.149,Bluetooth,-65
62.182,Bluetooth,-63
62.183,Bluetooth,-64
62.214,Bluetooth,-54
62.216,Bluetooth,-54
62.253,Bluetooth,-65
62.293,Bluetooth,-64
62.294,Bluetooth,-64
62.323,Bluetooth,-55
62.325,Bluetooth,-54
62.398,Bluetooth,-65
62.400,Bluetooth,-65
62.475,Bluetooth,-54
62.476,Bluetooth,-55
62.505,Bluetooth,-63
62.507,Bluetooth,-64
62.540,Bluetooth,-65
62.542,Bluetooth,-63
62.652,Bluetooth,-64
62.653,Bluetooth,-64
62.684,Bluetooth,-55
62.685,Bluetooth,-55
62.783,Bluetooth,-64
62.784,Bluetooth,-63
62.847,Bluetooth,-63
62.848,Bluetooth,-63
62.949,Bluetooth,-56
62.951,Bluetooth,-57
62.990,Bluetooth,-62
62.991,Bluetooth,-62
63.020,Bluetooth,-64
63.021,Bluetooth,-63
63.054,Bluetooth,-57
63.055,Bluetooth,-57
63.094,Bluetooth,-62
63.095,Bluetooth,-62
63.133,Bluetooth,-64
63.134,Bluetooth,-65
63.208,Bluetooth,-62
63.209,Bluetooth,-62
63.242,Bluetooth,-65
63.243,Bluetooth,-64
