Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-66
0.001,Bluetooth,-66
0.030,Bluetooth,-73
0.031,Bluetooth,-73
0.064,Bluetooth,-64
0.097,Bluetooth,-66
0.099,Bluetooth,-67
0.161,Bluetooth,-72
0.163,Bluetooth,-72
0.194,Bluetooth,-66
0.196,Bluetooth,-65
0.228,Bluetooth,-66
0.230,Bluetooth,-66
0.256,Bluetooth,-74
0.257,Bluetooth,-73
0.286,Bluetooth,-74
0.287,Bluetooth,-73
0.317,Bluetooth,-66
0.319,Bluetooth,-66
0.348,Bluetooth,-66
0.350,Bluetooth,-66
0.377,Bluetooth,-71
0.379,Bluetooth,-73
0.506,Bluetooth,-71
0.507,Bluetooth,-72
0.541,Bluetooth,-65
0.543,Bluetooth,-65
0.572,Bluetooth,-66
0.602,Bluetooth,-65
0.603,Bluetooth,-65
0.633,Bluetooth,-72
0.635,Bluetooth,-71
0.664,Bluetooth,-66
0.666,Bluetooth,-65
0.698,Bluetooth,-66
0.700,Bluetooth,-65
0.762,Bluetooth,-71
0.764,Bluetooth,-72
0.793,Bluetooth,-65
0.794,Bluetooth,-66
0.826,Bluetooth,-65
0.828,Bluetooth,-66
0.858,Bluetooth,-72
0.860,Bluetooth,-73
0.893,Bluetooth,-66
0.894,Bluetooth,-66
0.927,Bluetooth,-67
0.929,Bluetooth,-66
0.958,Bluetooth,-65
0.960,Bluetooth,-65
0.987,Bluetooth,-70
0.989,Bluetooth,-71
1.020,Bluetooth,-65
1.021,Bluetooth,-64
1.053,Bluetooth,-65
1.055,Bluetooth,-65
1.116,Bluetooth,-72
1.117,Bluetooth,-72
1.150,Bluetooth,-65
1.151,Bluetooth,-65
1.181,Bluetooth,-66
1.182,Bluetooth,-66
1.212,Bluetooth,-72
1.213,Bluetooth,-72
1.245,Bluetooth,-72
1.246,Bluetooth,-72
1.277,Bluetooth,-65
1.279,Bluetooth,-66
1.307,Bluetooth,-66
1.308,Bluetooth,-66
1.367,Bluetooth,-72
1.369,Bluetooth,-73
1.399,Bluetooth,-65
1.400,Bluetooth,-66
1.433,Bluetooth,-66
1.435,Bluetooth,-66
1.462,Bluetooth,-74
1.464,Bluetooth,-73
1.493,Bluetooth,-64
1.523,Bluetooth,-64
1.524,Bluetooth,-66
1.555,Bluetooth,-65
1.556,Bluetooth,-64
1.588,Bluetooth,-75
1.590,Bluetooth,-76
1.624,Bluetooth,-65
1.625,Bluetooth,-66
1.655,Bluetooth,-65
1.656,Bluetooth,-66
1.684,Bluetooth,-65
