Distance,15.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,standing
0.000,Bluetooth,-60
0.001,Bluetooth,-60
0.031,Bluetooth,-72
0.032,Bluetooth,-72
0.066,Bluetooth,-73
0.067,Bluetooth,-72
0.219,Bluetooth,-59
0.220,Bluetooth,-59
0.246,Bluetooth,-60
0.247,Bluetooth,-60
0.320,Bluetooth,-64
0.321,Bluetooth,-65
0.397,Bluetooth,-65
0.398,Bluetooth,-64
0.463,Bluetooth,-62
0.464,Bluetooth,-62
0.501,Bluetooth,-74
0.502,Bluetooth,-74
0.538,Bluetooth,-63
0.539,Bluetooth,-63
0.614,Bluetooth,-72
0.615,Bluetooth,-72
0.652,Bluetooth,-66
0.652,Bluetooth,-66
0.687,Bluetooth,-67
0.689,Bluetooth,-66
0.726,Bluetooth,-75
0.728,Bluetooth,-74
0.799,Bluetooth,-71
0.801,Bluetooth,-72
0.838,Bluetooth,-74
0.840,Bluetooth,-74
0.935,Bluetooth,-64
0.937,Bluetooth,-64
0.974,Bluetooth,-69
0.975,Bluetooth,-69
1.042,Bluetooth,-71
1.043,Bluetooth,-71
1.077,Bluetooth,-73
1.078,Bluetooth,-73
1.108,Bluetooth,-62
1.109,Bluetooth,-63
1.183,Bluetooth,-65
1.184,Bluetooth,-64
1.234,Bluetooth,-67
1.235,Bluetooth,-68
1.299,Bluetooth,-64
1.300,Bluetooth,-65
1.416,Bluetooth,-69
1.454,Bluetooth,-70
1.456,Bluetooth,-70
1.521,Bluetooth,-64
1.523,Bluetooth,-65
1.561,Bluetooth,-70
1.562,Bluetooth,-70
1.631,Bluetooth,-63
1.632,Bluetooth,-64
1.670,Bluetooth,-72
1.672,Bluetooth,-71
1.710,Bluetooth,-64
1.743,Bluetooth,-63
1.744,Bluetooth,-64
1.780,Bluetooth,-67
1.781,Bluetooth,-66
1.853,Bluetooth,-70
1.854,Bluetooth,-70
1.883,Bluetooth,-62
1.884,Bluetooth,-64
1.919,Bluetooth,-77
1.920,Bluetooth,-77
1.955,Bluetooth,-65
1.957,Bluetooth,-66
1.993,Bluetooth,-62
1.994,Bluetooth,-62
2.033,Bluetooth,-69
2.034,Bluetooth,-69
2.064,Bluetooth,-78
2.131,Bluetooth,-63
2.132,Bluetooth,-63
2.168,Bluetooth,-78
2.169,Bluetooth,-79
2.203,Bluetooth,-62
2.205,Bluetooth,-61
2.267,Bluetooth,-71
2.268,Bluetooth,-71
2.374,Bluetooth,-68
2.375,Bluetooth,-71
2.407,Bluetooth,-68
