Distance,4.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-50
0.001,Bluetooth,-51
0.034,Bluetooth,-52
0.036,Bluetooth,-51
0.094,Bluetooth,-55
0.096,Bluetooth,-55
0.125,Bluetooth,-54
0.127,Bluetooth,-55
0.161,Bluetooth,-53
0.162,Bluetooth,-52
0.221,Bluetooth,-51
0.222,Bluetooth,-50
0.251,Bluetooth,-53
0.253,Bluetooth,-52
0.282,Bluetooth,-53
0.283,Bluetooth,-52
0.347,Bluetooth,-47
0.348,Bluetooth,-48
0.380,Bluetooth,-50
0.382,Bluetooth,-49
0.411,Bluetooth,-53
0.412,Bluetooth,-53
0.476,Bluetooth,-51
0.478,Bluetooth,-50
0.506,Bluetooth,-50
0.508,Bluetooth,-53
0.539,Bluetooth,-52
0.541,Bluetooth,-50
0.569,Bluetooth,-48
0.571,Bluetooth,-48
0.600,Bluetooth,-50
0.601,Bluetooth,-50
0.661,Bluetooth,-51
0.662,Bluetooth,-50
0.689,Bluetooth,-48
0.691,Bluetooth,-49
0.722,Bluetooth,-52
0.723,Bluetooth,-51
0.783,Bluetooth,-50
0.785,Bluetooth,-51
0.815,Bluetooth,-47
0.817,Bluetooth,-48
0.851,Bluetooth,-49
0.853,Bluetooth,-49
0.886,Bluetooth,-52
0.888,Bluetooth,-52
0.915,Bluetooth,-47
0.917,Bluetooth,-47
0.951,Bluetooth,-47
0.952,Bluetooth,-47
0.979,Bluetooth,-51
0.980,Bluetooth,-50
1.014,Bluetooth,-54
1.016,Bluetooth,-55
1.045,Bluetooth,-48
1.047,Bluetooth,-49
1.077,Bluetooth,-50
1.079,Bluetooth,-49
1.107,Bluetooth,-51
1.109,Bluetooth,-51
1.140,Bluetooth,-53
1.142,Bluetooth,-53
1.171,Bluetooth,-47
1.173,Bluetooth,-47
1.204,Bluetooth,-51
1.206,Bluetooth,-51
1.239,Bluetooth,-52
1.241,Bluetooth,-53
1.299,Bluetooth,-46
1.301,Bluetooth,-47
1.330,Bluetooth,-50
1.331,Bluetooth,-51
1.423,Bluetooth,-49
1.425,Bluetooth,-48
1.456,Bluetooth,-51
1.458,Bluetooth,-51
1.487,Bluetooth,-53
1.489,Bluetooth,-55
1.519,Bluetooth,-48
1.520,Bluetooth,-48
