Distance,6.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-62
0.002,Bluetooth,-62
0.032,Bluetooth,-61
0.033,Bluetooth,-60
0.103,Bluetooth,-51
0.105,Bluetooth,-52
0.142,Bluetooth,-62
0.143,Bluetooth,-62
0.179,Bluetooth,-59
0.180,Bluetooth,-60
0.217,Bluetooth,-55
0.218,Bluetooth,-56
0.255,Bluetooth,-63
0.257,Bluetooth,-66
0.288,Bluetooth,-64
0.288,Bluetooth,-65
0.334,Bluetooth,-61
0.336,Bluetooth,-61
0.366,Bluetooth,-58
0.367,Bluetooth,-57
0.439,Bluetooth,-66
0.441,Bluetooth,-71
0.506,Bluetooth,-54
0.508,Bluetooth,-53
0.537,Bluetooth,-53
0.539,Bluetooth,-54
0.579,Bluetooth,-57
0.581,Bluetooth,-57
0.611,Bluetooth,-51
0.613,Bluetooth,-52
0.644,Bluetooth,-53
0.646,Bluetooth,-53
0.684,Bluetooth,-65
0.685,Bluetooth,-66
0.826,Bluetooth,-75
0.828,Bluetooth,-74
0.863,Bluetooth,-48
0.864,Bluetooth,-48
0.894,Bluetooth,-51
0.896,Bluetooth,-52
0.933,Bluetooth,-70
0.935,Bluetooth,-70
0.964,Bluetooth,-50
0.966,Bluetooth,-49
1.003,Bluetooth,-50
1.004,Bluetooth,-50
1.106,Bluetooth,-49
1.170,Bluetooth,-59
1.171,Bluetooth,-60
1.198,Bluetooth,-46
1.199,Bluetooth,-45
1.234,Bluetooth,-48
1.235,Bluetooth,-47
1.306,Bluetooth,-60
1.308,Bluetooth,-60
1.338,Bluetooth,-48
1.340,Bluetooth,-48
1.373,Bluetooth,-49
1.375,Bluetooth,-49
1.421,Bluetooth,-67
1.422,Bluetooth,-66
1.486,Bluetooth,-50
1.488,Bluetooth,-50
1.519,Bluetooth,-68
1.521,Bluetooth,-75
1.590,Bluetooth,-49
1.592,Bluetooth,-47
1.628,Bluetooth,-48
1.629,Bluetooth,-49
1.698,Bluetooth,-49
1.699,Bluetooth,-50
1.731,Bluetooth,-50
1.733,Bluetooth,-49
1.800,Bluetooth,-47
1.802,Bluetooth,-47
1.841,Bluetooth,-47
1.843,Bluetooth,-48
1.934,Bluetooth,-47
1.936,Bluetooth,-47
1.973,Bluetooth,-49
1.975,Bluetooth,-51
2.015,Bluetooth,-59
2.016,Bluetooth,-59
2.050,Bluetooth,-48
2.052,Bluetooth,-48
2.084,Bluetooth,-50
2.085,Bluetooth,-51
2.125,Bluetooth,-66
2.126,Bluetooth,-66
2.223,Bluetooth,-48
2.224,Bluetooth,-48
2.262,Bluetooth,-53
2.264,Bluetooth,-53
2.290,Bluetooth,-53
