Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.001,Bluetooth,-60
0.002,Bluetooth,-59
0.065,Bluetooth,-53
0.066,Bluetooth,-53
0.096,Bluetooth,-58
0.097,Bluetooth,-59
0.129,Bluetooth,-63
0.130,Bluetooth,-62
0.159,Bluetooth,-55
0.160,Bluetooth,-55
0.223,Bluetooth,-63
0.225,Bluetooth,-63
0.256,Bluetooth,-60
0.256,Bluetooth,-60
0.284,Bluetooth,-61
0.285,Bluetooth,-61
0.317,Bluetooth,-59
0.319,Bluetooth,-58
0.347,Bluetooth,-55
0.348,Bluetooth,-56
0.380,Bluetooth,-65
0.381,Bluetooth,-66
0.410,Bluetooth,-57
0.411,Bluetooth,-56
0.440,Bluetooth,-55
0.441,Bluetooth,-54
0.503,Bluetooth,-64
0.504,Bluetooth,-64
0.563,Bluetooth,-57
0.565,Bluetooth,-57
0.626,Bluetooth,-62
0.626,Bluetooth,-62
0.658,Bluetooth,-63
0.659,Bluetooth,-63
0.689,Bluetooth,-57
0.690,Bluetooth,-59
0.722,Bluetooth,-65
0.724,Bluetooth,-65
0.782,Bluetooth,-68
0.784,Bluetooth,-68
0.815,Bluetooth,-73
0.816,Bluetooth,-74
0.846,Bluetooth,-69
0.847,Bluetooth,-70
0.937,Bluetooth,-69
0.938,Bluetooth,-68
0.972,Bluetooth,-59
0.973,Bluetooth,-60
1.001,Bluetooth,-59
1.002,Bluetooth,-58
1.066,Bluetooth,-68
1.067,Bluetooth,-67
1.097,Bluetooth,-57
1.099,Bluetooth,-57
1.129,Bluetooth,-60
1.130,Bluetooth,-61
1.163,Bluetooth,-61
1.164,Bluetooth,-60
1.220,Bluetooth,-58
1.223,Bluetooth,-57
1.257,Bluetooth,-60
1.258,Bluetooth,-61
1.288,Bluetooth,-58
1.289,Bluetooth,-59
1.318,Bluetooth,-54
1.319,Bluetooth,-54
1.413,Bluetooth,-61
1.415,Bluetooth,-60
1.446,Bluetooth,-61
1.448,Bluetooth,-60
1.502,Bluetooth,-60
1.503,Bluetooth,-62
1.532,Bluetooth,-60
1.534,Bluetooth,-60
1.566,Bluetooth,-56
1.567,Bluetooth,-56
1.624,Bluetooth,-62
1.625,Bluetooth,-62
1.658,Bluetooth,-62
1.659,Bluetooth,-62
1.689,Bluetooth,-61
1.690,Bluetooth,-61
1.720,Bluetooth,-66
1.721,Bluetooth,-67
1.787,Bluetooth,-58
1.788,Bluetooth,-58
1.846,Bluetooth,-66
1.847,Bluetooth,-65
1.879,Bluetooth,-55
1.879,Bluetooth,-56
1.971,Bluetooth,-61
1.972,Bluetooth,-61
2.004,Bluetooth,-56
2.005,Bluetooth,-55
2.035,Bluetooth,-61
2.036,Bluetooth,-60
2.068,Bluetooth,-60
2.069,Bluetooth,-60
2.097,Bluetooth,-57
2.098,Bluetooth,-57
2.128,Bluetooth,-55
2.129,Bluetooth,-54
2.161,Bluetooth,-60
2.162,Bluetooth,-59
2.222,Bluetooth,-56
2.223,Bluetooth,-56
2.255,Bluetooth,-55
2.257,Bluetooth,-55
2.292,Bluetooth,-57
2.293,Bluetooth,-57
2.385,Bluetooth,-55
2.386,Bluetooth,-56
2.419,Bluetooth,-56
2.420,Bluetooth,-57
2.450,Bluetooth,-58
2.451,Bluetooth,-58
2.486,Bluetooth,-55
2.487,Bluetooth,-56
2.518,Bluetooth,-58
2.519,Bluetooth,-58
2.616,Bluetooth,-55
2.616,Bluetooth,-55
2.649,Bluetooth,-58
2.650,Bluetooth,-58
2.680,Bluetooth,-59
2.681,Bluetooth,-59
2.746,Bluetooth,-55
2.747,Bluetooth,-56
2.808,Bluetooth,-60
2.869,Bluetooth,-56
2.871,Bluetooth,-57
2.909,Bluetooth,-59
2.910,Bluetooth,-59
2.971,Bluetooth,-61
2.972,Bluetooth,-60
3.006,Bluetooth,-54
3.009,Bluetooth,-55
3.038,Bluetooth,-58
3.038,Bluetooth,-59
3.068,Bluetooth,-60
3.070,Bluetooth,-60
3.136,Bluetooth,-60
3.137,Bluetooth,-61
3.168,Bluetooth,-55
3.169,Bluetooth,-55
3.200,Bluetooth,-59
3.201,Bluetooth,-58
3.267,Bluetooth,-59
3.268,Bluetooth,-59
3.296,Bluetooth,-55
3.297,Bluetooth,-56
3.329,Bluetooth,-58
3.330,Bluetooth,-59
3.361,Bluetooth,-61
3.362,Bluetooth,-60
3.422,Bluetooth,-55
3.423,Bluetooth,-55
3.455,Bluetooth,-58
3.457,Bluetooth,-57
3.489,Bluetooth,-59
3.490,Bluetooth,-60
3.521,Bluetooth,-55
3.522,Bluetooth,-55
3.584,Bluetooth,-58
3.585,Bluetooth,-58
