Distance,4.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-59
0.001,Bluetooth,-61
0.030,Bluetooth,-66
0.032,Bluetooth,-66
0.093,Bluetooth,-62
0.094,Bluetooth,-62
0.164,Bluetooth,-65
0.164,Bluetooth,-65
0.249,Bluetooth,-68
0.250,Bluetooth,-69
0.281,Bluetooth,-64
0.282,Bluetooth,-64
0.315,Bluetooth,-70
0.316,Bluetooth,-69
0.348,Bluetooth,-64
0.349,Bluetooth,-64
0.377,Bluetooth,-64
0.378,Bluetooth,-64
0.439,Bluetooth,-70
0.440,Bluetooth,-71
0.470,Bluetooth,-63
0.531,Bluetooth,-69
0.532,Bluetooth,-70
0.594,Bluetooth,-65
0.595,Bluetooth,-64
0.626,Bluetooth,-73
0.627,Bluetooth,-73
0.692,Bluetooth,-62
0.692,Bluetooth,-62
0.723,Bluetooth,-69
0.724,Bluetooth,-71
0.793,Bluetooth,-62
0.794,Bluetooth,-62
0.823,Bluetooth,-65
0.824,Bluetooth,-65
0.888,Bluetooth,-63
0.890,Bluetooth,-64
0.922,Bluetooth,-77
0.923,Bluetooth,-77
0.954,Bluetooth,-62
0.955,Bluetooth,-61
0.986,Bluetooth,-59
0.987,Bluetooth,-60
1.020,Bluetooth,-67
1.021,Bluetooth,-69
1.080,Bluetooth,-65
1.081,Bluetooth,-65
1.115,Bluetooth,-63
1.116,Bluetooth,-63
1.208,Bluetooth,-66
1.209,Bluetooth,-64
1.239,Bluetooth,-64
1.241,Bluetooth,-64
1.299,Bluetooth,-62
1.300,Bluetooth,-62
1.329,Bluetooth,-61
1.330,Bluetooth,-62
1.399,Bluetooth,-65
1.400,Bluetooth,-65
1.431,Bluetooth,-62
1.497,Bluetooth,-62
1.498,Bluetooth,-62
1.528,Bluetooth,-63
1.529,Bluetooth,-65
1.595,Bluetooth,-61
1.596,Bluetooth,-61
1.630,Bluetooth,-62
1.631,Bluetooth,-62
1.722,Bluetooth,-62
1.723,Bluetooth,-62
1.816,Bluetooth,-62
1.817,Bluetooth,-61
1.879,Bluetooth,-60
1.880,Bluetooth,-60
1.942,Bluetooth,-62
1.943,Bluetooth,-63
2.037,Bluetooth,-63
2.101,Bluetooth,-57
2.102,Bluetooth,-58
2.198,Bluetooth,-58
2.199,Bluetooth,-58
2.234,Bluetooth,-63
2.235,Bluetooth,-63
2.292,Bluetooth,-57
2.293,Bluetooth,-58
2.328,Bluetooth,-63
2.329,Bluetooth,-63
2.358,Bluetooth,-57
2.359,Bluetooth,-57
2.392,Bluetooth,-58
2.392,Bluetooth,-58
2.422,Bluetooth,-63
2.453,Bluetooth,-56
2.454,Bluetooth,-57
2.487,Bluetooth,-59
2.488,Bluetooth,-59
2.548,Bluetooth,-65
2.549,Bluetooth,-64
2.577,Bluetooth,-60
2.578,Bluetooth,-60
2.703,Bluetooth,-60
2.703,Bluetooth,-61
2.733,Bluetooth,-70
2.734,Bluetooth,-70
2.801,Bluetooth,-60
2.802,Bluetooth,-61
2.895,Bluetooth,-61
2.896,Bluetooth,-61
2.926,Bluetooth,-66
2.927,Bluetooth,-66
2.964,Bluetooth,-59
2.964,Bluetooth,-58
2.989,Bluetooth,-62
3.018,Bluetooth,-69
3.019,Bluetooth,-68
3.050,Bluetooth,-66
3.051,Bluetooth,-65
3.081,Bluetooth,-62
3.082,Bluetooth,-62
3.112,Bluetooth,-64
3.113,Bluetooth,-65
3.179,Bluetooth,-63
3.181,Bluetooth,-62
3.240,Bluetooth,-65
3.241,Bluetooth,-66
3.333,Bluetooth,-66
3.334,Bluetooth,-65
3.399,Bluetooth,-62
3.400,Bluetooth,-62
3.431,Bluetooth,-65
3.433,Bluetooth,-65
3.498,Bluetooth,-62
3.499,Bluetooth,-62
3.530,Bluetooth,-65
3.532,Bluetooth,-65
3.591,Bluetooth,-62
3.592,Bluetooth,-62
3.626,Bluetooth,-64
3.627,Bluetooth,-64
3.725,Bluetooth,-65
3.725,Bluetooth,-65
3.764,Bluetooth,-57
3.765,Bluetooth,-57
3.791,Bluetooth,-63
3.792,Bluetooth,-61
3.844,Bluetooth,-62
3.940,Bluetooth,-69
3.941,Bluetooth,-69
146.567,Bluetooth,-80
146.568,Bluetooth,-80
146.625,Bluetooth,-67
146.626,Bluetooth,-67
146.690,Bluetooth,-76
146.691,Bluetooth,-75
146.764,Bluetooth,-67
146.783,Bluetooth,-73
146.784,Bluetooth,-73
146.880,Bluetooth,-77
146.881,Bluetooth,-76
146.939,Bluetooth,-65
146.940,Bluetooth,-65
147.005,Bluetooth,-73
147.006,Bluetooth,-72
147.100,Bluetooth,-67
147.101,Bluetooth,-66
147.136,Bluetooth,-62
147.137,Bluetooth,-63
147.202,Bluetooth,-65
147.203,Bluetooth,-66
147.237,Bluetooth,-61
147.238,Bluetooth,-62
147.305,Bluetooth,-67
147.306,Bluetooth,-67
147.404,Bluetooth,-64
147.436,Bluetooth,-60
147.437,Bluetooth,-59
147.498,Bluetooth,-67
147.499,Bluetooth,-67
147.594,Bluetooth,-67
147.595,Bluetooth,-68
147.622,Bluetooth,-58
147.624,Bluetooth,-60
147.685,Bluetooth,-67
147.686,Bluetooth,-69
147.718,Bluetooth,-59
147.719,Bluetooth,-60
147.753,Bluetooth,-57
147.754,Bluetooth,-56
147.786,Bluetooth,-68
147.787,Bluetooth,-68
147.820,Bluetooth,-60
147.821,Bluetooth,-59
147.885,Bluetooth,-70
147.886,Bluetooth,-72
147.917,Bluetooth,-60
147.918,Bluetooth,-60
147.984,Bluetooth,-70
147.985,Bluetooth,-71
148.049,Bluetooth,-72
148.049,Bluetooth,-71
148.079,Bluetooth,-71
148.080,Bluetooth,-72
148.139,Bluetooth,-61
148.140,Bluetooth,-60
148.237,Bluetooth,-61
148.239,Bluetooth,-61
148.305,Bluetooth,-71
148.306,Bluetooth,-71
148.332,Bluetooth,-61
148.333,Bluetooth,-61
148.391,Bluetooth,-70
148.392,Bluetooth,-72
148.423,Bluetooth,-61
148.424,Bluetooth,-61
148.486,Bluetooth,-70
148.516,Bluetooth,-61
148.517,Bluetooth,-61
148.546,Bluetooth,-61
148.546,Bluetooth,-60
148.605,Bluetooth,-72
148.606,Bluetooth,-72
148.635,Bluetooth,-61
148.636,Bluetooth,-61
148.698,Bluetooth,-72
148.793,Bluetooth,-72
148.794,Bluetooth,-71
148.887,Bluetooth,-71
148.888,Bluetooth,-72
148.923,Bluetooth,-61
148.924,Bluetooth,-62
148.964,Bluetooth,-59
148.965,Bluetooth,-59
149.106,Bluetooth,-74
149.107,Bluetooth,-74
149.137,Bluetooth,-61
149.138,Bluetooth,-62
149.196,Bluetooth,-75
149.197,Bluetooth,-76
149.321,Bluetooth,-76
149.322,Bluetooth,-75
149.353,Bluetooth,-60
149.386,Bluetooth,-76
149.387,Bluetooth,-75
149.484,Bluetooth,-75
149.485,Bluetooth,-76
149.515,Bluetooth,-61
149.516,Bluetooth,-62
149.609,Bluetooth,-73
149.610,Bluetooth,-74
149.641,Bluetooth,-59
149.642,Bluetooth,-61
149.671,Bluetooth,-72
149.672,Bluetooth,-71
149.701,Bluetooth,-71
149.702,Bluetooth,-71
149.737,Bluetooth,-60
149.738,Bluetooth,-61
149.798,Bluetooth,-66
149.799,Bluetooth,-66
149.896,Bluetooth,-65
149.897,Bluetooth,-65
149.928,Bluetooth,-59
149.929,Bluetooth,-59
149.963,Bluetooth,-58
149.964,Bluetooth,-58
149.990,Bluetooth,-63
149.991,Bluetooth,-65
150.026,Bluetooth,-59
150.026,Bluetooth,-59
150.086,Bluetooth,-63
150.088,Bluetooth,-65
150.117,Bluetooth,-60
150.118,Bluetooth,-58
150.181,Bluetooth,-63
150.182,Bluetooth,-63
150.243,Bluetooth,-58
150.244,Bluetooth,-58
150.272,Bluetooth,-63
150.273,Bluetooth,-62
