Distance,15.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,standing
0.000,Bluetooth,-73
0.002,Bluetooth,-74
0.031,Bluetooth,-78
0.033,Bluetooth,-78
0.064,Bluetooth,-77
0.065,Bluetooth,-77
0.092,Bluetooth,-78
0.093,Bluetooth,-78
0.123,Bluetooth,-75
0.124,Bluetooth,-74
0.154,Bluetooth,-77
0.155,Bluetooth,-78
0.216,Bluetooth,-79
0.217,Bluetooth,-79
0.251,Bluetooth,-76
0.252,Bluetooth,-77
0.281,Bluetooth,-77
0.281,Bluetooth,-77
0.311,Bluetooth,-81
0.312,Bluetooth,-81
0.341,Bluetooth,-80
0.342,Bluetooth,-80
0.375,Bluetooth,-76
0.376,Bluetooth,-77
0.409,Bluetooth,-75
0.411,Bluetooth,-76
0.438,Bluetooth,-81
0.439,Bluetooth,-81
0.470,Bluetooth,-79
0.471,Bluetooth,-77
0.501,Bluetooth,-77
0.536,Bluetooth,-78
0.536,Bluetooth,-79
0.569,Bluetooth,-80
0.570,Bluetooth,-80
0.601,Bluetooth,-76
0.602,Bluetooth,-76
0.634,Bluetooth,-79
0.635,Bluetooth,-77
0.664,Bluetooth,-80
0.665,Bluetooth,-79
0.694,Bluetooth,-78
0.696,Bluetooth,-80
0.725,Bluetooth,-76
0.727,Bluetooth,-77
0.760,Bluetooth,-78
0.762,Bluetooth,-79
0.789,Bluetooth,-79
0.790,Bluetooth,-79
0.822,Bluetooth,-79
0.824,Bluetooth,-78
0.855,Bluetooth,-76
0.856,Bluetooth,-76
0.891,Bluetooth,-77
0.892,Bluetooth,-77
0.920,Bluetooth,-78
0.921,Bluetooth,-79
0.951,Bluetooth,-77
0.952,Bluetooth,-75
0.984,Bluetooth,-75
0.985,Bluetooth,-75
1.014,Bluetooth,-74
1.016,Bluetooth,-76
1.045,Bluetooth,-78
1.047,Bluetooth,-79
1.076,Bluetooth,-74
1.077,Bluetooth,-74
1.106,Bluetooth,-73
1.107,Bluetooth,-74
1.136,Bluetooth,-76
1.137,Bluetooth,-76
1.165,Bluetooth,-77
1.166,Bluetooth,-79
1.196,Bluetooth,-73
1.197,Bluetooth,-74
1.226,Bluetooth,-71
1.227,Bluetooth,-72
1.257,Bluetooth,-77
1.258,Bluetooth,-76
1.287,Bluetooth,-76
1.289,Bluetooth,-78
1.321,Bluetooth,-71
1.322,Bluetooth,-72
1.353,Bluetooth,-75
1.354,Bluetooth,-76
1.383,Bluetooth,-75
1.384,Bluetooth,-76
1.415,Bluetooth,-77
1.417,Bluetooth,-76
1.446,Bluetooth,-72
1.447,Bluetooth,-72
1.481,Bluetooth,-74
1.482,Bluetooth,-74
1.512,Bluetooth,-76
1.514,Bluetooth,-77
1.542,Bluetooth,-78
1.546,Bluetooth,-77
1.574,Bluetooth,-72
1.575,Bluetooth,-72
1.609,Bluetooth,-75
1.610,Bluetooth,-74
1.637,Bluetooth,-76
1.639,Bluetooth,-76
1.669,Bluetooth,-72
1.670,Bluetooth,-72
1.705,Bluetooth,-72
1.706,Bluetooth,-72
1.736,Bluetooth,-74
1.737,Bluetooth,-74
1.769,Bluetooth,-76
1.770,Bluetooth,-77
1.801,Bluetooth,-73
1.802,Bluetooth,-72
1.831,Bluetooth,-73
1.833,Bluetooth,-74
1.862,Bluetooth,-74
1.864,Bluetooth,-74
1.892,Bluetooth,-76
