Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,standing
0.000,Bluetooth,-68
0.039,Bluetooth,-84
0.041,Bluetooth,-85
0.215,Bluetooth,-73
0.246,Bluetooth,-72
0.248,Bluetooth,-72
0.275,Bluetooth,-64
0.314,Bluetooth,-71
0.316,Bluetooth,-72
0.414,Bluetooth,-63
0.484,Bluetooth,-63
0.486,Bluetooth,-63
0.522,Bluetooth,-62
0.590,Bluetooth,-61
0.592,Bluetooth,-61
0.630,Bluetooth,-61
0.632,Bluetooth,-61
0.666,Bluetooth,-72
0.669,Bluetooth,-72
0.732,Bluetooth,-61
0.734,Bluetooth,-60
0.762,Bluetooth,-60
0.764,Bluetooth,-61
0.842,Bluetooth,-67
0.844,Bluetooth,-66
0.913,Bluetooth,-61
0.915,Bluetooth,-62
0.941,Bluetooth,-63
0.943,Bluetooth,-62
0.975,Bluetooth,-63
0.977,Bluetooth,-62
1.013,Bluetooth,-60
1.015,Bluetooth,-62
1.040,Bluetooth,-61
1.083,Bluetooth,-60
1.085,Bluetooth,-61
1.122,Bluetooth,-60
1.158,Bluetooth,-58
1.160,Bluetooth,-59
1.196,Bluetooth,-60
1.197,Bluetooth,-61
1.230,Bluetooth,-65
1.232,Bluetooth,-66
1.270,Bluetooth,-57
1.272,Bluetooth,-57
1.340,Bluetooth,-69
1.416,Bluetooth,-61
1.451,Bluetooth,-55
1.453,Bluetooth,-56
1.553,Bluetooth,-58
1.555,Bluetooth,-58
1.617,Bluetooth,-62
1.619,Bluetooth,-63
1.649,Bluetooth,-64
1.651,Bluetooth,-64
1.685,Bluetooth,-60
1.687,Bluetooth,-60
1.722,Bluetooth,-63
1.789,Bluetooth,-60
1.828,Bluetooth,-62
1.829,Bluetooth,-62
1.927,Bluetooth,-61
1.929,Bluetooth,-62
1.958,Bluetooth,-59
1.960,Bluetooth,-58
1.987,Bluetooth,-61
1.989,Bluetooth,-61
2.026,Bluetooth,-64
2.057,Bluetooth,-62
2.059,Bluetooth,-62
2.093,Bluetooth,-63
2.094,Bluetooth,-63
2.154,Bluetooth,-61
2.156,Bluetooth,-62
2.262,Bluetooth,-58
2.295,Bluetooth,-65
2.298,Bluetooth,-64
2.359,Bluetooth,-63
2.361,Bluetooth,-63
2.431,Bluetooth,-55
2.434,Bluetooth,-56
2.463,Bluetooth,-62
2.465,Bluetooth,-62
2.501,Bluetooth,-62
2.504,Bluetooth,-61
2.607,Bluetooth,-61
2.644,Bluetooth,-60
2.647,Bluetooth,-60
2.678,Bluetooth,-60
2.680,Bluetooth,-61
2.817,Bluetooth,-59
2.819,Bluetooth,-58
2.857,Bluetooth,-55
2.859,Bluetooth,-54
2.889,Bluetooth,-62
2.891,Bluetooth,-62
2.930,Bluetooth,-59
3.118,Bluetooth,-59
3.157,Bluetooth,-56
3.159,Bluetooth,-56
3.190,Bluetooth,-55
3.192,Bluetooth,-56
3.226,Bluetooth,-57
3.265,Bluetooth,-58
3.267,Bluetooth,-56
3.303,Bluetooth,-64
3.305,Bluetooth,-64
3.336,Bluetooth,-60
3.337,Bluetooth,-60
3.402,Bluetooth,-63
3.404,Bluetooth,-63
3.441,Bluetooth,-60
3.443,Bluetooth,-59
3.481,Bluetooth,-58
3.483,Bluetooth,-57
3.517,Bluetooth,-68
3.555,Bluetooth,-58
3.557,Bluetooth,-58
3.590,Bluetooth,-68
3.592,Bluetooth,-68
3.687,Bluetooth,-60
3.689,Bluetooth,-60
3.720,Bluetooth,-69
3.722,Bluetooth,-70
3.752,Bluetooth,-60
3.825,Bluetooth,-60
3.891,Bluetooth,-71
3.894,Bluetooth,-70
3.925,Bluetooth,-60
3.927,Bluetooth,-60
3.958,Bluetooth,-57
3.961,Bluetooth,-58
56.770,Bluetooth,-65
56.772,Bluetooth,-65
