Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-67
0.000,Bluetooth,-66
0.031,Bluetooth,-65
0.032,Bluetooth,-66
0.066,Bluetooth,-63
0.067,Bluetooth,-63
0.097,Bluetooth,-77
0.128,Bluetooth,-61
0.129,Bluetooth,-62
0.160,Bluetooth,-64
0.161,Bluetooth,-65
0.230,Bluetooth,-71
0.231,Bluetooth,-71
0.271,Bluetooth,-66
0.272,Bluetooth,-65
0.305,Bluetooth,-63
0.306,Bluetooth,-63
0.338,Bluetooth,-67
0.339,Bluetooth,-68
0.375,Bluetooth,-76
0.376,Bluetooth,-74
0.407,Bluetooth,-63
0.408,Bluetooth,-63
0.440,Bluetooth,-59
0.441,Bluetooth,-60
0.479,Bluetooth,-62
0.480,Bluetooth,-63
0.518,Bluetooth,-71
0.519,Bluetooth,-71
0.555,Bluetooth,-62
0.556,Bluetooth,-61
0.587,Bluetooth,-65
0.588,Bluetooth,-64
0.665,Bluetooth,-60
0.666,Bluetooth,-60
0.703,Bluetooth,-62
0.704,Bluetooth,-62
0.782,Bluetooth,-62
0.783,Bluetooth,-61
0.813,Bluetooth,-63
0.814,Bluetooth,-63
0.848,Bluetooth,-72
0.849,Bluetooth,-72
0.879,Bluetooth,-72
0.879,Bluetooth,-71
0.918,Bluetooth,-66
0.919,Bluetooth,-65
0.954,Bluetooth,-62
0.956,Bluetooth,-63
0.986,Bluetooth,-71
0.987,Bluetooth,-72
1.018,Bluetooth,-64
1.091,Bluetooth,-69
1.092,Bluetooth,-70
1.122,Bluetooth,-69
1.123,Bluetooth,-70
1.163,Bluetooth,-63
1.164,Bluetooth,-65
1.192,Bluetooth,-63
1.193,Bluetooth,-62
1.223,Bluetooth,-69
1.224,Bluetooth,-69
1.263,Bluetooth,-62
1.264,Bluetooth,-62
1.329,Bluetooth,-69
1.330,Bluetooth,-69
1.436,Bluetooth,-63
1.437,Bluetooth,-61
1.473,Bluetooth,-68
1.505,Bluetooth,-62
1.506,Bluetooth,-63
1.536,Bluetooth,-62
1.538,Bluetooth,-62
1.601,Bluetooth,-67
1.635,Bluetooth,-63
1.636,Bluetooth,-63
1.666,Bluetooth,-63
1.667,Bluetooth,-61
1.699,Bluetooth,-69
1.700,Bluetooth,-70
1.775,Bluetooth,-61
1.776,Bluetooth,-61
1.851,Bluetooth,-63
1.852,Bluetooth,-63
1.885,Bluetooth,-59
1.886,Bluetooth,-59
1.952,Bluetooth,-69
1.953,Bluetooth,-70
1.988,Bluetooth,-63
1.989,Bluetooth,-62
2.025,Bluetooth,-61
2.026,Bluetooth,-61
2.097,Bluetooth,-61
2.276,Bluetooth,-61
2.278,Bluetooth,-61
2.314,Bluetooth,-68
2.353,Bluetooth,-63
2.391,Bluetooth,-61
2.393,Bluetooth,-62
2.432,Bluetooth,-70
2.433,Bluetooth,-69
2.499,Bluetooth,-62
2.500,Bluetooth,-61
2.529,Bluetooth,-69
2.568,Bluetooth,-62
2.569,Bluetooth,-63
2.679,Bluetooth,-72
2.680,Bluetooth,-73
2.715,Bluetooth,-63
2.716,Bluetooth,-63
2.747,Bluetooth,-61
2.748,Bluetooth,-60
2.811,Bluetooth,-63
2.812,Bluetooth,-62
2.880,Bluetooth,-61
2.881,Bluetooth,-61
2.914,Bluetooth,-75
2.915,Bluetooth,-73
2.980,Bluetooth,-61
2.981,Bluetooth,-60
3.057,Bluetooth,-63
3.058,Bluetooth,-62
3.089,Bluetooth,-62
3.090,Bluetooth,-61
3.121,Bluetooth,-61
3.122,Bluetooth,-62
3.152,Bluetooth,-76
3.189,Bluetooth,-62
3.190,Bluetooth,-62
3.217,Bluetooth,-61
3.217,Bluetooth,-61
