Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-56
0.001,Bluetooth,-56
0.033,Bluetooth,-55
0.034,Bluetooth,-56
0.066,Bluetooth,-56
0.067,Bluetooth,-56
0.164,Bluetooth,-60
0.165,Bluetooth,-61
0.235,Bluetooth,-52
0.237,Bluetooth,-52
0.365,Bluetooth,-62
0.367,Bluetooth,-62
0.438,Bluetooth,-54
0.439,Bluetooth,-54
0.472,Bluetooth,-54
0.473,Bluetooth,-56
0.511,Bluetooth,-61
0.512,Bluetooth,-59
0.551,Bluetooth,-61
0.552,Bluetooth,-60
0.588,Bluetooth,-67
0.589,Bluetooth,-66
0.620,Bluetooth,-64
0.621,Bluetooth,-65
0.733,Bluetooth,-66
0.735,Bluetooth,-66
0.805,Bluetooth,-58
0.806,Bluetooth,-58
0.842,Bluetooth,-64
0.843,Bluetooth,-64
0.879,Bluetooth,-56
0.880,Bluetooth,-56
0.910,Bluetooth,-55
0.912,Bluetooth,-56
0.987,Bluetooth,-64
0.988,Bluetooth,-63
1.029,Bluetooth,-55
1.030,Bluetooth,-53
1.065,Bluetooth,-58
1.066,Bluetooth,-59
1.101,Bluetooth,-63
1.102,Bluetooth,-63
1.140,Bluetooth,-54
1.141,Bluetooth,-54
1.172,Bluetooth,-58
1.173,Bluetooth,-59
1.208,Bluetooth,-63
1.209,Bluetooth,-63
1.243,Bluetooth,-54
1.244,Bluetooth,-55
1.274,Bluetooth,-54
1.275,Bluetooth,-55
1.307,Bluetooth,-57
1.308,Bluetooth,-58
1.338,Bluetooth,-63
1.339,Bluetooth,-63
1.371,Bluetooth,-55
1.372,Bluetooth,-53
1.408,Bluetooth,-57
1.410,Bluetooth,-57
1.471,Bluetooth,-63
1.472,Bluetooth,-64
1.503,Bluetooth,-54
1.504,Bluetooth,-53
1.535,Bluetooth,-57
1.536,Bluetooth,-58
1.574,Bluetooth,-65
1.575,Bluetooth,-64
1.648,Bluetooth,-57
1.649,Bluetooth,-58
1.709,Bluetooth,-63
1.710,Bluetooth,-63
1.750,Bluetooth,-54
1.751,Bluetooth,-54
1.786,Bluetooth,-58
1.787,Bluetooth,-58
1.823,Bluetooth,-61
1.824,Bluetooth,-63
1.854,Bluetooth,-54
1.855,Bluetooth,-53
1.889,Bluetooth,-59
1.890,Bluetooth,-58
1.918,Bluetooth,-62
1.919,Bluetooth,-63
1.952,Bluetooth,-60
1.953,Bluetooth,-64
1.989,Bluetooth,-55
1.990,Bluetooth,-55
2.023,Bluetooth,-59
2.024,Bluetooth,-57
2.057,Bluetooth,-61
2.058,Bluetooth,-62
2.169,Bluetooth,-61
2.170,Bluetooth,-61
2.204,Bluetooth,-54
2.205,Bluetooth,-54
2.244,Bluetooth,-58
2.245,Bluetooth,-58
2.280,Bluetooth,-61
2.281,Bluetooth,-61
2.314,Bluetooth,-60
2.314,Bluetooth,-61
2.414,Bluetooth,-60
2.416,Bluetooth,-60
2.449,Bluetooth,-53
2.450,Bluetooth,-53
2.515,Bluetooth,-58
2.516,Bluetooth,-59
2.553,Bluetooth,-59
2.555,Bluetooth,-58
2.590,Bluetooth,-54
2.591,Bluetooth,-55
2.622,Bluetooth,-60
2.623,Bluetooth,-60
2.660,Bluetooth,-60
2.662,Bluetooth,-60
2.695,Bluetooth,-54
2.765,Bluetooth,-58
2.766,Bluetooth,-58
2.801,Bluetooth,-53
2.802,Bluetooth,-53
2.839,Bluetooth,-56
2.840,Bluetooth,-57
2.878,Bluetooth,-57
2.879,Bluetooth,-59
2.913,Bluetooth,-58
2.914,Bluetooth,-58
2.950,Bluetooth,-54
2.951,Bluetooth,-54
2.992,Bluetooth,-58
2.993,Bluetooth,-57
3.125,Bluetooth,-58
3.126,Bluetooth,-58
3.157,Bluetooth,-59
3.195,Bluetooth,-53
3.196,Bluetooth,-54
3.224,Bluetooth,-58
3.225,Bluetooth,-58
3.258,Bluetooth,-57
3.259,Bluetooth,-57
3.322,Bluetooth,-56
3.323,Bluetooth,-58
3.355,Bluetooth,-58
3.356,Bluetooth,-58
3.393,Bluetooth,-58
3.395,Bluetooth,-58
3.504,Bluetooth,-58
3.505,Bluetooth,-58
3.615,Bluetooth,-58
3.616,Bluetooth,-58
3.686,Bluetooth,-55
3.687,Bluetooth,-57
3.717,Bluetooth,-58
3.718,Bluetooth,-59
3.748,Bluetooth,-58
3.749,Bluetooth,-58
3.782,Bluetooth,-54
3.783,Bluetooth,-54
3.816,Bluetooth,-56
3.852,Bluetooth,-58
3.853,Bluetooth,-58
3.958,Bluetooth,-59
3.959,Bluetooth,-57
62.611,Bluetooth,-63
62.613,Bluetooth,-63
62.645,Bluetooth,-60
62.646,Bluetooth,-60
62.683,Bluetooth,-60
62.684,Bluetooth,-61
62.856,Bluetooth,-62
62.890,Bluetooth,-59
62.892,Bluetooth,-60
62.921,Bluetooth,-59
62.922,Bluetooth,-60
62.951,Bluetooth,-60
62.953,Bluetooth,-61
62.980,Bluetooth,-63
62.981,Bluetooth,-62
63.018,Bluetooth,-60
63.019,Bluetooth,-59
63.055,Bluetooth,-60
63.056,Bluetooth,-59
63.090,Bluetooth,-62
63.091,Bluetooth,-62
63.126,Bluetooth,-59
63.127,Bluetooth,-58
63.167,Bluetooth,-59
63.226,Bluetooth,-62
63.228,Bluetooth,-63
63.262,Bluetooth,-59
63.263,Bluetooth,-60
63.333,Bluetooth,-62
63.334,Bluetooth,-63
63.371,Bluetooth,-58
63.372,Bluetooth,-59
63.462,Bluetooth,-62
63.464,Bluetooth,-62
63.495,Bluetooth,-60
63.496,Bluetooth,-59
63.533,Bluetooth,-58
63.535,Bluetooth,-60
63.631,Bluetooth,-59
63.632,Bluetooth,-59
63.662,Bluetooth,-58
63.663,Bluetooth,-59
63.692,Bluetooth,-62
63.694,Bluetooth,-62
63.732,Bluetooth,-60
63.733,Bluetooth,-59
63.768,Bluetooth,-59
63.913,Bluetooth,-60
63.914,Bluetooth,-59
63.942,Bluetooth,-62
63.943,Bluetooth,-63
63.981,Bluetooth,-59
63.982,Bluetooth,-58
64.014,Bluetooth,-58
64.015,Bluetooth,-59
64.089,Bluetooth,-60
64.121,Bluetooth,-60
64.122,Bluetooth,-58
64.150,Bluetooth,-59
64.151,Bluetooth,-59
64.181,Bluetooth,-63
64.182,Bluetooth,-63
64.212,Bluetooth,-59
64.213,Bluetooth,-59
64.250,Bluetooth,-58
64.251,Bluetooth,-59
64.283,Bluetooth,-64
64.284,Bluetooth,-63
64.318,Bluetooth,-64
64.319,Bluetooth,-63
64.351,Bluetooth,-59
64.352,Bluetooth,-60
64.385,Bluetooth,-58
64.386,Bluetooth,-58
64.564,Bluetooth,-59
64.565,Bluetooth,-59
64.666,Bluetooth,-60
64.668,Bluetooth,-60
64.699,Bluetooth,-59
64.700,Bluetooth,-61
64.776,Bluetooth,-64
64.815,Bluetooth,-60
64.816,Bluetooth,-60
64.853,Bluetooth,-58
64.853,Bluetooth,-57
64.884,Bluetooth,-65
64.884,Bluetooth,-65
64.918,Bluetooth,-59
64.919,Bluetooth,-59
64.951,Bluetooth,-60
64.952,Bluetooth,-61
64.986,Bluetooth,-58
65.019,Bluetooth,-64
65.019,Bluetooth,-64
65.050,Bluetooth,-60
65.050,Bluetooth,-60
65.082,Bluetooth,-58
65.083,Bluetooth,-56
65.145,Bluetooth,-63
65.145,Bluetooth,-64
65.181,Bluetooth,-60
65.182,Bluetooth,-59
65.218,Bluetooth,-57
65.220,Bluetooth,-58
65.284,Bluetooth,-60
65.286,Bluetooth,-60
65.316,Bluetooth,-60
65.317,Bluetooth,-61
65.385,Bluetooth,-64
65.386,Bluetooth,-63
65.463,Bluetooth,-59
65.465,Bluetooth,-59
65.569,Bluetooth,-59
65.570,Bluetooth,-59
65.637,Bluetooth,-60
65.638,Bluetooth,-59
65.667,Bluetooth,-61
65.668,Bluetooth,-60
65.745,Bluetooth,-63
65.747,Bluetooth,-63
65.784,Bluetooth,-61
65.785,Bluetooth,-60
65.898,Bluetooth,-59
65.899,Bluetooth,-59
65.940,Bluetooth,-58
65.941,Bluetooth,-57
65.969,Bluetooth,-60
65.970,Bluetooth,-60
66.153,Bluetooth,-60
66.154,Bluetooth,-59
66.191,Bluetooth,-58
66.193,Bluetooth,-59
66.220,Bluetooth,-63
66.286,Bluetooth,-59
66.288,Bluetooth,-58
66.351,Bluetooth,-63
