Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.073,Bluetooth,-58
0.074,Bluetooth,-57
0.172,Bluetooth,-57
0.173,Bluetooth,-57
0.210,Bluetooth,-59
0.211,Bluetooth,-60
0.246,Bluetooth,-61
0.247,Bluetooth,-61
0.279,Bluetooth,-58
0.280,Bluetooth,-58
0.321,Bluetooth,-64
0.322,Bluetooth,-63
0.460,Bluetooth,-60
0.461,Bluetooth,-60
0.504,Bluetooth,-58
0.505,Bluetooth,-58
0.534,Bluetooth,-68
0.535,Bluetooth,-68
0.599,Bluetooth,-64
0.599,Bluetooth,-64
0.635,Bluetooth,-58
0.636,Bluetooth,-58
0.675,Bluetooth,-61
0.676,Bluetooth,-60
0.710,Bluetooth,-62
0.711,Bluetooth,-63
0.744,Bluetooth,-60
0.821,Bluetooth,-60
0.823,Bluetooth,-60
0.855,Bluetooth,-61
0.856,Bluetooth,-60
0.883,Bluetooth,-61
0.884,Bluetooth,-61
0.924,Bluetooth,-59
0.925,Bluetooth,-58
0.993,Bluetooth,-61
0.994,Bluetooth,-62
1.035,Bluetooth,-61
1.072,Bluetooth,-60
1.073,Bluetooth,-61
1.141,Bluetooth,-54
1.142,Bluetooth,-54
1.181,Bluetooth,-60
1.181,Bluetooth,-60
1.211,Bluetooth,-58
1.212,Bluetooth,-58
1.242,Bluetooth,-53
1.243,Bluetooth,-53
1.348,Bluetooth,-60
1.382,Bluetooth,-58
1.383,Bluetooth,-61
1.423,Bluetooth,-57
1.424,Bluetooth,-58
1.487,Bluetooth,-60
1.488,Bluetooth,-61
1.595,Bluetooth,-60
1.596,Bluetooth,-60
1.626,Bluetooth,-57
1.703,Bluetooth,-57
1.704,Bluetooth,-56
1.741,Bluetooth,-59
1.742,Bluetooth,-59
1.779,Bluetooth,-62
1.780,Bluetooth,-62
1.925,Bluetooth,-59
1.957,Bluetooth,-60
1.958,Bluetooth,-59
2.022,Bluetooth,-54
2.023,Bluetooth,-55
2.085,Bluetooth,-61
2.086,Bluetooth,-60
2.115,Bluetooth,-55
2.116,Bluetooth,-55
2.219,Bluetooth,-60
2.255,Bluetooth,-61
2.256,Bluetooth,-60
2.294,Bluetooth,-55
2.295,Bluetooth,-55
2.367,Bluetooth,-56
2.368,Bluetooth,-56
2.538,Bluetooth,-54
2.575,Bluetooth,-63
2.575,Bluetooth,-60
2.612,Bluetooth,-55
2.613,Bluetooth,-55
2.651,Bluetooth,-57
2.652,Bluetooth,-57
2.685,Bluetooth,-60
2.686,Bluetooth,-61
2.720,Bluetooth,-55
2.721,Bluetooth,-54
2.824,Bluetooth,-57
2.858,Bluetooth,-61
2.937,Bluetooth,-58
2.939,Bluetooth,-57
3.070,Bluetooth,-58
3.071,Bluetooth,-58
3.108,Bluetooth,-60
3.109,Bluetooth,-61
3.137,Bluetooth,-60
3.169,Bluetooth,-61
3.170,Bluetooth,-61
3.245,Bluetooth,-58
3.246,Bluetooth,-58
3.274,Bluetooth,-61
3.275,Bluetooth,-61
3.447,Bluetooth,-55
3.517,Bluetooth,-56
3.517,Bluetooth,-55
3.547,Bluetooth,-59
3.547,Bluetooth,-57
3.620,Bluetooth,-54
3.621,Bluetooth,-56
3.685,Bluetooth,-57
3.686,Bluetooth,-58
3.746,Bluetooth,-57
3.780,Bluetooth,-63
3.781,Bluetooth,-63
3.848,Bluetooth,-63
3.849,Bluetooth,-64
3.882,Bluetooth,-63
3.883,Bluetooth,-63
3.923,Bluetooth,-55
3.924,Bluetooth,-56
107.939,Bluetooth,-53
107.940,Bluetooth,-54
107.974,Bluetooth,-55
107.975,Bluetooth,-54
108.046,Bluetooth,-56
108.047,Bluetooth,-56
108.081,Bluetooth,-54
108.083,Bluetooth,-54
108.119,Bluetooth,-53
108.158,Bluetooth,-53
108.159,Bluetooth,-54
108.218,Bluetooth,-56
108.220,Bluetooth,-57
108.249,Bluetooth,-55
108.250,Bluetooth,-54
108.282,Bluetooth,-53
108.283,Bluetooth,-55
108.316,Bluetooth,-56
108.317,Bluetooth,-56
108.356,Bluetooth,-53
108.356,Bluetooth,-53
108.425,Bluetooth,-55
108.498,Bluetooth,-55
108.499,Bluetooth,-55
108.533,Bluetooth,-53
108.534,Bluetooth,-53
108.565,Bluetooth,-52
108.566,Bluetooth,-51
108.600,Bluetooth,-54
108.601,Bluetooth,-53
108.666,Bluetooth,-55
108.729,Bluetooth,-52
108.766,Bluetooth,-53
108.767,Bluetooth,-53
108.798,Bluetooth,-55
108.798,Bluetooth,-54
108.836,Bluetooth,-51
108.836,Bluetooth,-51
108.872,Bluetooth,-53
108.873,Bluetooth,-53
108.982,Bluetooth,-51
108.983,Bluetooth,-51
109.021,Bluetooth,-53
109.081,Bluetooth,-53
109.082,Bluetooth,-52
109.114,Bluetooth,-57
109.115,Bluetooth,-57
109.153,Bluetooth,-52
109.154,Bluetooth,-52
109.194,Bluetooth,-54
109.195,Bluetooth,-53
109.232,Bluetooth,-56
109.232,Bluetooth,-56
109.266,Bluetooth,-53
109.267,Bluetooth,-52
109.298,Bluetooth,-54
109.336,Bluetooth,-56
109.372,Bluetooth,-52
109.372,Bluetooth,-53
109.407,Bluetooth,-56
109.408,Bluetooth,-56
