Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-50
0.000,Bluetooth,-50
0.033,Bluetooth,-49
0.034,Bluetooth,-49
0.073,Bluetooth,-49
0.074,Bluetooth,-50
0.113,Bluetooth,-50
0.114,Bluetooth,-50
0.248,Bluetooth,-50
0.248,Bluetooth,-49
0.320,Bluetooth,-49
0.321,Bluetooth,-49
0.382,Bluetooth,-48
0.383,Bluetooth,-48
0.420,Bluetooth,-49
0.421,Bluetooth,-49
0.457,Bluetooth,-47
0.458,Bluetooth,-48
0.488,Bluetooth,-49
0.632,Bluetooth,-47
0.634,Bluetooth,-48
0.710,Bluetooth,-48
0.711,Bluetooth,-48
0.747,Bluetooth,-49
0.748,Bluetooth,-48
0.788,Bluetooth,-48
0.824,Bluetooth,-48
0.825,Bluetooth,-48
0.896,Bluetooth,-48
0.896,Bluetooth,-47
0.933,Bluetooth,-48
0.935,Bluetooth,-48
1.040,Bluetooth,-47
1.041,Bluetooth,-48
1.071,Bluetooth,-48
1.072,Bluetooth,-48
1.147,Bluetooth,-48
1.147,Bluetooth,-48
1.219,Bluetooth,-48
1.220,Bluetooth,-49
1.253,Bluetooth,-47
1.253,Bluetooth,-48
1.292,Bluetooth,-48
1.294,Bluetooth,-48
1.332,Bluetooth,-47
1.333,Bluetooth,-48
1.372,Bluetooth,-47
1.373,Bluetooth,-47
1.580,Bluetooth,-49
1.581,Bluetooth,-49
1.616,Bluetooth,-48
1.617,Bluetooth,-48
1.649,Bluetooth,-47
1.650,Bluetooth,-48
1.688,Bluetooth,-47
1.801,Bluetooth,-49
1.803,Bluetooth,-48
1.839,Bluetooth,-47
1.840,Bluetooth,-49
1.870,Bluetooth,-47
1.871,Bluetooth,-48
1.939,Bluetooth,-48
1.939,Bluetooth,-48
2.119,Bluetooth,-49
2.120,Bluetooth,-48
2.153,Bluetooth,-47
2.153,Bluetooth,-49
2.188,Bluetooth,-47
2.189,Bluetooth,-48
2.229,Bluetooth,-49
2.231,Bluetooth,-48
2.266,Bluetooth,-48
2.268,Bluetooth,-49
2.300,Bluetooth,-47
2.374,Bluetooth,-48
2.375,Bluetooth,-48
2.409,Bluetooth,-48
2.410,Bluetooth,-48
2.440,Bluetooth,-47
2.477,Bluetooth,-48
2.478,Bluetooth,-48
2.517,Bluetooth,-48
2.518,Bluetooth,-47
2.556,Bluetooth,-48
2.556,Bluetooth,-48
2.592,Bluetooth,-49
2.623,Bluetooth,-48
2.624,Bluetooth,-48
2.661,Bluetooth,-47
2.662,Bluetooth,-47
2.739,Bluetooth,-48
2.739,Bluetooth,-48
2.768,Bluetooth,-48
2.770,Bluetooth,-47
2.808,Bluetooth,-47
2.809,Bluetooth,-48
2.837,Bluetooth,-48
2.838,Bluetooth,-49
2.868,Bluetooth,-47
2.869,Bluetooth,-48
3.050,Bluetooth,-48
3.051,Bluetooth,-48
3.116,Bluetooth,-49
3.116,Bluetooth,-48
3.146,Bluetooth,-49
3.147,Bluetooth,-48
3.176,Bluetooth,-50
3.352,Bluetooth,-48
3.353,Bluetooth,-47
3.382,Bluetooth,-48
3.382,Bluetooth,-48
3.425,Bluetooth,-49
3.426,Bluetooth,-48
3.561,Bluetooth,-48
3.562,Bluetooth,-49
3.596,Bluetooth,-50
3.597,Bluetooth,-49
3.625,Bluetooth,-49
3.626,Bluetooth,-49
3.762,Bluetooth,-49
3.764,Bluetooth,-50
3.798,Bluetooth,-49
3.833,Bluetooth,-50
3.835,Bluetooth,-48
3.911,Bluetooth,-48
3.912,Bluetooth,-50
3.942,Bluetooth,-49
3.943,Bluetooth,-49
13.980,Bluetooth,-44
14.049,Bluetooth,-45
14.050,Bluetooth,-45
14.119,Bluetooth,-43
14.120,Bluetooth,-44
14.193,Bluetooth,-43
14.194,Bluetooth,-43
14.266,Bluetooth,-43
14.267,Bluetooth,-42
14.304,Bluetooth,-42
14.335,Bluetooth,-43
14.336,Bluetooth,-42
14.403,Bluetooth,-45
14.404,Bluetooth,-44
14.433,Bluetooth,-42
14.433,Bluetooth,-43
14.467,Bluetooth,-44
14.468,Bluetooth,-43
14.537,Bluetooth,-47
14.538,Bluetooth,-46
14.610,Bluetooth,-43
14.611,Bluetooth,-43
14.828,Bluetooth,-46
14.829,Bluetooth,-46
14.857,Bluetooth,-43
14.858,Bluetooth,-44
14.889,Bluetooth,-43
14.931,Bluetooth,-44
14.932,Bluetooth,-43
14.970,Bluetooth,-44
14.971,Bluetooth,-43
15.009,Bluetooth,-47
15.010,Bluetooth,-47
15.044,Bluetooth,-44
15.045,Bluetooth,-43
15.082,Bluetooth,-42
15.083,Bluetooth,-43
15.155,Bluetooth,-43
15.155,Bluetooth,-44
15.189,Bluetooth,-43
15.332,Bluetooth,-45
15.333,Bluetooth,-46
15.368,Bluetooth,-44
15.369,Bluetooth,-44
15.409,Bluetooth,-46
15.410,Bluetooth,-46
15.476,Bluetooth,-45
15.548,Bluetooth,-44
15.549,Bluetooth,-44
15.618,Bluetooth,-46
15.619,Bluetooth,-46
15.651,Bluetooth,-45
15.653,Bluetooth,-43
15.751,Bluetooth,-44
15.752,Bluetooth,-44
15.793,Bluetooth,-43
15.825,Bluetooth,-45
15.826,Bluetooth,-45
15.903,Bluetooth,-45
15.904,Bluetooth,-45
16.044,Bluetooth,-47
16.045,Bluetooth,-45
16.083,Bluetooth,-46
16.156,Bluetooth,-45
16.157,Bluetooth,-44
16.187,Bluetooth,-44
16.187,Bluetooth,-45
16.221,Bluetooth,-46
16.222,Bluetooth,-45
16.257,Bluetooth,-46
16.259,Bluetooth,-46
16.293,Bluetooth,-45
16.294,Bluetooth,-45
16.355,Bluetooth,-45
16.356,Bluetooth,-46
16.423,Bluetooth,-46
16.461,Bluetooth,-45
16.463,Bluetooth,-44
16.567,Bluetooth,-45
16.567,Bluetooth,-45
16.808,Bluetooth,-43
16.809,Bluetooth,-44
16.876,Bluetooth,-45
16.877,Bluetooth,-45
16.919,Bluetooth,-43
16.919,Bluetooth,-44
16.952,Bluetooth,-46
16.953,Bluetooth,-45
16.983,Bluetooth,-44
17.014,Bluetooth,-44
17.015,Bluetooth,-45
17.053,Bluetooth,-46
17.055,Bluetooth,-45
17.200,Bluetooth,-46
17.201,Bluetooth,-45
17.235,Bluetooth,-45
17.236,Bluetooth,-44
17.301,Bluetooth,-44
17.332,Bluetooth,-44
17.333,Bluetooth,-44
17.398,Bluetooth,-46
17.399,Bluetooth,-46
17.440,Bluetooth,-45
17.441,Bluetooth,-45
17.475,Bluetooth,-45
17.476,Bluetooth,-45
17.508,Bluetooth,-47
17.509,Bluetooth,-46
17.582,Bluetooth,-48
17.822,Bluetooth,-47
31.102,Bluetooth,-53
31.169,Bluetooth,-53
31.170,Bluetooth,-53
31.252,Bluetooth,-58
31.253,Bluetooth,-61
31.313,Bluetooth,-55
31.314,Bluetooth,-54
31.345,Bluetooth,-52
31.346,Bluetooth,-52
31.377,Bluetooth,-53
31.510,Bluetooth,-52
31.511,Bluetooth,-53
31.547,Bluetooth,-58
31.548,Bluetooth,-59
31.612,Bluetooth,-51
31.613,Bluetooth,-52
31.650,Bluetooth,-60
31.652,Bluetooth,-60
31.680,Bluetooth,-60
31.715,Bluetooth,-61
31.716,Bluetooth,-61
31.776,Bluetooth,-54
31.777,Bluetooth,-52
31.814,Bluetooth,-52
31.815,Bluetooth,-53
31.848,Bluetooth,-61
31.849,Bluetooth,-62
31.888,Bluetooth,-53
31.890,Bluetooth,-54
31.925,Bluetooth,-52
31.927,Bluetooth,-54
31.967,Bluetooth,-62
31.968,Bluetooth,-62
32.036,Bluetooth,-63
32.036,Bluetooth,-63
32.063,Bluetooth,-54
32.064,Bluetooth,-53
32.102,Bluetooth,-53
32.103,Bluetooth,-53
32.140,Bluetooth,-64
32.140,Bluetooth,-64
32.178,Bluetooth,-55
32.179,Bluetooth,-55
32.214,Bluetooth,-53
32.214,Bluetooth,-54
32.284,Bluetooth,-52
32.320,Bluetooth,-63
32.321,Bluetooth,-64
32.423,Bluetooth,-63
32.425,Bluetooth,-63
32.531,Bluetooth,-53
32.532,Bluetooth,-53
32.569,Bluetooth,-62
32.570,Bluetooth,-63
32.599,Bluetooth,-63
32.663,Bluetooth,-55
32.664,Bluetooth,-55
32.694,Bluetooth,-53
32.695,Bluetooth,-54
32.729,Bluetooth,-64
32.730,Bluetooth,-63
32.768,Bluetooth,-55
32.769,Bluetooth,-54
32.806,Bluetooth,-52
32.807,Bluetooth,-53
32.845,Bluetooth,-61
32.846,Bluetooth,-62
32.916,Bluetooth,-61
32.917,Bluetooth,-60
32.950,Bluetooth,-52
32.951,Bluetooth,-52
33.017,Bluetooth,-53
33.018,Bluetooth,-51
33.088,Bluetooth,-50
33.089,Bluetooth,-51
33.160,Bluetooth,-59
33.161,Bluetooth,-58
33.191,Bluetooth,-51
33.222,Bluetooth,-57
33.223,Bluetooth,-58
33.255,Bluetooth,-50
33.256,Bluetooth,-50
33.294,Bluetooth,-53
33.295,Bluetooth,-52
33.328,Bluetooth,-59
33.330,Bluetooth,-58
33.436,Bluetooth,-53
33.437,Bluetooth,-52
33.469,Bluetooth,-56
33.469,Bluetooth,-56
33.505,Bluetooth,-54
33.535,Bluetooth,-55
33.536,Bluetooth,-55
33.567,Bluetooth,-49
33.568,Bluetooth,-50
33.601,Bluetooth,-52
33.602,Bluetooth,-52
33.638,Bluetooth,-54
33.639,Bluetooth,-54
33.669,Bluetooth,-50
33.671,Bluetooth,-49
33.781,Bluetooth,-49
33.899,Bluetooth,-52
33.900,Bluetooth,-52
33.938,Bluetooth,-53
33.940,Bluetooth,-54
34.002,Bluetooth,-53
34.004,Bluetooth,-52
34.033,Bluetooth,-53
34.033,Bluetooth,-52
34.075,Bluetooth,-52
34.289,Bluetooth,-50
34.289,Bluetooth,-52
34.355,Bluetooth,-55
34.356,Bluetooth,-56
34.385,Bluetooth,-57
34.416,Bluetooth,-55
34.417,Bluetooth,-55
34.447,Bluetooth,-51
34.449,Bluetooth,-51
34.555,Bluetooth,-57
34.556,Bluetooth,-56
34.587,Bluetooth,-53
34.588,Bluetooth,-52
34.617,Bluetooth,-53
34.618,Bluetooth,-53
34.648,Bluetooth,-57
34.650,Bluetooth,-56
34.685,Bluetooth,-51
34.726,Bluetooth,-56
34.727,Bluetooth,-56
34.762,Bluetooth,-52
34.763,Bluetooth,-51
34.870,Bluetooth,-51
34.871,Bluetooth,-51
34.979,Bluetooth,-51
47.533,Bluetooth,-52
47.534,Bluetooth,-52
47.572,Bluetooth,-52
47.573,Bluetooth,-52
47.605,Bluetooth,-51
47.677,Bluetooth,-56
47.678,Bluetooth,-55
47.708,Bluetooth,-52
47.709,Bluetooth,-52
47.772,Bluetooth,-57
