Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,standing
0.000,Bluetooth,-52
0.002,Bluetooth,-52
0.030,Bluetooth,-53
0.063,Bluetooth,-58
0.065,Bluetooth,-58
0.101,Bluetooth,-61
0.136,Bluetooth,-55
0.138,Bluetooth,-55
0.172,Bluetooth,-53
0.174,Bluetooth,-53
0.322,Bluetooth,-62
0.390,Bluetooth,-63
0.392,Bluetooth,-63
0.427,Bluetooth,-63
0.429,Bluetooth,-63
0.532,Bluetooth,-61
0.534,Bluetooth,-60
0.570,Bluetooth,-60
0.572,Bluetooth,-58
0.646,Bluetooth,-59
0.648,Bluetooth,-58
0.752,Bluetooth,-60
0.754,Bluetooth,-61
0.786,Bluetooth,-61
0.788,Bluetooth,-61
0.815,Bluetooth,-68
0.855,Bluetooth,-61
0.857,Bluetooth,-60
0.888,Bluetooth,-60
0.890,Bluetooth,-60
0.923,Bluetooth,-59
0.999,Bluetooth,-61
1.001,Bluetooth,-61
1.033,Bluetooth,-60
1.035,Bluetooth,-60
1.063,Bluetooth,-68
1.065,Bluetooth,-67
1.097,Bluetooth,-85
1.099,Bluetooth,-85
1.271,Bluetooth,-63
1.273,Bluetooth,-62
1.339,Bluetooth,-66
1.341,Bluetooth,-67
1.373,Bluetooth,-69
1.375,Bluetooth,-69
1.434,Bluetooth,-66
1.436,Bluetooth,-66
1.539,Bluetooth,-70
1.613,Bluetooth,-68
1.652,Bluetooth,-84
1.654,Bluetooth,-85
1.828,Bluetooth,-73
1.859,Bluetooth,-73
1.861,Bluetooth,-72
1.888,Bluetooth,-64
1.927,Bluetooth,-72
1.929,Bluetooth,-72
2.027,Bluetooth,-64
2.097,Bluetooth,-64
2.099,Bluetooth,-63
2.135,Bluetooth,-61
2.203,Bluetooth,-61
2.205,Bluetooth,-62
2.243,Bluetooth,-61
2.245,Bluetooth,-61
2.279,Bluetooth,-72
2.282,Bluetooth,-72
2.345,Bluetooth,-61
2.347,Bluetooth,-61
2.375,Bluetooth,-62
2.377,Bluetooth,-60
2.455,Bluetooth,-66
2.457,Bluetooth,-67
2.526,Bluetooth,-62
2.528,Bluetooth,-62
2.554,Bluetooth,-62
2.556,Bluetooth,-62
2.588,Bluetooth,-62
2.590,Bluetooth,-62
2.626,Bluetooth,-61
2.628,Bluetooth,-60
2.653,Bluetooth,-62
2.696,Bluetooth,-60
2.698,Bluetooth,-59
2.735,Bluetooth,-60
2.771,Bluetooth,-57
2.773,Bluetooth,-58
2.809,Bluetooth,-61
2.810,Bluetooth,-60
2.843,Bluetooth,-66
2.845,Bluetooth,-65
2.883,Bluetooth,-56
2.885,Bluetooth,-56
2.953,Bluetooth,-69
3.029,Bluetooth,-61
3.064,Bluetooth,-56
3.066,Bluetooth,-56
3.166,Bluetooth,-59
3.168,Bluetooth,-58
3.230,Bluetooth,-63
3.232,Bluetooth,-63
3.262,Bluetooth,-64
3.264,Bluetooth,-64
3.298,Bluetooth,-60
3.300,Bluetooth,-61
3.335,Bluetooth,-63
3.402,Bluetooth,-60
3.441,Bluetooth,-62
3.442,Bluetooth,-62
3.540,Bluetooth,-62
3.542,Bluetooth,-62
3.571,Bluetooth,-59
3.573,Bluetooth,-59
3.600,Bluetooth,-61
3.602,Bluetooth,-62
3.639,Bluetooth,-64
3.670,Bluetooth,-61
3.672,Bluetooth,-63
3.706,Bluetooth,-63
3.707,Bluetooth,-64
3.767,Bluetooth,-62
3.769,Bluetooth,-62
3.875,Bluetooth,-57
3.908,Bluetooth,-65
3.911,Bluetooth,-64
3.972,Bluetooth,-64
3.974,Bluetooth,-63
95.107,Bluetooth,-67
95.110,Bluetooth,-67
95.141,Bluetooth,-66
95.175,Bluetooth,-68
95.177,Bluetooth,-67
95.212,Bluetooth,-67
95.214,Bluetooth,-64
95.242,Bluetooth,-65
95.307,Bluetooth,-65
95.373,Bluetooth,-66
95.375,Bluetooth,-66
95.435,Bluetooth,-69
95.469,Bluetooth,-69
95.471,Bluetooth,-68
95.504,Bluetooth,-66
95.506,Bluetooth,-66
95.541,Bluetooth,-66
95.544,Bluetooth,-66
95.616,Bluetooth,-67
95.618,Bluetooth,-68
95.650,Bluetooth,-67
95.652,Bluetooth,-67
95.684,Bluetooth,-67
95.686,Bluetooth,-67
95.718,Bluetooth,-68
95.750,Bluetooth,-69
95.753,Bluetooth,-68
95.902,Bluetooth,-70
95.904,Bluetooth,-71
95.933,Bluetooth,-67
95.935,Bluetooth,-68
95.971,Bluetooth,-73
96.006,Bluetooth,-70
96.008,Bluetooth,-71
96.044,Bluetooth,-73
96.146,Bluetooth,-70
96.148,Bluetooth,-70
96.181,Bluetooth,-68
96.215,Bluetooth,-82
96.217,Bluetooth,-79
96.248,Bluetooth,-69
96.250,Bluetooth,-69
96.289,Bluetooth,-67
96.326,Bluetooth,-67
96.362,Bluetooth,-67
96.400,Bluetooth,-71
96.402,Bluetooth,-71
96.438,Bluetooth,-69
96.440,Bluetooth,-69
96.472,Bluetooth,-68
96.474,Bluetooth,-67
96.537,Bluetooth,-67
96.539,Bluetooth,-68
