Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-66
0.001,Bluetooth,-67
0.122,Bluetooth,-84
0.124,Bluetooth,-84
0.146,Bluetooth,-74
0.147,Bluetooth,-74
0.287,Bluetooth,-59
0.289,Bluetooth,-60
0.305,Bluetooth,-60
0.307,Bluetooth,-61
0.476,Bluetooth,-61
0.478,Bluetooth,-60
0.502,Bluetooth,-58
0.503,Bluetooth,-58
0.648,Bluetooth,-58
0.649,Bluetooth,-58
0.671,Bluetooth,-63
0.672,Bluetooth,-64
0.757,Bluetooth,-57
0.758,Bluetooth,-57
0.778,Bluetooth,-57
0.779,Bluetooth,-59
0.945,Bluetooth,-66
0.947,Bluetooth,-65
0.970,Bluetooth,-66
0.972,Bluetooth,-67
1.021,Bluetooth,-62
1.023,Bluetooth,-63
1.243,Bluetooth,-67
1.245,Bluetooth,-67
1.265,Bluetooth,-63
1.267,Bluetooth,-64
1.282,Bluetooth,-61
1.406,Bluetooth,-60
1.408,Bluetooth,-60
1.430,Bluetooth,-68
1.431,Bluetooth,-69
1.577,Bluetooth,-68
1.578,Bluetooth,-67
1.599,Bluetooth,-67
1.601,Bluetooth,-68
1.784,Bluetooth,-67
1.785,Bluetooth,-67
1.804,Bluetooth,-67
1.806,Bluetooth,-66
1.956,Bluetooth,-69
1.957,Bluetooth,-70
1.979,Bluetooth,-61
1.980,Bluetooth,-61
1.999,Bluetooth,-62
2.000,Bluetooth,-62
2.121,Bluetooth,-61
2.122,Bluetooth,-60
2.145,Bluetooth,-66
2.146,Bluetooth,-66
2.287,Bluetooth,-66
2.288,Bluetooth,-66
2.310,Bluetooth,-70
2.312,Bluetooth,-71
2.438,Bluetooth,-69
2.440,Bluetooth,-69
2.527,Bluetooth,-66
2.529,Bluetooth,-67
2.552,Bluetooth,-67
2.554,Bluetooth,-67
2.670,Bluetooth,-63
2.672,Bluetooth,-64
2.757,Bluetooth,-64
2.759,Bluetooth,-64
2.782,Bluetooth,-64
2.783,Bluetooth,-64
2.943,Bluetooth,-68
2.944,Bluetooth,-68
2.966,Bluetooth,-68
2.968,Bluetooth,-69
