Distance,4.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-59
0.001,Bluetooth,-59
0.029,Bluetooth,-62
0.030,Bluetooth,-63
0.063,Bluetooth,-60
0.064,Bluetooth,-64
0.100,Bluetooth,-55
0.101,Bluetooth,-55
0.134,Bluetooth,-58
0.135,Bluetooth,-58
0.168,Bluetooth,-61
0.169,Bluetooth,-62
0.280,Bluetooth,-61
0.281,Bluetooth,-61
0.315,Bluetooth,-53
0.316,Bluetooth,-54
0.355,Bluetooth,-58
0.356,Bluetooth,-58
0.391,Bluetooth,-61
0.392,Bluetooth,-61
0.425,Bluetooth,-60
0.425,Bluetooth,-61
0.525,Bluetooth,-60
0.527,Bluetooth,-59
0.560,Bluetooth,-54
0.561,Bluetooth,-54
0.626,Bluetooth,-58
0.627,Bluetooth,-58
0.664,Bluetooth,-59
0.666,Bluetooth,-59
0.701,Bluetooth,-54
0.702,Bluetooth,-55
0.733,Bluetooth,-59
0.734,Bluetooth,-59
0.771,Bluetooth,-60
0.773,Bluetooth,-59
0.806,Bluetooth,-54
0.876,Bluetooth,-59
0.877,Bluetooth,-58
0.912,Bluetooth,-53
0.913,Bluetooth,-55
0.950,Bluetooth,-57
0.951,Bluetooth,-58
0.989,Bluetooth,-58
0.990,Bluetooth,-58
1.024,Bluetooth,-57
1.025,Bluetooth,-58
1.061,Bluetooth,-54
1.062,Bluetooth,-54
1.103,Bluetooth,-57
1.104,Bluetooth,-57
1.236,Bluetooth,-58
1.237,Bluetooth,-58
1.268,Bluetooth,-57
1.306,Bluetooth,-52
1.307,Bluetooth,-53
1.335,Bluetooth,-58
1.336,Bluetooth,-58
1.369,Bluetooth,-58
1.370,Bluetooth,-58
1.433,Bluetooth,-58
1.434,Bluetooth,-58
1.466,Bluetooth,-57
1.467,Bluetooth,-58
1.504,Bluetooth,-58
1.506,Bluetooth,-58
1.615,Bluetooth,-58
1.616,Bluetooth,-58
1.726,Bluetooth,-58
1.727,Bluetooth,-57
1.797,Bluetooth,-56
1.798,Bluetooth,-57
1.828,Bluetooth,-57
1.829,Bluetooth,-58
1.859,Bluetooth,-58
1.860,Bluetooth,-58
1.893,Bluetooth,-54
1.894,Bluetooth,-54
1.927,Bluetooth,-56
1.963,Bluetooth,-58
1.964,Bluetooth,-59
2.069,Bluetooth,-58
2.070,Bluetooth,-58
2.110,Bluetooth,-54
2.111,Bluetooth,-54
2.151,Bluetooth,-56
2.152,Bluetooth,-55
2.188,Bluetooth,-59
2.189,Bluetooth,-58
2.231,Bluetooth,-54
2.232,Bluetooth,-53
2.266,Bluetooth,-54
2.267,Bluetooth,-53
2.306,Bluetooth,-54
2.307,Bluetooth,-56
2.342,Bluetooth,-59
2.343,Bluetooth,-59
2.380,Bluetooth,-54
2.381,Bluetooth,-52
2.411,Bluetooth,-55
2.412,Bluetooth,-55
2.442,Bluetooth,-58
2.443,Bluetooth,-59
2.478,Bluetooth,-53
2.479,Bluetooth,-53
2.577,Bluetooth,-58
2.711,Bluetooth,-52
2.712,Bluetooth,-53
2.812,Bluetooth,-59
