Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-61
0.001,Bluetooth,-62
0.033,Bluetooth,-60
0.034,Bluetooth,-60
0.062,Bluetooth,-57
0.063,Bluetooth,-57
0.093,Bluetooth,-55
0.094,Bluetooth,-55
0.126,Bluetooth,-59
0.127,Bluetooth,-59
0.187,Bluetooth,-57
0.188,Bluetooth,-57
0.220,Bluetooth,-56
0.222,Bluetooth,-54
0.257,Bluetooth,-56
0.258,Bluetooth,-57
0.350,Bluetooth,-55
0.351,Bluetooth,-55
0.384,Bluetooth,-56
0.385,Bluetooth,-58
0.415,Bluetooth,-57
0.416,Bluetooth,-59
0.451,Bluetooth,-54
0.452,Bluetooth,-54
0.483,Bluetooth,-57
0.484,Bluetooth,-57
0.581,Bluetooth,-55
0.581,Bluetooth,-55
0.614,Bluetooth,-58
0.615,Bluetooth,-58
0.645,Bluetooth,-58
0.646,Bluetooth,-58
0.711,Bluetooth,-56
0.712,Bluetooth,-56
0.773,Bluetooth,-60
0.834,Bluetooth,-56
0.836,Bluetooth,-56
0.874,Bluetooth,-58
0.875,Bluetooth,-59
0.936,Bluetooth,-60
0.937,Bluetooth,-60
0.971,Bluetooth,-55
0.974,Bluetooth,-54
1.003,Bluetooth,-57
1.003,Bluetooth,-58
1.033,Bluetooth,-59
1.035,Bluetooth,-60
1.101,Bluetooth,-59
1.102,Bluetooth,-60
1.133,Bluetooth,-55
1.134,Bluetooth,-56
1.165,Bluetooth,-58
1.166,Bluetooth,-58
1.232,Bluetooth,-60
1.233,Bluetooth,-60
1.261,Bluetooth,-55
1.262,Bluetooth,-55
1.294,Bluetooth,-58
1.295,Bluetooth,-58
1.326,Bluetooth,-60
1.327,Bluetooth,-60
1.387,Bluetooth,-56
1.388,Bluetooth,-55
1.420,Bluetooth,-58
1.422,Bluetooth,-57
1.454,Bluetooth,-59
1.455,Bluetooth,-60
1.486,Bluetooth,-54
1.487,Bluetooth,-56
1.549,Bluetooth,-58
1.550,Bluetooth,-59
1.610,Bluetooth,-55
1.612,Bluetooth,-55
1.646,Bluetooth,-57
1.646,Bluetooth,-59
1.704,Bluetooth,-60
1.705,Bluetooth,-59
1.739,Bluetooth,-55
1.739,Bluetooth,-54
1.770,Bluetooth,-58
1.772,Bluetooth,-58
1.802,Bluetooth,-60
1.802,Bluetooth,-61
1.865,Bluetooth,-54
1.866,Bluetooth,-55
1.898,Bluetooth,-57
1.900,Bluetooth,-58
1.929,Bluetooth,-61
1.929,Bluetooth,-62
1.960,Bluetooth,-55
1.961,Bluetooth,-55
2.022,Bluetooth,-58
2.023,Bluetooth,-59
2.055,Bluetooth,-62
2.088,Bluetooth,-55
2.089,Bluetooth,-55
2.123,Bluetooth,-57
2.124,Bluetooth,-57
2.181,Bluetooth,-61
2.183,Bluetooth,-61
2.213,Bluetooth,-56
2.214,Bluetooth,-57
2.248,Bluetooth,-58
2.249,Bluetooth,-58
2.369,Bluetooth,-56
2.370,Bluetooth,-55
2.429,Bluetooth,-58
2.431,Bluetooth,-58
2.460,Bluetooth,-60
2.461,Bluetooth,-60
2.525,Bluetooth,-58
2.592,Bluetooth,-60
2.592,Bluetooth,-60
2.623,Bluetooth,-56
2.624,Bluetooth,-56
2.655,Bluetooth,-58
2.656,Bluetooth,-58
2.688,Bluetooth,-61
2.690,Bluetooth,-60
2.726,Bluetooth,-56
2.727,Bluetooth,-55
2.822,Bluetooth,-60
2.824,Bluetooth,-61
2.854,Bluetooth,-57
2.855,Bluetooth,-57
2.946,Bluetooth,-59
2.947,Bluetooth,-61
2.978,Bluetooth,-56
2.979,Bluetooth,-56
3.013,Bluetooth,-57
3.014,Bluetooth,-58
3.107,Bluetooth,-56
3.108,Bluetooth,-56
3.138,Bluetooth,-57
3.139,Bluetooth,-57
3.168,Bluetooth,-59
3.169,Bluetooth,-61
3.299,Bluetooth,-61
3.300,Bluetooth,-61
3.334,Bluetooth,-56
3.335,Bluetooth,-56
3.365,Bluetooth,-57
3.366,Bluetooth,-57
3.431,Bluetooth,-61
3.432,Bluetooth,-61
3.460,Bluetooth,-57
3.463,Bluetooth,-58
3.491,Bluetooth,-57
3.493,Bluetooth,-57
3.553,Bluetooth,-61
3.554,Bluetooth,-61
3.584,Bluetooth,-56
3.585,Bluetooth,-57
3.617,Bluetooth,-57
3.618,Bluetooth,-58
3.645,Bluetooth,-61
3.647,Bluetooth,-61
3.709,Bluetooth,-56
3.711,Bluetooth,-56
3.745,Bluetooth,-57
3.746,Bluetooth,-57
3.776,Bluetooth,-61
3.777,Bluetooth,-61
3.808,Bluetooth,-56
3.809,Bluetooth,-56
3.929,Bluetooth,-56
3.930,Bluetooth,-56
3.964,Bluetooth,-57
3.965,Bluetooth,-56
3.994,Bluetooth,-57
3.995,Bluetooth,-57
89.740,Bluetooth,-65
89.741,Bluetooth,-65
89.770,Bluetooth,-70
89.772,Bluetooth,-70
89.803,Bluetooth,-69
89.805,Bluetooth,-69
89.835,Bluetooth,-70
89.836,Bluetooth,-70
89.865,Bluetooth,-65
89.867,Bluetooth,-65
89.898,Bluetooth,-68
89.899,Bluetooth,-70
89.930,Bluetooth,-70
89.931,Bluetooth,-70
90.023,Bluetooth,-70
90.024,Bluetooth,-70
90.055,Bluetooth,-70
90.056,Bluetooth,-70
90.088,Bluetooth,-65
90.089,Bluetooth,-65
90.152,Bluetooth,-69
90.153,Bluetooth,-69
90.185,Bluetooth,-69
90.186,Bluetooth,-70
90.216,Bluetooth,-65
90.217,Bluetooth,-65
90.247,Bluetooth,-69
90.248,Bluetooth,-69
90.312,Bluetooth,-70
90.313,Bluetooth,-70
90.376,Bluetooth,-70
90.377,Bluetooth,-69
90.408,Bluetooth,-71
90.409,Bluetooth,-70
90.470,Bluetooth,-66
90.471,Bluetooth,-65
90.500,Bluetooth,-69
90.500,Bluetooth,-70
90.533,Bluetooth,-71
90.534,Bluetooth,-72
90.622,Bluetooth,-70
90.654,Bluetooth,-70
90.655,Bluetooth,-70
90.685,Bluetooth,-64
90.686,Bluetooth,-65
90.762,Bluetooth,-65
90.783,Bluetooth,-64
90.783,Bluetooth,-65
90.812,Bluetooth,-66
90.813,Bluetooth,-65
90.844,Bluetooth,-69
90.845,Bluetooth,-69
90.875,Bluetooth,-72
90.876,Bluetooth,-71
90.904,Bluetooth,-66
90.905,Bluetooth,-65
90.967,Bluetooth,-69
90.968,Bluetooth,-70
90.999,Bluetooth,-72
91.000,Bluetooth,-72
91.030,Bluetooth,-65
91.031,Bluetooth,-66
91.060,Bluetooth,-69
91.061,Bluetooth,-69
91.127,Bluetooth,-72
91.128,Bluetooth,-72
91.158,Bluetooth,-65
91.159,Bluetooth,-64
91.189,Bluetooth,-70
91.190,Bluetooth,-69
91.280,Bluetooth,-65
91.281,Bluetooth,-65
91.316,Bluetooth,-70
91.317,Bluetooth,-68
91.347,Bluetooth,-71
91.348,Bluetooth,-71
91.408,Bluetooth,-66
91.409,Bluetooth,-66
91.441,Bluetooth,-70
91.442,Bluetooth,-69
91.472,Bluetooth,-70
91.474,Bluetooth,-72
91.504,Bluetooth,-66
91.505,Bluetooth,-66
91.562,Bluetooth,-69
91.563,Bluetooth,-69
91.685,Bluetooth,-69
91.687,Bluetooth,-69
91.719,Bluetooth,-70
91.720,Bluetooth,-70
91.752,Bluetooth,-66
91.754,Bluetooth,-66
91.783,Bluetooth,-68
91.783,Bluetooth,-68
91.844,Bluetooth,-70
91.845,Bluetooth,-70
91.878,Bluetooth,-67
91.879,Bluetooth,-66
91.909,Bluetooth,-68
91.910,Bluetooth,-69
91.976,Bluetooth,-70
91.977,Bluetooth,-70
92.007,Bluetooth,-67
92.008,Bluetooth,-65
92.110,Bluetooth,-70
92.111,Bluetooth,-69
92.141,Bluetooth,-66
92.142,Bluetooth,-66
92.171,Bluetooth,-68
92.172,Bluetooth,-68
92.235,Bluetooth,-69
92.236,Bluetooth,-70
92.266,Bluetooth,-66
92.268,Bluetooth,-67
92.300,Bluetooth,-68
92.301,Bluetooth,-69
92.334,Bluetooth,-70
92.335,Bluetooth,-70
92.365,Bluetooth,-66
92.366,Bluetooth,-66
92.427,Bluetooth,-68
92.428,Bluetooth,-68
92.458,Bluetooth,-71
92.459,Bluetooth,-70
92.488,Bluetooth,-66
92.489,Bluetooth,-65
92.549,Bluetooth,-69
92.551,Bluetooth,-68
92.612,Bluetooth,-66
92.614,Bluetooth,-66
92.645,Bluetooth,-68
92.647,Bluetooth,-68
92.712,Bluetooth,-71
92.713,Bluetooth,-70
92.808,Bluetooth,-70
