Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-51
0.001,Bluetooth,-51
0.076,Bluetooth,-52
0.077,Bluetooth,-52
0.181,Bluetooth,-51
0.182,Bluetooth,-51
0.217,Bluetooth,-53
0.218,Bluetooth,-53
0.250,Bluetooth,-53
0.251,Bluetooth,-52
0.288,Bluetooth,-52
0.289,Bluetooth,-51
0.327,Bluetooth,-54
0.328,Bluetooth,-53
0.390,Bluetooth,-53
0.391,Bluetooth,-54
0.424,Bluetooth,-51
0.425,Bluetooth,-50
0.458,Bluetooth,-51
0.459,Bluetooth,-52
0.492,Bluetooth,-52
0.493,Bluetooth,-51
0.556,Bluetooth,-50
0.557,Bluetooth,-50
0.587,Bluetooth,-50
0.588,Bluetooth,-50
0.624,Bluetooth,-52
0.625,Bluetooth,-51
0.660,Bluetooth,-50
0.692,Bluetooth,-52
0.693,Bluetooth,-51
0.733,Bluetooth,-50
0.734,Bluetooth,-50
0.762,Bluetooth,-49
0.762,Bluetooth,-48
0.871,Bluetooth,-49
0.871,Bluetooth,-51
0.906,Bluetooth,-48
0.907,Bluetooth,-50
0.947,Bluetooth,-53
0.986,Bluetooth,-52
0.986,Bluetooth,-52
1.025,Bluetooth,-52
1.027,Bluetooth,-51
1.061,Bluetooth,-52
1.062,Bluetooth,-50
1.097,Bluetooth,-52
1.098,Bluetooth,-51
1.134,Bluetooth,-52
1.134,Bluetooth,-51
1.172,Bluetooth,-51
1.173,Bluetooth,-51
1.246,Bluetooth,-53
1.279,Bluetooth,-53
1.280,Bluetooth,-52
1.313,Bluetooth,-53
1.314,Bluetooth,-52
1.414,Bluetooth,-52
1.414,Bluetooth,-53
1.450,Bluetooth,-54
1.451,Bluetooth,-54
1.519,Bluetooth,-53
1.520,Bluetooth,-53
1.619,Bluetooth,-54
1.619,Bluetooth,-54
1.718,Bluetooth,-52
1.719,Bluetooth,-52
1.748,Bluetooth,-52
1.749,Bluetooth,-53
1.785,Bluetooth,-49
1.786,Bluetooth,-48
1.823,Bluetooth,-54
1.824,Bluetooth,-52
1.858,Bluetooth,-54
1.927,Bluetooth,-51
1.928,Bluetooth,-52
1.958,Bluetooth,-49
1.959,Bluetooth,-50
2.033,Bluetooth,-52
2.033,Bluetooth,-52
2.151,Bluetooth,-53
2.190,Bluetooth,-52
2.191,Bluetooth,-52
2.222,Bluetooth,-52
2.223,Bluetooth,-53
2.293,Bluetooth,-52
2.294,Bluetooth,-53
2.396,Bluetooth,-48
2.397,Bluetooth,-49
2.432,Bluetooth,-53
2.433,Bluetooth,-53
2.511,Bluetooth,-53
2.512,Bluetooth,-53
2.648,Bluetooth,-53
2.649,Bluetooth,-53
2.680,Bluetooth,-49
2.680,Bluetooth,-49
2.717,Bluetooth,-52
2.718,Bluetooth,-52
2.756,Bluetooth,-53
2.826,Bluetooth,-54
2.827,Bluetooth,-53
2.901,Bluetooth,-54
2.902,Bluetooth,-53
2.931,Bluetooth,-55
2.932,Bluetooth,-55
2.970,Bluetooth,-49
2.971,Bluetooth,-49
3.042,Bluetooth,-55
3.077,Bluetooth,-55
3.078,Bluetooth,-54
3.352,Bluetooth,-50
3.384,Bluetooth,-54
3.385,Bluetooth,-54
3.416,Bluetooth,-54
3.417,Bluetooth,-54
3.562,Bluetooth,-54
3.563,Bluetooth,-54
3.594,Bluetooth,-52
3.594,Bluetooth,-53
3.632,Bluetooth,-49
3.633,Bluetooth,-50
3.665,Bluetooth,-54
3.696,Bluetooth,-49
3.697,Bluetooth,-49
3.739,Bluetooth,-54
3.740,Bluetooth,-54
3.769,Bluetooth,-52
3.770,Bluetooth,-51
3.806,Bluetooth,-49
3.807,Bluetooth,-49
3.872,Bluetooth,-50
3.873,Bluetooth,-51
3.901,Bluetooth,-51
3.904,Bluetooth,-50
3.973,Bluetooth,-49
3.974,Bluetooth,-48
62.145,Bluetooth,-64
62.221,Bluetooth,-65
62.221,Bluetooth,-65
62.324,Bluetooth,-72
62.325,Bluetooth,-73
62.360,Bluetooth,-79
62.361,Bluetooth,-79
62.397,Bluetooth,-65
62.398,Bluetooth,-65
62.544,Bluetooth,-80
62.545,Bluetooth,-80
62.616,Bluetooth,-71
62.616,Bluetooth,-71
62.682,Bluetooth,-65
62.683,Bluetooth,-64
62.715,Bluetooth,-72
62.716,Bluetooth,-70
62.747,Bluetooth,-82
